Wavelength (nm)	E22 abs e
434.00	13435
434.25	13473
434.50	13651
434.75	13727
435.00	13808
435.25	13959
435.50	14080
435.75	14216
436.00	14293
436.25	14385
436.50	14462
436.75	14562
437.00	14690
437.25	14746
437.50	14845
437.75	14978
438.00	14989
438.25	15051
438.50	15209
438.75	15261
439.00	15371
439.25	15465
439.50	15504
439.75	15613
440.00	15777
440.25	15756
440.50	15893
440.75	15942
441.00	16020
441.25	16109
441.50	16152
441.75	16261
442.00	16313
442.25	16432
442.50	16532
442.75	16600
443.00	16680
443.25	16799
443.50	16785
443.75	16905
444.00	16976
444.25	17072
444.50	17146
444.75	17220
445.00	17248
445.25	17360
445.50	17491
445.75	17556
446.00	17581
446.25	17617
446.50	17732
446.75	17788
447.00	17826
447.25	17889
447.50	17997
447.75	18039
448.00	18189
448.25	18141
448.50	18212
448.75	18301
449.00	18343
449.25	18472
449.50	18530
449.75	18522
450.00	18549
450.25	18697
450.50	18684
450.75	18761
451.00	18828
451.25	18914
451.50	18916
451.75	18923
452.00	18991
452.25	18987
452.50	19061
452.75	19102
453.00	19125
453.25	19203
453.50	19245
453.75	19264
454.00	19282
454.25	19310
454.50	19379
454.75	19379
455.00	19347
455.25	19371
455.50	19404
455.75	19451
456.00	19527
456.25	19449
456.50	19538
456.75	19591
457.00	19583
457.25	19543
457.50	19623
457.75	19596
458.00	19626
458.25	19614
458.50	19625
458.75	19622
459.00	19680
459.25	19640
459.50	19594
459.75	19589
460.00	19654
460.25	19667
460.50	19700
460.75	19581
461.00	19650
461.25	19650
461.50	19651
461.75	19630
462.00	19564
462.25	19609
462.50	19530
462.75	19569
463.00	19516
463.25	19506
463.50	19508
463.75	19462
464.00	19409
464.25	19435
464.50	19413
464.75	19394
465.00	19305
465.25	19293
465.50	19346
465.75	19241
466.00	19223
466.25	19153
466.50	19086
466.75	19063
467.00	18974
467.25	18964
467.50	18964
467.75	18876
468.00	18850
468.25	18767
468.50	18750
468.75	18724
469.00	18640
469.25	18554
469.50	18528
469.75	18457
470.00	18421
470.25	18303
470.50	18252
470.75	18225
471.00	18161
471.25	18043
471.50	17946
471.75	17905
472.00	17817
472.25	17749
472.50	17681
472.75	17559
473.00	17522
473.25	17435
473.50	17320
473.75	17243
474.00	17207
474.25	17131
474.50	17012
474.75	16913
475.00	16726
475.25	16650
475.50	16499
475.75	16407
476.00	16269
476.25	16152
476.50	16082
476.75	15949
477.00	15840
477.25	15725
477.50	15648
477.75	15573
478.00	15389
478.25	15268
478.50	15194
478.75	15072
479.00	14945
479.25	14812
479.50	14718
479.75	14610
480.00	14460
480.25	14314
480.50	14201
480.75	14046
481.00	13966
481.25	13800
481.50	13684
481.75	13600
482.00	13453
482.25	13305
482.50	13185
482.75	13048
483.00	12881
483.25	12774
483.50	12612
483.75	12468
484.00	12323
484.25	12231
484.50	12046
484.75	11930
485.00	11764
485.25	11605
485.50	11444
485.75	11381
486.00	11175
486.25	11032
486.50	10890
486.75	10691
487.00	10562
487.25	10460
487.50	10300
487.75	10105
488.00	9968.6
488.25	9860.2
488.50	9702.1
488.75	9531.6
489.00	9354.6
489.25	9226.1
489.50	9110.6
489.75	8940.5
490.00	8757.2
490.25	8651.6
490.50	8502.7
490.75	8339.8
491.00	8183.7
491.25	8044.3
491.50	7908.3
491.75	7775.7
492.00	7615.6
492.25	7462.0
492.50	7319.2
492.75	7184.3
493.00	7026.1
493.25	6899.4
493.50	6793.3
493.75	6670.6
494.00	6571.8
494.25	6416.5
494.50	6388.6
494.75	6327.7
495.00	6207.3
495.25	6042.5
495.50	5897.2
495.75	5733.8
496.00	5677.0
496.25	5558.0
496.50	5411.7
496.75	5277.5
497.00	5193.2
497.25	5084.5
497.50	4960.0
497.75	4814.1
498.00	4734.7
498.25	4620.9
498.50	4504.0
498.75	4393.2
499.00	4326.4
499.25	4231.0
499.50	4111.9
499.75	4014.1
500.00	3924.3
500.25	3821.4
500.50	3714.6
500.75	3640.7
501.00	3561.3
501.25	3498.3
501.50	3420.0
501.75	3304.4
502.00	3236.6
502.25	3166.9
502.50	3052.4
502.75	3033.9
503.00	2941.7
503.25	2863.3
503.50	2813.4
503.75	2743.1
504.00	2640.2
504.25	2584.7
504.50	2539.1
504.75	2438.1
505.00	2403.4
505.25	2324.2
505.50	2285.8
505.75	2239.6
506.00	2170.0
506.25	2098.3
506.50	2060.0
506.75	2021.9
507.00	1947.8
507.25	1945.7
507.50	1897.3
507.75	1842.8
508.00	1791.1
508.25	1734.3
508.50	1667.8
508.75	1621.9
509.00	1600.2
509.25	1564.2
509.50	1527.5
509.75	1465.3
510.00	1454.0
510.25	1455.7
510.50	1334.7
510.75	1318.5
511.00	1285.9
511.25	1249.0
511.50	1214.7
511.75	1148.2
512.00	1186.0
512.25	1117.6
512.50	1103.7
512.75	1095.6
513.00	1020.0
513.25	1016.9
513.50	1017.0
513.75	951.93
514.00	908.66
514.25	925.47
514.50	891.86
514.75	875.34
515.00	827.74
515.25	821.58
515.50	774.95
515.75	708.17
516.00	717.13
516.25	711.11
516.50	688.99
516.75	666.59
517.00	645.59
517.25	609.46
517.50	592.80
517.75	602.32
518.00	585.24
518.25	570.82
518.50	550.10
518.75	567.04
519.00	524.34
519.25	487.51
519.50	483.73
519.75	477.85
520.00	475.19
520.25	449.57
520.50	413.17
520.75	418.63
521.00	388.11
521.25	434.45
521.50	431.51
521.75	385.03
522.00	344.56
522.25	359.69
522.50	369.35
522.75	320.90
523.00	319.08
523.25	299.20
523.50	340.22
523.75	290.38
524.00	331.68
524.25	276.52
524.50	268.54
524.75	250.90
525.00	266.58
525.25	262.94
525.50	225.28
525.75	274.70
526.00	222.48
526.25	271.48
526.50	241.66
526.75	197.13
527.00	211.55
