Wavelength (nm)	Eur J Inorg Chem 2021_1904, Zn-DPiCC 2 (MeOH) abs [Z]
356.00	0.66114
357.00	0.66250
358.00	0.66115
359.00	0.65980
360.00	0.65952
361.00	0.65924
362.00	0.65896
363.00	0.65832
364.00	0.65550
365.00	0.65268
366.00	0.64985
367.00	0.64257
368.00	0.63417
369.00	0.62278
370.00	0.60826
371.00	0.59374
372.00	0.57923
373.00	0.56416
374.00	0.54510
375.00	0.52604
376.00	0.50698
377.00	0.48791
378.00	0.46885
379.00	0.44978
380.00	0.43072
381.00	0.41165
382.00	0.39474
383.00	0.37898
384.00	0.36323
385.00	0.34747
386.00	0.33668
387.00	0.32722
388.00	0.31776
389.00	0.30829
390.00	0.29883
391.00	0.28958
392.00	0.28161
393.00	0.27365
394.00	0.26569
395.00	0.25773
396.00	0.24977
397.00	0.24347
398.00	0.23775
399.00	0.23204
400.00	0.22632
401.00	0.22060
402.00	0.21489
403.00	0.20978
404.00	0.20598
405.00	0.20218
406.00	0.19838
407.00	0.19458
408.00	0.19078
409.00	0.18698
410.00	0.18318
411.00	0.18047
412.00	0.17792
413.00	0.17537
414.00	0.17282
415.00	0.17027
416.00	0.16772
417.00	0.16517
418.00	0.16262
419.00	0.16007
420.00	0.15766
421.00	0.15533
422.00	0.15300
423.00	0.15068
424.00	0.14835
425.00	0.14602
426.00	0.14370
427.00	0.14137
428.00	0.13904
429.00	0.13671
430.00	0.13439
431.00	0.13219
432.00	0.13010
433.00	0.12800
434.00	0.12590
435.00	0.12380
436.00	0.12171
437.00	0.11961
438.00	0.11751
439.00	0.11542
440.00	0.11354
441.00	0.11213
442.00	0.11072
443.00	0.10931
444.00	0.10789
445.00	0.10648
446.00	0.10507
447.00	0.10366
448.00	0.10224
449.00	0.10083
450.00	0.099448
451.00	0.098136
452.00	0.096825
453.00	0.095513
454.00	0.094201
455.00	0.092889
456.00	0.091577
457.00	0.090265
458.00	0.088953
459.00	0.087642
460.00	0.086330
461.00	0.085361
462.00	0.084709
463.00	0.084056
464.00	0.083404
465.00	0.082752
466.00	0.082100
467.00	0.081555
468.00	0.082095
469.00	0.082636
470.00	0.083176
471.00	0.083716
472.00	0.084257
473.00	0.084797
474.00	0.085338
475.00	0.085878
476.00	0.086556
477.00	0.087476
478.00	0.088397
479.00	0.089318
480.00	0.090239
481.00	0.091160
482.00	0.092081
483.00	0.093002
484.00	0.094078
485.00	0.095395
486.00	0.096712
487.00	0.098030
488.00	0.099347
489.00	0.10066
490.00	0.10198
491.00	0.10330
492.00	0.10482
493.00	0.10661
494.00	0.10841
495.00	0.11020
496.00	0.11199
497.00	0.11378
498.00	0.11558
499.00	0.11737
500.00	0.11916
501.00	0.12197
502.00	0.12482
503.00	0.12768
504.00	0.13054
505.00	0.13340
506.00	0.13626
507.00	0.13985
508.00	0.14408
509.00	0.14832
510.00	0.15256
511.00	0.15680
512.00	0.16104
513.00	0.16527
514.00	0.17093
515.00	0.17684
516.00	0.18274
517.00	0.18865
518.00	0.19456
519.00	0.20046
520.00	0.20637
521.00	0.21228
522.00	0.21820
523.00	0.22412
524.00	0.23003
525.00	0.23595
526.00	0.24108
527.00	0.24548
528.00	0.24989
529.00	0.25429
530.00	0.25869
531.00	0.26339
532.00	0.26824
533.00	0.27309
534.00	0.27795
535.00	0.28280
536.00	0.28777
537.00	0.29311
538.00	0.29844
539.00	0.30378
540.00	0.30912
541.00	0.31445
542.00	0.31979
543.00	0.32699
544.00	0.33565
545.00	0.34430
546.00	0.35296
547.00	0.36162
548.00	0.37027
549.00	0.37937
550.00	0.39119
551.00	0.40300
552.00	0.41481
553.00	0.42662
554.00	0.43843
555.00	0.45025
556.00	0.46206
557.00	0.47566
558.00	0.48936
559.00	0.50306
560.00	0.51675
561.00	0.53045
562.00	0.54415
563.00	0.55536
564.00	0.56429
565.00	0.57322
566.00	0.58215
567.00	0.59077
568.00	0.59894
569.00	0.60711
570.00	0.61362
571.00	0.61676
572.00	0.61989
573.00	0.62302
574.00	0.62395
575.00	0.62249
576.00	0.62103
577.00	0.61958
578.00	0.61713
579.00	0.61455
580.00	0.61197
581.00	0.60941
582.00	0.60783
583.00	0.60625
584.00	0.60468
585.00	0.60310
586.00	0.60152
587.00	0.60134
588.00	0.60352
589.00	0.60569
590.00	0.60787
591.00	0.61274
592.00	0.62008
593.00	0.62742
594.00	0.63651
595.00	0.64569
596.00	0.65630
597.00	0.66923
598.00	0.68217
599.00	0.69511
600.00	0.71269
601.00	0.73439
602.00	0.75609
603.00	0.77779
604.00	0.79790
605.00	0.81789
606.00	0.83788
607.00	0.85787
608.00	0.87786
609.00	0.89560
610.00	0.91273
611.00	0.92987
612.00	0.94701
613.00	0.96294
614.00	0.97298
615.00	0.98303
616.00	0.99307
617.00	0.99631
618.00	0.99816
619.00	1.0000
620.00	0.99669
621.00	0.99338
622.00	0.98011
623.00	0.96633
624.00	0.94758
625.00	0.92591
626.00	0.90425
627.00	0.88258
628.00	0.86091
629.00	0.83501
630.00	0.80486
631.00	0.77472
632.00	0.74457
633.00	0.70932
634.00	0.67349
635.00	0.63767
636.00	0.59901
637.00	0.55373
638.00	0.50845
639.00	0.46644
640.00	0.43603
641.00	0.40562
642.00	0.37521
643.00	0.34480
644.00	0.31461
645.00	0.28458
646.00	0.25455
647.00	0.22452
648.00	0.20040
649.00	0.18270
650.00	0.16500
651.00	0.14730
652.00	0.12960
653.00	0.11648
654.00	0.10410
655.00	0.091731
656.00	0.079357
657.00	0.070731
658.00	0.063355
659.00	0.055979
660.00	0.048603
661.00	0.041640
662.00	0.037441
663.00	0.033242
664.00	0.029042
665.00	0.024862
666.00	0.022593
667.00	0.020323
668.00	0.018054
669.00	0.015784
670.00	0.013771
671.00	0.012160
672.00	0.010548
673.00	0.0089368
674.00	0.0073252
675.00	0.0061456
676.00	0.0053808
677.00	0.0046161
678.00	0.0038514
679.00	0.0030866
680.00	0.0023219
681.00	0.0017825
682.00	0.0016804
683.00	0.0015783
684.00	0.0014762
685.00	0.0013741
686.00	0.0012720
687.00	0.0011699
688.00	0.0010678
689.00	0.00096573
690.00	0.00086364
691.00	0.00076869
692.00	0.00076869
693.00	0.00076869
694.00	0.00076869
695.00	0.00076869
696.00	0.00076869
697.00	0.00076869
698.00	0.00076869
699.00	0.00076869
700.00	0.00076869
701.00	0.00076869
702.00	0.00076869
703.00	0.00076869
704.00	0.00076869
705.00	0.00076869
706.00	0.00076869
707.00	0.00076869
708.00	0.00076869
709.00	0.00076869
710.00	0.00076869
711.00	0.00076869
712.00	0.00076869
713.00	0.00076869
714.00	0.00076869
715.00	0.00076869
716.00	0.00076869
717.00	0.00076869
718.00	0.00076869
719.00	0.00076869
720.00	0.00076869
721.00	0.00076869
722.00	0.00076869
723.00	0.00076869
724.00	0.00076869
725.00	0.00076869
726.00	0.00076869
727.00	0.00076869
728.00	0.00076869
729.00	0.00076869
730.00	0.00076869
731.00	0.00076869
732.00	0.00076869
733.00	0.00076869
734.00	0.00076869
735.00	0.00076869
736.00	0.00076869
737.00	0.00076869
738.00	0.00076869
739.00	0.00076869
740.00	0.00076869
741.00	0.00076869
742.00	0.00076869
743.00	0.00076869
744.00	0.00076869
745.00	0.00076869
746.00	0.00076869
747.00	0.00076869
748.00	0.00076869
749.00	0.00076869
750.00	0.00076869
751.00	0.00076869
752.00	0.00076869
753.00	0.00076869
754.00	0.00076869
755.00	0.00076869
756.00	0.00076869
757.00	0.00076869
758.00	0.00076869
759.00	0.00076869
760.00	0.00076869
761.00	0.00076869
762.00	0.00076869
763.00	0.00076869
764.00	0.00076869
765.00	0.00076869
766.00	0.00076869
767.00	0.00076869
768.00	0.00076869
769.00	0.00076869
770.00	0.00076869
771.00	0.00076869
772.00	0.00076869
773.00	0.00076869
774.00	0.00076869
775.00	0.00076869
776.00	0.00076869
777.00	0.00076869
778.00	0.00076869
779.00	0.00076869
780.00	0.00076869
781.00	0.00076869
782.00	0.00076869
783.00	0.00076869
784.00	0.00076869
785.00	0.00076869
786.00	0.00076869
787.00	0.00076869
788.00	0.00076869
789.00	0.00076869
790.00	0.00076869
791.00	0.00076869
792.00	0.00076869
793.00	0.00076869
794.00	0.00076869
795.00	0.00076869
796.00	0.00076869
797.00	0.00076869
798.00	0.00076869
799.00	0.00076869
800.00	0.00076869
