Wavelength (nm)	UroP I (in DMSO).abs
666.00	0.0010621
667.00	0.00093050
668.00	0.0011330
669.00	0.0011237
670.00	0.00093142
671.00	0.00097342
672.00	0.0010798
673.00	0.0010341
674.00	0.0011479
675.00	0.00099863
676.00	0.00089315
677.00	0.00089409
678.00	0.00092676
679.00	0.00092956
680.00	0.0010294
681.00	0.0011031
682.00	0.0010798
683.00	0.00085023
684.00	0.00094075
685.00	0.0011703
686.00	0.0011816
687.00	0.0011115
688.00	0.00090437
689.00	0.00096129
690.00	0.00094169
691.00	0.00090343
692.00	0.00096968
693.00	0.00082410
694.00	0.00067756
695.00	0.00059264
696.00	0.00047225
697.00	0.00053944
698.00	0.00040785
699.00	0.00024066
700.00	0.00022382
