Wavelength (nm)	Chem Eur J 2018_2987, E4-Me (MeOH) abs [Z]
461.00	0.50727
462.00	0.48909
463.00	0.47091
464.00	0.44847
465.00	0.42539
466.00	0.40230
467.00	0.37969
468.00	0.36176
469.00	0.34384
470.00	0.32591
471.00	0.30799
472.00	0.29012
473.00	0.27304
474.00	0.25597
475.00	0.23890
476.00	0.22316
477.00	0.20912
478.00	0.19507
479.00	0.18103
480.00	0.16767
481.00	0.15559
482.00	0.14350
483.00	0.13142
484.00	0.12189
485.00	0.11324
486.00	0.10460
487.00	0.095960
488.00	0.087318
489.00	0.080544
490.00	0.074074
491.00	0.067604
492.00	0.061134
493.00	0.055037
494.00	0.051232
495.00	0.047427
496.00	0.043622
497.00	0.039816
498.00	0.036011
499.00	0.033081
500.00	0.030383
501.00	0.027686
502.00	0.024988
503.00	0.022291
504.00	0.019784
505.00	0.018551
506.00	0.017319
507.00	0.016087
508.00	0.014854
509.00	0.013622
510.00	0.012390
511.00	0.011172
512.00	0.010226
513.00	0.0092804
514.00	0.0083347
515.00	0.0073891
516.00	0.0064434
517.00	0.0054977
518.00	0.0046750
519.00	0.0046750
520.00	0.0046750
521.00	0.0046750
522.00	0.0046750
523.00	0.0046750
524.00	0.0046071
525.00	0.0044627
526.00	0.0043183
527.00	0.0041739
528.00	0.0040295
529.00	0.0038851
530.00	0.0037407
531.00	0.0035963
532.00	0.0034519
533.00	0.0033075
534.00	0.0031850
535.00	0.0030952
536.00	0.0030055
537.00	0.0029157
538.00	0.0028259
539.00	0.0027362
540.00	0.0026464
541.00	0.0025566
542.00	0.0024669
543.00	0.0023771
544.00	0.0022873
545.00	0.0021976
546.00	0.0021078
547.00	0.0020180
548.00	0.0019283
549.00	0.0018385
550.00	0.0017638
551.00	0.0017493
552.00	0.0017348
553.00	0.0017204
554.00	0.0017059
555.00	0.0016914
556.00	0.0016769
557.00	0.0016624
558.00	0.0016479
559.00	0.0016334
560.00	0.0016190
561.00	0.0016045
562.00	0.0015900
563.00	0.0015755
564.00	0.0015610
565.00	0.0015465
566.00	0.0015321
567.00	0.0015176
568.00	0.0015031
569.00	0.0014886
570.00	0.0014741
571.00	0.0014596
572.00	0.0014452
573.00	0.0014307
574.00	0.0014162
575.00	0.0014017
576.00	0.0013872
577.00	0.0013727
578.00	0.0013582
579.00	0.0013438
580.00	0.0013293
581.00	0.0013148
582.00	0.0013003
583.00	0.0012858
584.00	0.0012713
585.00	0.0012569
586.00	0.0012424
587.00	0.0012279
588.00	0.0012134
589.00	0.0011989
590.00	0.0011844
591.00	0.0011700
592.00	0.0011555
593.00	0.0011410
594.00	0.0011265
595.00	0.0011120
596.00	0.0010975
597.00	0.0010831
598.00	0.0010686
599.00	0.0010541
600.00	0.0010396
