Wavelength (nm)	EtioP I (in DMSO).abs
494.00	0.077935
495.00	0.081813
496.00	0.084866
497.00	0.085994
498.00	0.084849
499.00	0.082968
500.00	0.081649
501.00	0.080387
502.00	0.078916
503.00	0.075525
504.00	0.070288
505.00	0.065536
506.00	0.060727
507.00	0.055781
508.00	0.050370
509.00	0.044686
510.00	0.039220
511.00	0.034849
512.00	0.031146
513.00	0.028342
514.00	0.025870
515.00	0.024206
516.00	0.023017
517.00	0.023125
518.00	0.024076
519.00	0.025663
520.00	0.027649
521.00	0.030433
522.00	0.034036
523.00	0.038586
524.00	0.043199
525.00	0.047166
526.00	0.050401
527.00	0.053783
528.00	0.056893
529.00	0.059533
530.00	0.060432
531.00	0.060193
532.00	0.058798
533.00	0.057161
534.00	0.055303
535.00	0.052214
536.00	0.048011
537.00	0.042828
538.00	0.037220
539.00	0.032250
540.00	0.028062
541.00	0.024718
542.00	0.022110
543.00	0.019466
544.00	0.017241
545.00	0.015528
546.00	0.014108
547.00	0.012963
548.00	0.012247
549.00	0.011958
550.00	0.011727
551.00	0.011768
552.00	0.012251
553.00	0.013178
554.00	0.014211
555.00	0.015507
556.00	0.016898
557.00	0.018228
558.00	0.019699
559.00	0.021504
560.00	0.024023
561.00	0.027766
562.00	0.032758
563.00	0.038230
564.00	0.042631
565.00	0.044713
566.00	0.044519
567.00	0.042707
568.00	0.040032
569.00	0.037817
570.00	0.036275
571.00	0.035026
572.00	0.034040
573.00	0.032887
574.00	0.031480
575.00	0.030101
576.00	0.028334
577.00	0.026225
578.00	0.024164
579.00	0.021991
580.00	0.019760
581.00	0.017395
582.00	0.015729
583.00	0.014571
584.00	0.012953
585.00	0.011434
586.00	0.010675
587.00	0.0098420
588.00	0.0093658
589.00	0.0092209
590.00	0.0094079
591.00	0.0096550
592.00	0.0098308
593.00	0.0097442
594.00	0.0096035
595.00	0.0092037
596.00	0.0087035
597.00	0.0079168
598.00	0.0073532
599.00	0.0067389
600.00	0.0066214
601.00	0.0065313
602.00	0.0065999
603.00	0.0066566
604.00	0.0070057
605.00	0.0076200
606.00	0.0082574
607.00	0.0089875
608.00	0.0099355
609.00	0.010763
610.00	0.011367
611.00	0.012302
612.00	0.013130
613.00	0.014283
614.00	0.015929
615.00	0.018491
616.00	0.021780
617.00	0.025570
618.00	0.028680
619.00	0.030299
620.00	0.029684
621.00	0.027286
622.00	0.023559
623.00	0.019581
624.00	0.015719
625.00	0.012384
626.00	0.0097090
627.00	0.0077658
628.00	0.0062799
629.00	0.0053105
630.00	0.0046156
631.00	0.0041532
632.00	0.0036170
633.00	0.0033441
634.00	0.0029993
635.00	0.0028337
636.00	0.0026921
637.00	0.0026286
638.00	0.0025643
639.00	0.0024991
640.00	0.0026467
641.00	0.0025643
642.00	0.0025137
643.00	0.0024253
644.00	0.0027239
645.00	0.0029435
646.00	0.0029083
647.00	0.0029795
648.00	0.0030936
649.00	0.0030310
650.00	0.0030773
651.00	0.0029023
652.00	0.0028363
653.00	0.0028294
654.00	0.0028019
655.00	0.0026398
656.00	0.0021757
657.00	0.0037448
658.00	0.0028140
659.00	0.0022486
660.00	0.0021070
661.00	0.0019389
662.00	0.0018763
663.00	0.0019243
664.00	0.0019784
665.00	0.0018883
666.00	0.0019760
667.00	0.0019355
668.00	0.0018274
669.00	0.0017686
670.00	0.0017416
671.00	0.0017776
672.00	0.0017236
673.00	0.0017722
674.00	0.0016642
675.00	0.0017146
676.00	0.0017794
677.00	0.0016337
678.00	0.0016894
679.00	0.0015725
680.00	0.0016606
681.00	0.0016229
682.00	0.0015473
683.00	0.0015815
684.00	0.0015293
685.00	0.0015437
686.00	0.0015599
687.00	0.0014591
688.00	0.0014267
689.00	0.0014771
690.00	0.0013710
691.00	0.0013350
692.00	0.0013710
693.00	0.0014735
694.00	0.0014052
695.00	0.0013926
696.00	0.0013098
697.00	0.0013224
698.00	0.0013944
699.00	0.0013692
700.00	0.0013242
