Wavelength (nm)	Eur J Inorg Chem 2021_1904, Zn-DPiCC 2 (CH3CN) abs [Z]
405.00	0.35485
406.00	0.34778
407.00	0.34213
408.00	0.33649
409.00	0.33084
410.00	0.32519
411.00	0.31955
412.00	0.31390
413.00	0.30862
414.00	0.30480
415.00	0.30099
416.00	0.29717
417.00	0.29336
418.00	0.28954
419.00	0.28573
420.00	0.28191
421.00	0.27810
422.00	0.27449
423.00	0.27146
424.00	0.26844
425.00	0.26541
426.00	0.26238
427.00	0.25935
428.00	0.25632
429.00	0.25330
430.00	0.25027
431.00	0.24724
432.00	0.24421
433.00	0.24118
434.00	0.23870
435.00	0.23633
436.00	0.23396
437.00	0.23158
438.00	0.22921
439.00	0.22684
440.00	0.22447
441.00	0.22209
442.00	0.21972
443.00	0.21735
444.00	0.21498
445.00	0.21285
446.00	0.21112
447.00	0.20939
448.00	0.20766
449.00	0.20592
450.00	0.20419
451.00	0.20246
452.00	0.20073
453.00	0.19899
454.00	0.19726
455.00	0.19553
456.00	0.19380
457.00	0.19206
458.00	0.19032
459.00	0.18858
460.00	0.18684
461.00	0.18510
462.00	0.18336
463.00	0.18162
464.00	0.18046
465.00	0.18010
466.00	0.17974
467.00	0.17938
468.00	0.17902
469.00	0.17866
470.00	0.17830
471.00	0.17905
472.00	0.17980
473.00	0.18056
474.00	0.18131
475.00	0.18206
476.00	0.18281
477.00	0.18450
478.00	0.18634
479.00	0.18818
480.00	0.19002
481.00	0.19185
482.00	0.19369
483.00	0.19553
484.00	0.19759
485.00	0.20010
486.00	0.20262
487.00	0.20514
488.00	0.20766
489.00	0.21018
490.00	0.21270
491.00	0.21521
492.00	0.21773
493.00	0.22025
494.00	0.22277
495.00	0.22579
496.00	0.22881
497.00	0.23183
498.00	0.23484
499.00	0.23786
500.00	0.24088
501.00	0.24390
502.00	0.24692
503.00	0.24994
504.00	0.25295
505.00	0.25787
506.00	0.26372
507.00	0.26958
508.00	0.27543
509.00	0.28128
510.00	0.28714
511.00	0.29299
512.00	0.29884
513.00	0.30606
514.00	0.31428
515.00	0.32249
516.00	0.33070
517.00	0.33891
518.00	0.34713
519.00	0.35534
520.00	0.36355
521.00	0.37177
522.00	0.38014
523.00	0.38878
524.00	0.39742
525.00	0.40606
526.00	0.41470
527.00	0.42334
528.00	0.43198
529.00	0.44062
530.00	0.44926
531.00	0.45790
532.00	0.46388
533.00	0.46949
534.00	0.47510
535.00	0.48071
536.00	0.48632
537.00	0.49193
538.00	0.49758
539.00	0.50335
540.00	0.50912
541.00	0.51490
542.00	0.52067
543.00	0.52644
544.00	0.53222
545.00	0.53848
546.00	0.54525
547.00	0.55202
548.00	0.55879
549.00	0.56557
550.00	0.57234
551.00	0.58136
552.00	0.59455
553.00	0.60774
554.00	0.62094
555.00	0.63413
556.00	0.64732
557.00	0.66051
558.00	0.67371
559.00	0.68690
560.00	0.70009
561.00	0.71342
562.00	0.73316
563.00	0.75291
564.00	0.77266
565.00	0.79241
566.00	0.81216
567.00	0.83191
568.00	0.85046
569.00	0.86884
570.00	0.88723
571.00	0.90562
572.00	0.92205
573.00	0.93578
574.00	0.94951
575.00	0.96036
576.00	0.96588
577.00	0.97139
578.00	0.97691
579.00	0.97917
580.00	0.98142
581.00	0.98368
582.00	0.98069
583.00	0.97730
584.00	0.97391
585.00	0.96660
586.00	0.95865
587.00	0.95069
588.00	0.94160
589.00	0.92868
590.00	0.91576
591.00	0.90284
592.00	0.89101
593.00	0.87987
594.00	0.86874
595.00	0.85760
596.00	0.85087
597.00	0.84422
598.00	0.83757
599.00	0.83121
600.00	0.82857
601.00	0.82594
602.00	0.82331
603.00	0.82597
604.00	0.82864
605.00	0.83130
606.00	0.83455
607.00	0.84300
608.00	0.85146
609.00	0.86052
610.00	0.87097
611.00	0.88142
612.00	0.89187
613.00	0.90232
614.00	0.91277
615.00	0.92577
616.00	0.93975
617.00	0.95086
618.00	0.95898
619.00	0.96711
620.00	0.97523
621.00	0.98251
622.00	0.98918
623.00	0.99550
624.00	0.99700
625.00	0.99850
626.00	1.0000
627.00	0.99811
628.00	0.99621
629.00	0.99432
630.00	0.98754
631.00	0.97813
632.00	0.96872
633.00	0.95916
634.00	0.94485
635.00	0.93055
636.00	0.91624
637.00	0.90193
638.00	0.88762
639.00	0.87332
640.00	0.85771
641.00	0.83946
642.00	0.82122
643.00	0.80298
644.00	0.78473
645.00	0.76649
646.00	0.74776
647.00	0.72694
648.00	0.70613
649.00	0.68532
650.00	0.66451
651.00	0.64370
652.00	0.61873
653.00	0.59324
654.00	0.56776
655.00	0.54227
656.00	0.51679
657.00	0.49130
658.00	0.46791
659.00	0.44521
660.00	0.42251
661.00	0.39981
662.00	0.37711
663.00	0.35441
664.00	0.33172
665.00	0.30902
666.00	0.28910
667.00	0.27061
668.00	0.25212
669.00	0.23364
670.00	0.21515
671.00	0.19842
672.00	0.18494
673.00	0.17147
674.00	0.15800
675.00	0.14524
676.00	0.13336
677.00	0.12147
678.00	0.10959
679.00	0.097700
680.00	0.088888
681.00	0.080139
682.00	0.071389
683.00	0.063729
684.00	0.058093
685.00	0.052456
686.00	0.046820
687.00	0.041183
688.00	0.036576
689.00	0.034058
690.00	0.031539
691.00	0.029021
692.00	0.026502
693.00	0.023984
694.00	0.021466
695.00	0.020005
696.00	0.018649
697.00	0.017293
698.00	0.015937
699.00	0.014580
700.00	0.013224
701.00	0.011868
702.00	0.010512
703.00	0.0098583
704.00	0.0093586
705.00	0.0088589
706.00	0.0083592
707.00	0.0078595
708.00	0.0073598
709.00	0.0068601
710.00	0.0063604
711.00	0.0060368
712.00	0.0057783
713.00	0.0055199
714.00	0.0052614
715.00	0.0050029
716.00	0.0047444
717.00	0.0044859
718.00	0.0042275
719.00	0.0039690
720.00	0.0037105
721.00	0.0034520
722.00	0.0033146
723.00	0.0032724
724.00	0.0032302
725.00	0.0031879
726.00	0.0031457
727.00	0.0031034
728.00	0.0030612
729.00	0.0030189
730.00	0.0029767
731.00	0.0029344
732.00	0.0028922
733.00	0.0028499
734.00	0.0028077
735.00	0.0027654
736.00	0.0027247
737.00	0.0026841
738.00	0.0026435
739.00	0.0026030
740.00	0.0025624
741.00	0.0025218
742.00	0.0024812
743.00	0.0024407
744.00	0.0024001
745.00	0.0023595
746.00	0.0023189
747.00	0.0022783
748.00	0.0022378
749.00	0.0021972
750.00	0.0021524
751.00	0.0021053
752.00	0.0020583
753.00	0.0020113
754.00	0.0019643
755.00	0.0019172
756.00	0.0018702
757.00	0.0018232
758.00	0.0017762
759.00	0.0017292
760.00	0.0016821
761.00	0.0016351
762.00	0.0015881
763.00	0.0015411
764.00	0.0014940
765.00	0.0014470
766.00	0.0014000
767.00	0.0013530
768.00	0.0013059
769.00	0.0012589
770.00	0.0012119
771.00	0.0011649
772.00	0.0011178
773.00	0.0010708
774.00	0.0010285
775.00	0.0010285
776.00	0.0010285
777.00	0.0010285
778.00	0.0010285
779.00	0.0010285
780.00	0.0010285
781.00	0.0010285
782.00	0.0010285
783.00	0.0010285
784.00	0.0010285
785.00	0.0010285
786.00	0.0010285
787.00	0.0010285
788.00	0.0010285
789.00	0.0010285
790.00	0.0010285
791.00	0.0010285
792.00	0.0010285
793.00	0.0010285
794.00	0.0010285
795.00	0.0010285
796.00	0.0010285
797.00	0.0010285
798.00	0.0010285
799.00	0.0010285
800.00	0.0010285
