Wavelength (nm)	Q12 abs e
578.25	5182.3
578.50	5036.2
578.75	4685.0
579.00	4245.4
579.25	3969.7
579.50	3505.8
579.75	4386.1
580.00	3661.6
580.25	3017.8
580.50	3994.3
580.75	4385.2
581.00	2427.7
581.25	3604.5
581.50	3621.4
581.75	3408.1
582.00	3099.5
582.25	1978.8
582.50	1684.7
582.75	3175.4
583.00	3194.3
583.25	3852.6
583.50	2693.2
583.75	2918.6
584.00	2942.8
584.25	2401.5
584.50	3116.9
584.75	2810.7
585.00	1922.2
585.25	2410.2
585.50	3354.9
585.75	1577.3
586.00	2085.7
586.25	2092.5
586.50	1362.6
586.75	1377.6
587.00	1980.7
587.25	2133.6
587.50	2463.9
587.75	2472.2
588.00	1927.0
588.25	2164.5
588.50	2441.7
588.75	1476.7
589.00	2307.2
589.25	2197.9
589.50	2848.0
589.75	1533.8
590.00	1437.5
590.25	2272.9
590.50	1904.3
590.75	2544.2
591.00	1728.7
591.25	2499.7
591.50	1759.7
591.75	2389.0
592.00	2594.5
592.25	2196.0
592.50	1885.4
592.75	2214.8
593.00	1583.6
593.25	1568.1
593.50	1667.8
593.75	2689.3
594.00	2591.6
594.25	1990.9
594.50	1648.9
594.75	2887.6
595.00	3341.3
595.25	1380.0
595.50	2862.0
595.75	3589.5
596.00	2673.9
596.25	2626.0
596.50	1083.5
596.75	2603.7
597.00	2717.4
597.25	3169.6
597.50	2696.6
597.75	3706.5
598.00	3479.7
598.25	4213.0
598.50	3563.4
598.75	3704.6
599.00	4050.9
599.25	3784.4
599.50	5514.1
599.75	4711.7
600.00	3691.1
600.25	4047.1
600.50	5314.3
600.75	5290.6
601.00	5498.1
601.25	4951.6
601.50	5645.7
601.75	5278.5
602.00	5823.7
602.25	5163.4
602.50	6257.5
602.75	5801.9
603.00	5346.7
603.25	6244.5
603.50	5185.2
603.75	5651.0
604.00	5076.4
604.25	5071.0
604.50	5927.7
604.75	5458.5
605.00	6287.0
605.25	5732.2
605.50	4850.0
605.75	4600.4
606.00	4480.9
606.25	5121.3
606.50	5620.0
606.75	4336.8
607.00	4031.6
607.25	4843.7
607.50	4680.2
607.75	3226.2
608.00	3776.7
608.25	3640.3
608.50	4500.3
608.75	3732.7
609.00	3344.7
609.25	2708.2
609.50	2910.9
609.75	3125.6
610.00	3270.2
610.25	2505.0
610.50	937.40
610.75	2127.8
611.00	2757.0
611.25	2929.2
611.50	2212.9
611.75	1683.3
612.00	3193.8
612.25	2203.2
612.50	1320.5
612.75	2054.2
613.00	863.39
613.25	2489.1
613.50	1436.1
613.75	1483.0
614.00	2060.5
614.25	2252.6
614.50	1670.2
614.75	2441.2
615.00	1141.5
615.25	1933.3
615.50	1159.9
615.75	1583.6
616.00	1925.1
616.25	2147.1
616.50	527.23
616.75	344.39
617.00	820.34
617.25	1858.8
617.50	1310.8
617.75	817.92
618.00	1157.5
618.25	726.51
618.50	1667.3
618.75	168.81
619.00	465.80
619.25	250.55
619.50	793.74
619.75	1574.4
620.00	497.24
620.25	1726.3
620.50	1172.5
620.75	1668.7
621.00	437.26
621.25	828.57
621.50	294.09
621.75	683.94
622.00	89.483
622.25	810.67
622.50	257.32
622.75	1740.8
623.00	-22.734
623.25	496.27
623.50	877.42
623.75	354.06
624.00	1601.0
624.25	1303.6
624.50	662.66
624.75	1275.5
625.00	93.836
625.25	1129.4
625.50	-274.25
625.75	584.78
626.00	-88.999
626.25	151.40
626.50	591.56
626.75	774.88
627.00	946.59
627.25	512.23
627.50	261.68
627.75	746.34
628.00	359.87
628.25	277.64
628.50	807.77
628.75	654.92
629.00	1440.9
629.25	480.79
629.50	798.58
629.75	202.18
630.00	1083.0
630.25	618.16
630.50	1425.0
630.75	1692.9
631.00	2265.6
631.25	-273.77
631.50	739.08
631.75	-708.13
632.00	525.29
632.25	749.72
632.50	900.15
632.75	341.00
633.00	-249.59
633.25	-42.081
633.50	1083.5
633.75	957.23
634.00	963.03
634.25	113.18
634.50	893.86
634.75	986.73
635.00	285.38
635.25	722.15
635.50	-48.369
635.75	379.22
636.00	-543.67
636.25	1006.1
636.50	840.66
636.75	52.723
637.00	420.33
637.25	1148.8
637.50	1748.5
637.75	1009.5
638.00	1555.1
638.25	1642.6
638.50	124.79
638.75	203.63
639.00	949.49
639.25	1811.4
639.50	-101.58
639.75	239.91
640.00	-371.48
640.25	108.35
640.50	1031.7
640.75	920.95
641.00	1693.9
641.25	1345.6
641.50	1093.1
641.75	1220.8
642.00	-128.66
642.25	-222.50
642.50	865.81
642.75	607.03
643.00	668.95
643.25	611.39
643.50	49.820
643.75	385.50
644.00	762.78
644.25	1858.3
644.50	1296.8
644.75	1934.3
645.00	-173.16
645.25	-88.999
645.50	1622.3
645.75	1371.3
646.00	771.97
646.25	1180.7
646.50	40.147
646.75	125.76
647.00	543.19
647.25	378.73
647.50	765.69
647.75	-373.41
648.00	-179.45
648.25	358.42
648.50	2200.8
648.75	925.30
649.00	866.78
649.25	-475.95
649.50	1152.2
649.75	580.92
650.00	1013.8
650.25	1236.3
650.50	-201.70
650.75	-581.40
651.00	831.47
651.25	1257.6
651.50	-175.58
651.75	922.40
652.00	96.255
652.25	465.80
652.50	-171.71
652.75	-75.940
653.00	871.13
653.25	2146.6
653.50	-882.26
653.75	315.37
654.00	-722.64
654.25	484.66
654.50	560.60
654.75	915.63
655.00	1866.6
655.25	-52.723
655.50	368.09
655.75	804.86
656.00	-185.25
656.25	1506.2
656.50	632.19
656.75	1041.9
657.00	191.54
657.25	1040.9
657.50	-259.74
657.75	1303.1
658.00	494.82
658.25	1348.1
658.50	-657.34
658.75	1217.9
659.00	1389.6
659.25	1192.8
659.50	300.86
659.75	274.25
660.00	1769.8
660.25	0.96739
660.50	-526.26
660.75	1351.9
661.00	1476.2
661.25	-202.18
661.50	-708.13
661.75	439.19
662.00	981.90
662.25	-152.85
662.50	94.804
662.75	776.81
663.00	-33.858
663.25	459.02
663.50	238.46
663.75	835.34
664.00	742.47
664.25	311.98
664.50	293.60
664.75	723.60
665.00	933.04
665.25	423.71
665.50	144.62
665.75	178.00
666.00	-19.348
666.25	-96.739
666.50	786.48
666.75	1258.1
667.00	-805.35
667.25	1756.8
667.50	946.10
667.75	844.04
668.00	-153.33
668.25	480.79
668.50	808.25
668.75	7.7391
669.00	1286.6
669.25	1288.1
669.50	-214.76
669.75	1565.7
670.00	903.05
670.25	359.87
670.50	1004.6
670.75	2081.3
671.00	13.543
671.25	-1087.3
671.50	1999.6
671.75	1197.6
672.00	-434.36
672.25	300.37
672.50	636.54
672.75	-1131.4
673.00	70.135
673.25	-349.23
673.50	1191.8
673.75	1862.2
674.00	1221.3
674.25	1284.7
674.50	1053.0
674.75	479.82
675.00	826.15
675.25	1680.8
675.50	356.97
675.75	70.619
676.00	475.47
676.25	248.62
676.50	901.60
676.75	120.92
677.00	-223.95
677.25	562.05
677.50	226.37
677.75	496.27
678.00	239.43
678.25	532.06
678.50	-661.69
678.75	511.26
679.00	199.77
679.25	1047.7
679.50	1038.0
679.75	298.44
680.00	597.36
680.25	203.15
680.50	1804.7
680.75	436.29
681.00	848.40
681.25	1299.7
681.50	1169.6
681.75	466.76
682.00	816.47
682.25	409.69
682.50	-326.98
682.75	-126.24
683.00	1141.0
683.25	-42.565
683.50	-344.87
683.75	-126.73
684.00	267.00
684.25	936.43
684.50	1378.5
684.75	386.47
685.00	342.45
685.25	413.07
685.50	717.32
685.75	-608.00
686.00	13.543
686.25	172.68
686.50	-182.84
686.75	-146.08
687.00	297.47
687.25	601.23
687.50	700.39
687.75	1672.6
