Wavelength (nm)	Chem Sci 2014_3388, Cd-1 abs [Z]
429.00	0.13137
430.00	0.12881
431.00	0.12626
432.00	0.12370
433.00	0.12115
434.00	0.11918
435.00	0.11762
436.00	0.11606
437.00	0.11449
438.00	0.11293
439.00	0.11137
440.00	0.10981
441.00	0.10825
442.00	0.10669
443.00	0.10513
444.00	0.10356
445.00	0.10200
446.00	0.10040
447.00	0.098776
448.00	0.097151
449.00	0.095526
450.00	0.093902
451.00	0.092277
452.00	0.090652
453.00	0.089028
454.00	0.087403
455.00	0.086253
456.00	0.085325
457.00	0.084398
458.00	0.083471
459.00	0.082544
460.00	0.081617
461.00	0.080797
462.00	0.080225
463.00	0.079654
464.00	0.079083
465.00	0.078512
466.00	0.077940
467.00	0.077369
468.00	0.077842
469.00	0.078394
470.00	0.078946
471.00	0.079498
472.00	0.080049
473.00	0.080625
474.00	0.081328
475.00	0.082031
476.00	0.082734
477.00	0.083436
478.00	0.084139
479.00	0.085696
480.00	0.087270
481.00	0.088845
482.00	0.090419
483.00	0.091994
484.00	0.093724
485.00	0.096076
486.00	0.098429
487.00	0.10078
488.00	0.10313
489.00	0.10549
490.00	0.10784
491.00	0.11031
492.00	0.11294
493.00	0.11557
494.00	0.11821
495.00	0.12084
496.00	0.12347
497.00	0.12610
498.00	0.12998
499.00	0.13407
500.00	0.13815
501.00	0.14224
502.00	0.14632
503.00	0.15041
504.00	0.15465
505.00	0.15929
506.00	0.16393
507.00	0.16856
508.00	0.17320
509.00	0.17784
510.00	0.18247
511.00	0.18750
512.00	0.19289
513.00	0.19828
514.00	0.20366
515.00	0.20905
516.00	0.21444
517.00	0.21983
518.00	0.22521
519.00	0.23158
520.00	0.23827
521.00	0.24496
522.00	0.25165
523.00	0.25834
524.00	0.26502
525.00	0.27171
526.00	0.27840
527.00	0.28509
528.00	0.29178
529.00	0.29847
530.00	0.30596
531.00	0.31365
532.00	0.32134
533.00	0.32903
534.00	0.33672
535.00	0.34441
536.00	0.35210
537.00	0.35979
538.00	0.36748
539.00	0.37517
540.00	0.38286
541.00	0.39055
542.00	0.39824
543.00	0.40593
544.00	0.41576
545.00	0.42669
546.00	0.43762
547.00	0.44856
548.00	0.45949
549.00	0.47043
550.00	0.48136
551.00	0.49229
552.00	0.50323
553.00	0.51416
554.00	0.52510
555.00	0.53613
556.00	0.54741
557.00	0.55868
558.00	0.56996
559.00	0.58124
560.00	0.59251
561.00	0.60292
562.00	0.61256
563.00	0.62220
564.00	0.63184
565.00	0.64149
566.00	0.65067
567.00	0.65728
568.00	0.66389
569.00	0.67050
570.00	0.67546
571.00	0.67918
572.00	0.68290
573.00	0.68662
574.00	0.69034
575.00	0.69393
576.00	0.69697
577.00	0.70002
578.00	0.70307
579.00	0.70611
580.00	0.70910
581.00	0.71201
582.00	0.71492
583.00	0.71783
584.00	0.72079
585.00	0.72535
586.00	0.72991
587.00	0.73448
588.00	0.74058
589.00	0.74864
590.00	0.75670
591.00	0.76477
592.00	0.77564
593.00	0.78795
594.00	0.80026
595.00	0.81257
596.00	0.82488
597.00	0.83740
598.00	0.85226
599.00	0.86712
600.00	0.88198
601.00	0.89662
602.00	0.90927
603.00	0.92192
604.00	0.93457
605.00	0.94722
606.00	0.95987
607.00	0.97086
608.00	0.98171
609.00	0.98923
610.00	0.99380
611.00	0.99837
612.00	0.99930
613.00	1.0000
614.00	0.99832
615.00	0.99665
616.00	0.99174
617.00	0.98430
618.00	0.97263
619.00	0.96083
620.00	0.94307
621.00	0.92101
622.00	0.89895
623.00	0.87610
624.00	0.85272
625.00	0.82934
626.00	0.80592
627.00	0.77915
628.00	0.75238
629.00	0.72561
630.00	0.69885
631.00	0.67183
632.00	0.63678
633.00	0.60172
634.00	0.56667
635.00	0.53001
636.00	0.48825
637.00	0.44721
638.00	0.41973
639.00	0.39225
640.00	0.36477
641.00	0.33737
642.00	0.30998
643.00	0.28427
644.00	0.26294
645.00	0.24160
646.00	0.22026
647.00	0.20230
648.00	0.18477
649.00	0.16723
650.00	0.15066
651.00	0.13626
652.00	0.12186
653.00	0.10805
654.00	0.098610
655.00	0.089172
656.00	0.079734
657.00	0.070297
658.00	0.062476
659.00	0.056034
660.00	0.049592
661.00	0.043628
662.00	0.040371
663.00	0.037115
664.00	0.033859
665.00	0.030603
666.00	0.027347
667.00	0.025047
668.00	0.022767
669.00	0.020486
670.00	0.018206
671.00	0.016769
672.00	0.015342
673.00	0.013914
674.00	0.012486
675.00	0.011147
676.00	0.010142
677.00	0.0091373
678.00	0.0081324
679.00	0.0071276
680.00	0.0062064
681.00	0.0055656
682.00	0.0049248
683.00	0.0042840
684.00	0.0036432
685.00	0.0031195
686.00	0.0029291
687.00	0.0027388
688.00	0.0025484
689.00	0.0023581
690.00	0.0021677
691.00	0.0019773
692.00	0.0017945
693.00	0.0016884
694.00	0.0015822
695.00	0.0014760
696.00	0.0013699
697.00	0.0012637
698.00	0.0011575
699.00	0.0010513
700.00	0.00094517
701.00	0.00089190
702.00	0.00088747
703.00	0.00088304
704.00	0.00087861
705.00	0.00087417
706.00	0.00086974
707.00	0.00086531
708.00	0.00086088
709.00	0.00085644
710.00	0.00085201
711.00	0.00084758
712.00	0.00084315
713.00	0.00083871
714.00	0.00083428
715.00	0.00082985
716.00	0.00082541
717.00	0.00082098
718.00	0.00081655
719.00	0.00081212
720.00	0.00080768
721.00	0.00080325
722.00	0.00079882
723.00	0.00079439
724.00	0.00078995
725.00	0.00078552
726.00	0.00078110
727.00	0.00077669
728.00	0.00077227
729.00	0.00076786
730.00	0.00076344
731.00	0.00075902
732.00	0.00075461
733.00	0.00075019
734.00	0.00074578
735.00	0.00074136
736.00	0.00073695
737.00	0.00073253
738.00	0.00072431
739.00	0.00071609
740.00	0.00070787
741.00	0.00069964
742.00	0.00069142
743.00	0.00068320
744.00	0.00067498
745.00	0.00066676
746.00	0.00065854
747.00	0.00065031
748.00	0.00064209
749.00	0.00063387
750.00	0.00062565
751.00	0.00062343
752.00	0.00062343
753.00	0.00062343
754.00	0.00062343
755.00	0.00062343
756.00	0.00062343
757.00	0.00062343
758.00	0.00062343
759.00	0.00062343
760.00	0.00062343
761.00	0.00062343
762.00	0.00062343
763.00	0.00062343
764.00	0.00062343
765.00	0.00062343
766.00	0.00062343
767.00	0.00062343
768.00	0.00062343
769.00	0.00062343
770.00	0.00062343
771.00	0.00062343
772.00	0.00062343
773.00	0.00062343
774.00	0.00062343
775.00	0.00062343
776.00	0.00062343
777.00	0.00062343
778.00	0.00062343
779.00	0.00062343
780.00	0.00062343
781.00	0.00062343
782.00	0.00062343
783.00	0.00062343
784.00	0.00062343
785.00	0.00062343
786.00	0.00062343
787.00	0.00062343
788.00	0.00062343
789.00	0.00062343
790.00	0.00062343
791.00	0.00062343
792.00	0.00062343
793.00	0.00062343
794.00	0.00062343
795.00	0.00062343
796.00	0.00062343
797.00	0.00062343
798.00	0.00062343
799.00	0.00062343
800.00	0.00062343
