Wavelength (nm)	15, (Z)-Ep-PxB-4, ZEPPXB4, F
332.00	0.36398
333.00	0.33700
334.00	0.31001
335.00	0.28598
336.00	0.26194
337.00	0.24117
338.00	0.22041
339.00	0.20371
340.00	0.18702
341.00	0.17428
342.00	0.16154
343.00	0.15231
344.00	0.14307
345.00	0.13740
346.00	0.13173
347.00	0.12866
348.00	0.12558
349.00	0.12497
350.00	0.12437
351.00	0.12554
352.00	0.12671
353.00	0.12920
354.00	0.13168
355.00	0.13560
356.00	0.13952
357.00	0.14447
358.00	0.14943
359.00	0.15535
360.00	0.16128
361.00	0.16783
362.00	0.17438
363.00	0.18226
364.00	0.19013
365.00	0.19903
366.00	0.20792
367.00	0.21742
368.00	0.22692
369.00	0.23683
370.00	0.24673
371.00	0.25831
372.00	0.26989
373.00	0.28197
374.00	0.29405
375.00	0.30674
376.00	0.31943
377.00	0.33264
378.00	0.34586
379.00	0.35983
380.00	0.37380
381.00	0.38843
382.00	0.40306
383.00	0.41854
384.00	0.43401
385.00	0.45032
386.00	0.46663
387.00	0.48305
388.00	0.49947
389.00	0.51649
390.00	0.53350
391.00	0.55160
392.00	0.56969
393.00	0.58681
394.00	0.60394
395.00	0.62230
396.00	0.64065
397.00	0.65885
398.00	0.67705
399.00	0.69426
400.00	0.71148
401.00	0.72861
402.00	0.74575
403.00	0.76375
404.00	0.78174
405.00	0.79779
406.00	0.81384
407.00	0.82889
408.00	0.84393
409.00	0.85872
410.00	0.87350
411.00	0.88737
412.00	0.90124
413.00	0.91297
414.00	0.92470
415.00	0.93511
416.00	0.94552
417.00	0.95490
418.00	0.96428
419.00	0.97231
420.00	0.98034
421.00	0.98577
422.00	0.99120
423.00	0.99432
424.00	0.99744
425.00	0.99872
426.00	1.0000
427.00	0.99854
428.00	0.99708
429.00	0.99355
430.00	0.99002
431.00	0.98371
432.00	0.97740
433.00	0.96813
434.00	0.95885
435.00	0.94629
436.00	0.93372
437.00	0.91917
438.00	0.90463
439.00	0.88611
440.00	0.86759
441.00	0.84818
442.00	0.82876
443.00	0.80736
444.00	0.78597
445.00	0.76316
446.00	0.74036
447.00	0.71561
448.00	0.69086
449.00	0.66500
450.00	0.63914
451.00	0.61372
452.00	0.58831
453.00	0.56120
454.00	0.53409
455.00	0.50789
456.00	0.48170
457.00	0.45594
458.00	0.43019
459.00	0.40715
460.00	0.38412
461.00	0.36140
462.00	0.33867
463.00	0.31593
464.00	0.29318
465.00	0.27449
466.00	0.25580
467.00	0.23936
468.00	0.22292
469.00	0.20708
470.00	0.19124
471.00	0.17512
472.00	0.15900
473.00	0.14575
474.00	0.13251
475.00	0.12139
476.00	0.11027
477.00	0.10095
478.00	0.091620
479.00	0.083244
480.00	0.074868
481.00	0.067956
482.00	0.061045
483.00	0.052390
484.00	0.043734
485.00	0.040003
486.00	0.036271
487.00	0.034176
488.00	0.032082
489.00	0.029394
490.00	0.026706
491.00	0.023970
492.00	0.021234
493.00	0.018435
494.00	0.015636
495.00	0.014179
496.00	0.012722
497.00	0.011326
498.00	0.0099307
499.00	0.0087168
500.00	0.0075029
501.00	0.0067037
502.00	0.0059045
503.00	0.0054618
504.00	0.0050190
505.00	0.0047175
506.00	0.0044160
507.00	0.0042176
508.00	0.0040192
509.00	0.0038231
510.00	0.0036269
511.00	0.0034969
512.00	0.0033669
513.00	0.0033030
514.00	0.0032391
515.00	0.0032133
516.00	0.0031875
517.00	0.0031528
518.00	0.0031180
519.00	0.0032963
520.00	0.0034745
521.00	0.0034565
522.00	0.0034386
523.00	0.0035115
524.00	0.0035843
525.00	0.0035776
526.00	0.0035709
527.00	0.0034039
528.00	0.0032368
529.00	0.0033332
530.00	0.0034296
531.00	0.0032649
532.00	0.0031001
533.00	0.0029701
534.00	0.0028401
535.00	0.0028927
536.00	0.0029454
537.00	0.0029409
538.00	0.0029365
539.00	0.0028277
540.00	0.0027190
541.00	0.0027459
542.00	0.0027728
543.00	0.0028031
544.00	0.0028333
545.00	0.0027381
546.00	0.0026428
547.00	0.0026775
548.00	0.0027123
549.00	0.0028558
550.00	0.0029992
