Wavelength (nm)	Chem Sci 2014_3388, PiCC ems (MeOH) [Z]
665.00	0.69161
666.00	0.65400
667.00	0.67356
668.00	0.65487
669.00	0.62943
670.00	0.64558
671.00	0.68440
672.00	0.65377
673.00	0.61853
674.00	0.62349
675.00	0.60333
676.00	0.62332
677.00	0.61549
678.00	0.56950
679.00	0.54452
680.00	0.55702
681.00	0.56444
682.00	0.51357
683.00	0.53483
684.00	0.52213
685.00	0.54616
686.00	0.52513
687.00	0.48438
688.00	0.49577
689.00	0.51049
690.00	0.46546
691.00	0.48049
692.00	0.49466
693.00	0.48138
694.00	0.46696
695.00	0.44562
696.00	0.47361
697.00	0.47955
698.00	0.45098
699.00	0.46415
700.00	0.44935
701.00	0.44838
702.00	0.47999
703.00	0.44877
704.00	0.42004
705.00	0.43374
706.00	0.44450
707.00	0.45452
708.00	0.41894
709.00	0.40203
710.00	0.40428
711.00	0.41435
712.00	0.42698
713.00	0.40724
714.00	0.39086
715.00	0.40425
716.00	0.41106
717.00	0.38340
718.00	0.36873
719.00	0.37438
720.00	0.36241
721.00	0.35981
722.00	0.35722
723.00	0.38875
724.00	0.33746
725.00	0.32225
726.00	0.33963
727.00	0.33883
728.00	0.34175
729.00	0.32017
730.00	0.32329
731.00	0.30969
732.00	0.30877
733.00	0.31882
734.00	0.28564
735.00	0.30998
736.00	0.29178
737.00	0.29070
738.00	0.27430
739.00	0.28127
740.00	0.24317
741.00	0.24987
742.00	0.23391
743.00	0.27698
744.00	0.23426
745.00	0.25182
746.00	0.24563
747.00	0.24295
748.00	0.24736
749.00	0.23741
750.00	0.20607
751.00	0.22748
752.00	0.20354
753.00	0.19868
754.00	0.22793
755.00	0.20632
756.00	0.19768
757.00	0.21857
758.00	0.16597
759.00	0.18743
760.00	0.20263
761.00	0.17055
762.00	0.16503
763.00	0.17677
764.00	0.18742
765.00	0.19541
766.00	0.14772
767.00	0.17134
768.00	0.16783
769.00	0.13361
770.00	0.14765
771.00	0.14002
772.00	0.13825
773.00	0.14842
774.00	0.12513
775.00	0.13286
776.00	0.11442
777.00	0.12920
778.00	0.10926
779.00	0.11870
780.00	0.12713
781.00	0.096347
782.00	0.096347
783.00	0.12026
784.00	0.10931
785.00	0.094852
786.00	0.10437
787.00	0.11343
788.00	0.10482
789.00	0.096858
790.00	0.10594
791.00	0.098013
792.00	0.087586
793.00	0.089781
794.00	0.070628
795.00	0.090528
796.00	0.072021
797.00	0.086700
798.00	0.090497
799.00	0.090268
800.00	0.067810
801.00	0.076468
802.00	0.072348
803.00	0.072478
804.00	0.064654
805.00	0.061488
806.00	0.062700
807.00	0.052548
808.00	0.076140
809.00	0.063707
810.00	0.058332
811.00	0.067959
812.00	0.072554
813.00	0.046253
814.00	0.077817
815.00	0.051754
816.00	0.055163
817.00	0.058572
818.00	0.067348
819.00	0.034779
820.00	0.045015
821.00	0.055252
822.00	0.042081
823.00	0.060511
824.00	0.056489
825.00	0.025214
826.00	0.040498
827.00	0.031848
828.00	0.031895
829.00	0.044110
830.00	0.031438
831.00	0.039642
832.00	0.050798
833.00	0.040934
834.00	0.025278
835.00	0.021950
836.00	0.037507
837.00	0.030329
838.00	0.018084
839.00	0.043885
840.00	0.038392
841.00	0.032186
842.00	0.018784
843.00	0.049171
844.00	0.025100
845.00	0.026168
846.00	0.015759
847.00	0.0092210
848.00	0.016343
849.00	0.010805
850.00	0.025377
851.00	0.0070464
852.00	0.0066200
853.00	0.0062873
854.00	0.0062873
855.00	0.019180
856.00	0.0097506
857.00	0.021559
858.00	0.0068804
859.00	0.024880
860.00	0.0091954
861.00	0.015480
862.00	0.025661
863.00	0.010217
864.00	0.017566
865.00	0.010045
866.00	0.021351
867.00	0.013884
868.00	0.0066545
869.00	0.0057801
870.00	0.013420
871.00	0.012836
872.00	0.0076116
873.00	0.016319
874.00	0.010302
875.00	0.012643
876.00	0.021512
877.00	0.0084215
878.00	0.0045538
879.00	0.0052289
880.00	0.0068771
881.00	0.019712
882.00	0.010895
883.00	0.010286
884.00	0.018446
885.00	0.0098721
886.00	0.030300
887.00	0.027686
888.00	0.012544
889.00	0.012355
890.00	0.015397
891.00	0.0075127
892.00	0.027517
893.00	0.024011
894.00	0.010826
895.00	0.014381
896.00	0.0092480
897.00	0.0070968
898.00	0.0063898
899.00	0.0056827
900.00	0.0049757
