Wavelength (nm)	J14
440.00	13432
441.00	13555
442.00	13621
443.00	13714
444.00	13825
445.00	13927
446.00	14038
447.00	14138
448.00	14236
449.00	14333
450.00	14462
451.00	14607
452.00	14736
453.00	14871
454.00	15015
455.00	15175
456.00	15359
457.00	15541
458.00	15771
459.00	15982
460.00	16211
461.00	16425
462.00	16671
463.00	16982
464.00	17250
465.00	17548
466.00	17821
467.00	18121
468.00	18440
469.00	18713
470.00	19069
471.00	19400
472.00	19834
473.00	20184
474.00	20484
475.00	20793
476.00	21152
477.00	21520
478.00	21946
479.00	22329
480.00	22668
481.00	22989
482.00	23325
483.00	23741
484.00	24091
485.00	24599
486.00	24857
487.00	25073
488.00	25393
489.00	25833
490.00	26273
491.00	26716
492.00	27060
493.00	27382
494.00	27698
495.00	27980
496.00	28380
497.00	28571
498.00	29124
499.00	29457
500.00	29576
501.00	29870
502.00	30218
503.00	30571
504.00	30879
505.00	31103
506.00	31192
507.00	31395
508.00	31518
509.00	31787
510.00	32063
511.00	32336
512.00	32199
513.00	32237
514.00	32377
515.00	32182
516.00	32258
517.00	32443
518.00	32500
519.00	32391
520.00	32184
521.00	32098
522.00	32147
523.00	31970
524.00	31869
525.00	31758
526.00	31560
527.00	31245
528.00	31310
529.00	31213
530.00	31022
531.00	30902
532.00	30626
533.00	30312
534.00	30212
535.00	30021
536.00	29824
537.00	29577
538.00	29271
539.00	28952
540.00	28719
541.00	28368
542.00	28016
543.00	27766
544.00	27333
545.00	26860
546.00	26538
547.00	26099
548.00	25594
549.00	25114
550.00	24594
551.00	23918
552.00	23339
553.00	22777
554.00	22123
555.00	21504
556.00	20794
557.00	20078
558.00	19340
559.00	18597
560.00	17839
561.00	17118
562.00	16365
563.00	15582
564.00	14787
565.00	14026
566.00	13270
567.00	12498
568.00	11776
569.00	11028
570.00	10344
571.00	9658.1
572.00	9033.9
573.00	8397.8
574.00	7779.6
575.00	7226.9
576.00	6675.8
577.00	6130.1
578.00	5665.0
579.00	5222.0
580.00	4764.1
581.00	4347.5
582.00	4010.0
583.00	3702.4
584.00	3333.4
585.00	3040.5
586.00	2806.4
587.00	2537.4
588.00	2314.9
589.00	2123.3
590.00	1932.5
591.00	1765.2
592.00	1604.2
593.00	1459.4
594.00	1343.6
595.00	1226.7
596.00	1134.6
597.00	1039.2
598.00	950.61
599.00	870.64
600.00	806.74
601.00	742.50
602.00	684.76
603.00	635.77
604.00	592.01
605.00	549.52
606.00	511.71
607.00	475.24
608.00	451.35
609.00	424.68
610.00	393.13
611.00	370.11
612.00	348.30
613.00	327.32
614.00	307.74
615.00	295.24
616.00	282.11
617.00	269.11
618.00	256.12
619.00	243.30
620.00	229.68
621.00	218.41
622.00	215.16
623.00	203.79
624.00	198.70
625.00	190.15
626.00	183.60
627.00	180.71
628.00	170.67
629.00	165.65
630.00	160.29
631.00	158.36
632.00	164.44
633.00	169.86
634.00	171.60
635.00	171.84
636.00	169.74
637.00	159.90
638.00	148.10
639.00	137.06
640.00	123.38
641.00	123.00
642.00	118.31
643.00	118.11
644.00	105.30
645.00	107.81
646.00	108.22
647.00	100.54
648.00	106.07
649.00	89.740
650.00	94.896
651.00	93.427
652.00	85.596
653.00	75.701
654.00	71.598
655.00	82.421
656.00	75.194
657.00	65.351
658.00	69.949
659.00	75.188
660.00	71.862
661.00	67.745
662.00	68.341
663.00	60.566
664.00	65.666
665.00	60.303
666.00	70.462
667.00	56.117
668.00	61.689
669.00	63.172
670.00	58.127
671.00	58.584
672.00	59.069
673.00	53.082
674.00	52.070
675.00	50.961
676.00	57.170
677.00	50.185
678.00	51.128
679.00	53.484
680.00	50.975
681.00	45.681
682.00	44.461
683.00	45.251
684.00	43.422
685.00	44.156
686.00	48.522
687.00	41.426
688.00	39.001
689.00	43.131
690.00	38.904
691.00	39.943
692.00	36.922
693.00	42.452
694.00	45.057
695.00	45.681
696.00	42.840
697.00	41.357
698.00	33.859
699.00	39.236
700.00	39.929
