Wavelength (nm)	ZUDPXB
485.00	0.037234
486.00	0.033490
487.00	0.031437
488.00	0.029385
489.00	0.026821
490.00	0.024257
491.00	0.021789
492.00	0.019321
493.00	0.016815
494.00	0.014309
495.00	0.012738
496.00	0.011166
497.00	0.0097993
498.00	0.0084327
499.00	0.0074386
500.00	0.0064444
501.00	0.0057196
502.00	0.0049947
503.00	0.0046076
504.00	0.0042204
505.00	0.0039869
506.00	0.0037534
507.00	0.0035913
508.00	0.0034293
509.00	0.0031705
510.00	0.0029117
511.00	0.0029107
512.00	0.0029096
513.00	0.0028791
514.00	0.0028486
515.00	0.0029633
516.00	0.0030780
517.00	0.0028960
518.00	0.0027140
519.00	0.0029896
520.00	0.0032652
521.00	0.0033410
522.00	0.0034167
523.00	0.0033957
524.00	0.0033746
525.00	0.0033788
526.00	0.0033830
527.00	0.0033999
528.00	0.0034167
529.00	0.0034199
530.00	0.0034230
531.00	0.0033304
532.00	0.0032379
533.00	0.0032084
534.00	0.0031790
535.00	0.0031800
536.00	0.0031811
537.00	0.0032189
538.00	0.0032568
539.00	0.0031790
540.00	0.0031011
541.00	0.0030906
542.00	0.0030801
543.00	0.0031011
544.00	0.0031221
545.00	0.0030874
546.00	0.0030527
547.00	0.0030937
548.00	0.0031348
549.00	0.0033020
550.00	0.0034693
