Wavelength (nm)	Zn(II) UroP I (in DMSO).abs
646.00	0.00082960
647.00	0.00083125
648.00	0.00076677
649.00	0.00065723
650.00	0.00072005
651.00	0.00069881
652.00	0.00064535
653.00	0.00060015
654.00	0.00064361
655.00	0.00056363
656.00	0.00045575
657.00	0.00045575
658.00	0.00045575
659.00	0.00042064
660.00	0.00044411
661.00	0.00044846
662.00	0.00043455
663.00	0.00042847
664.00	0.00040021
665.00	0.00035327
666.00	0.00041760
667.00	0.00032241
668.00	0.00029068
669.00	0.00032502
670.00	0.00031763
671.00	0.00026938
672.00	0.00023505
673.00	0.00020984
674.00	0.00020550
675.00	0.00027503
676.00	0.00016942
677.00	0.00020419
678.00	0.00015986
679.00	0.00017333
680.00	0.00014682
681.00	0.00016290
682.00	9.8141e-05
683.00	7.5540e-05
684.00	4.6854e-05
685.00	9.8141e-05
686.00	0.00011249
687.00	0.00011379
688.00	0.00010118
689.00	3.9465e-05
690.00	5.4243e-05
691.00	7.9099e-06
692.00	7.1193e-05
693.00	3.0338e-05
694.00	1.3387e-05
695.00	1.0083e-05
696.00	3.0511e-05
697.00	3.6596e-05
698.00	1.9907e-05
699.00	4.4329e-06
700.00	2.2597e-06
