Wavelength (nm)	N-5, 17372-87-1, Eosin Y.ems
717.00	1.6931e+05
717.50	1.6663e+05
718.00	1.6730e+05
718.50	1.6366e+05
719.00	1.6617e+05
719.50	1.6495e+05
720.00	1.6131e+05
720.50	1.5913e+05
721.00	1.5703e+05
721.50	1.5515e+05
722.00	1.5554e+05
722.50	1.5079e+05
723.00	1.5251e+05
723.50	1.4818e+05
724.00	1.4831e+05
724.50	1.4640e+05
725.00	1.4367e+05
725.50	1.4272e+05
726.00	1.4033e+05
726.50	1.4142e+05
727.00	1.3921e+05
727.50	1.3790e+05
728.00	1.3524e+05
728.50	1.3331e+05
729.00	1.3289e+05
729.50	1.3336e+05
730.00	1.3282e+05
730.50	1.3037e+05
731.00	1.3041e+05
731.50	1.2667e+05
732.00	1.2747e+05
732.50	1.2575e+05
733.00	1.2630e+05
733.50	1.2323e+05
734.00	1.2369e+05
734.50	1.2102e+05
735.00	1.2284e+05
735.50	1.1922e+05
736.00	1.1949e+05
736.50	1.2004e+05
737.00	1.1824e+05
737.50	1.1640e+05
738.00	1.1495e+05
738.50	1.1327e+05
739.00	1.1408e+05
739.50	1.1177e+05
740.00	1.1056e+05
740.50	1.0930e+05
741.00	1.0841e+05
741.50	1.0728e+05
742.00	1.0631e+05
742.50	1.0422e+05
743.00	1.0404e+05
743.50	1.0079e+05
744.00	1.0283e+05
744.50	1.0239e+05
745.00	97746
745.50	1.0034e+05
746.00	99407
746.50	96384
747.00	96828
747.50	96184
748.00	95474
748.50	96056
749.00	95145
749.50	95111
750.00	92272
