Wavelength (nm)	C08 ems
463.50	1.1092e+06
464.00	1.0879e+06
464.50	1.0598e+06
465.00	1.0397e+06
465.50	1.0083e+06
466.00	9.9252e+05
466.50	9.5976e+05
467.00	9.4187e+05
467.50	9.1198e+05
468.00	8.9739e+05
468.50	8.7395e+05
469.00	8.5747e+05
469.50	8.2976e+05
470.00	8.1751e+05
470.50	7.9772e+05
471.00	7.8310e+05
471.50	7.6327e+05
472.00	7.5420e+05
472.50	7.3274e+05
473.00	7.2201e+05
473.50	7.0312e+05
474.00	6.9365e+05
474.50	6.7839e+05
475.00	6.6844e+05
475.50	6.5215e+05
476.00	6.4347e+05
476.50	6.3034e+05
477.00	6.1978e+05
477.50	6.0472e+05
478.00	5.9896e+05
478.50	5.8493e+05
479.00	5.7601e+05
479.50	5.6046e+05
480.00	5.5612e+05
480.50	5.4556e+05
481.00	5.3752e+05
481.50	5.2482e+05
482.00	5.1754e+05
482.50	5.0804e+05
483.00	5.0031e+05
483.50	4.8665e+05
484.00	4.8253e+05
484.50	4.7145e+05
485.00	4.6472e+05
485.50	4.5343e+05
486.00	4.4962e+05
486.50	4.3865e+05
487.00	4.2916e+05
487.50	4.1815e+05
488.00	4.1300e+05
488.50	4.0440e+05
489.00	3.9513e+05
489.50	3.8592e+05
490.00	3.8000e+05
490.50	3.6975e+05
491.00	3.6371e+05
491.50	3.5156e+05
492.00	3.4558e+05
492.50	3.3664e+05
493.00	3.3116e+05
493.50	3.1853e+05
494.00	3.1456e+05
494.50	3.0465e+05
495.00	2.9815e+05
495.50	2.8935e+05
496.00	2.8537e+05
496.50	2.7547e+05
497.00	2.7051e+05
497.50	2.6052e+05
498.00	2.5595e+05
498.50	2.4792e+05
499.00	2.4221e+05
499.50	2.3320e+05
500.00	2.2953e+05
500.50	2.2154e+05
501.00	2.1711e+05
501.50	2.0882e+05
502.00	2.0532e+05
502.50	1.9833e+05
503.00	1.9382e+05
503.50	1.8633e+05
504.00	1.8413e+05
504.50	1.7790e+05
505.00	1.7578e+05
505.50	1.6897e+05
506.00	1.6643e+05
506.50	1.6109e+05
507.00	1.5773e+05
507.50	1.5294e+05
508.00	1.5053e+05
508.50	1.4632e+05
509.00	1.4371e+05
509.50	1.4001e+05
510.00	1.3750e+05
510.50	1.3477e+05
511.00	1.3177e+05
511.50	1.2913e+05
512.00	1.2702e+05
512.50	1.2492e+05
513.00	1.2179e+05
513.50	1.1867e+05
514.00	1.1719e+05
514.50	1.1426e+05
515.00	1.1243e+05
515.50	1.0978e+05
516.00	1.0769e+05
516.50	1.0584e+05
517.00	1.0401e+05
517.50	1.0196e+05
518.00	1.0050e+05
518.50	96867
519.00	95854
519.50	93670
520.00	92216
520.50	89962
521.00	88030
521.50	86019
522.00	85042
522.50	82476
523.00	81242
523.50	78969
524.00	78537
524.50	75531
525.00	73558
525.50	72107
526.00	70777
526.50	68524
527.00	67121
527.50	65337
528.00	64354
528.50	61909
529.00	61217
529.50	58472
530.00	57950
530.50	56524
531.00	54531
531.50	52957
532.00	52261
532.50	50396
533.00	49149
533.50	48202
534.00	47474
534.50	45766
535.00	45099
535.50	43698
536.00	42717
536.50	41806
537.00	40791
537.50	39370
538.00	39195
538.50	37828
539.00	37361
539.50	36329
540.00	35608
540.50	34427
541.00	34047
541.50	32600
542.00	32066
542.50	31613
543.00	31302
543.50	30229
544.00	29386
544.50	28508
545.00	28326
545.50	26691
546.00	27169
546.50	26203
547.00	25460
547.50	25121
548.00	25029
548.50	24028
549.00	23813
549.50	23237
550.00	23450
550.50	22204
551.00	21849
551.50	21523
552.00	21023
552.50	20504
553.00	19877
553.50	19551
554.00	19602
554.50	18591
555.00	18681
555.50	18130
556.00	17960
556.50	17765
557.00	17486
557.50	16921
558.00	17090
558.50	16359
559.00	16211
559.50	16235
560.00	15900
560.50	15074
561.00	15265
561.50	14904
562.00	14959
562.50	14461
563.00	13984
563.50	13746
564.00	13577
564.50	13503
565.00	13191
565.50	13148
566.00	12870
566.50	12331
567.00	12129
567.50	11978
568.00	12051
568.50	11900
569.00	11519
569.50	11543
570.00	11275
570.50	11245
571.00	10762
571.50	10574
572.00	10203
572.50	10223
573.00	10343
573.50	9975.1
574.00	9870.0
574.50	9597.8
575.00	9578.0
575.50	9384.1
576.00	9393.2
576.50	9512.5
577.00	8912.0
577.50	8961.4
578.00	8787.1
578.50	8492.8
579.00	8200.0
579.50	8246.2
580.00	8158.9
580.50	8029.2
581.00	7781.7
581.50	7814.4
582.00	7816.8
582.50	7778.3
583.00	7614.7
583.50	7328.7
584.00	7587.5
584.50	7085.9
585.00	7328.8
585.50	7196.2
586.00	7001.7
586.50	7115.9
587.00	7085.6
587.50	7088.6
588.00	6854.0
588.50	6832.4
589.00	6650.3
589.50	6670.3
590.00	6580.6
590.50	6453.8
591.00	6512.3
591.50	6396.8
592.00	6383.0
592.50	6263.4
593.00	5907.0
593.50	6355.1
594.00	6046.8
594.50	5988.0
595.00	6051.6
595.50	6045.3
596.00	5986.9
596.50	5764.5
597.00	5801.9
597.50	5937.6
598.00	6042.1
598.50	5893.9
599.00	5626.3
599.50	5621.0
600.00	5576.0
