Wavelength (nm)	Mn(III) UroP I (in DMSO).abs
440.00	0.20031
441.00	0.21588
442.00	0.23469
443.00	0.25877
444.00	0.28911
445.00	0.32635
446.00	0.37059
447.00	0.42101
448.00	0.47927
449.00	0.54379
450.00	0.61288
451.00	0.68571
452.00	0.76184
453.00	0.83576
454.00	0.90500
455.00	0.96132
456.00	0.99573
457.00	1.0000
458.00	0.96952
459.00	0.90549
460.00	0.81775
461.00	0.71155
462.00	0.60532
463.00	0.50193
464.00	0.41224
465.00	0.33669
466.00	0.27481
467.00	0.22414
468.00	0.18362
469.00	0.15153
470.00	0.12702
471.00	0.10702
472.00	0.092383
473.00	0.080753
474.00	0.072402
475.00	0.065729
476.00	0.061659
477.00	0.058296
478.00	0.055937
479.00	0.054361
480.00	0.053275
481.00	0.053331
482.00	0.052852
483.00	0.053245
484.00	0.053552
485.00	0.053484
486.00	0.053413
487.00	0.052986
488.00	0.054795
489.00	0.056027
490.00	0.056795
491.00	0.056753
492.00	0.057255
493.00	0.056907
494.00	0.057203
495.00	0.056634
496.00	0.056641
497.00	0.057214
498.00	0.056304
499.00	0.055619
500.00	0.055095
501.00	0.054814
502.00	0.054170
503.00	0.053855
504.00	0.053061
505.00	0.052552
506.00	0.052106
507.00	0.052091
508.00	0.052432
509.00	0.052088
510.00	0.051964
511.00	0.051762
512.00	0.052593
513.00	0.052496
514.00	0.053024
515.00	0.053713
516.00	0.054237
517.00	0.055068
518.00	0.056368
519.00	0.057506
520.00	0.058929
521.00	0.060925
522.00	0.062546
523.00	0.064673
524.00	0.067276
525.00	0.069556
526.00	0.072597
527.00	0.075405
528.00	0.078813
529.00	0.081940
530.00	0.085752
531.00	0.089178
532.00	0.093132
533.00	0.096491
534.00	0.099633
535.00	0.10258
536.00	0.10553
537.00	0.10838
538.00	0.11104
539.00	0.11310
540.00	0.11540
541.00	0.11687
542.00	0.11834
543.00	0.11945
544.00	0.12014
545.00	0.12061
546.00	0.12076
547.00	0.12027
548.00	0.11916
549.00	0.11813
550.00	0.11664
551.00	0.11505
552.00	0.11319
553.00	0.11119
554.00	0.10864
555.00	0.10618
556.00	0.10338
557.00	0.10043
558.00	0.097319
559.00	0.093960
560.00	0.089905
561.00	0.086160
562.00	0.082434
563.00	0.078761
564.00	0.075166
565.00	0.071503
566.00	0.068643
567.00	0.065587
568.00	0.063438
569.00	0.061224
570.00	0.059592
571.00	0.058390
572.00	0.057566
573.00	0.057439
574.00	0.057102
575.00	0.057012
576.00	0.057079
577.00	0.056791
578.00	0.056195
579.00	0.055218
580.00	0.053997
581.00	0.051792
582.00	0.049440
583.00	0.047036
584.00	0.045025
585.00	0.042337
586.00	0.039311
587.00	0.036681
588.00	0.034126
589.00	0.031935
590.00	0.029755
591.00	0.027715
592.00	0.025591
593.00	0.023480
594.00	0.021811
595.00	0.020173
596.00	0.018968
597.00	0.018047
598.00	0.016847
599.00	0.015397
600.00	0.014690
601.00	0.013908
602.00	0.012949
603.00	0.012401
604.00	0.011647
605.00	0.011290
606.00	0.010888
607.00	0.010492
608.00	0.010040
609.00	0.0099348
610.00	0.0096439
611.00	0.0093705
612.00	0.0090545
613.00	0.0092616
614.00	0.0090668
615.00	0.0088777
616.00	0.0089152
617.00	0.0090436
618.00	0.0089564
619.00	0.0087867
620.00	0.0087422
621.00	0.0088991
622.00	0.0088455
623.00	0.0083636
624.00	0.0079259
625.00	0.0078600
626.00	0.0079367
627.00	0.0079903
628.00	0.0082850
629.00	0.0082760
630.00	0.0082812
631.00	0.0083262
632.00	0.0083475
633.00	0.0086224
634.00	0.0085224
635.00	0.0083029
636.00	0.0085636
637.00	0.0088294
638.00	0.0085958
639.00	0.0088171
640.00	0.0086759
641.00	0.0088938
642.00	0.0092046
643.00	0.0092189
644.00	0.0086126
645.00	0.0085958
646.00	0.0082419
647.00	0.0079277
648.00	0.0082779
649.00	0.0081812
650.00	0.0087867
651.00	0.0090990
652.00	0.0092170
653.00	0.0097368
654.00	0.0099401
655.00	0.0097633
656.00	0.010110
657.00	0.010110
658.00	0.010110
659.00	0.010447
660.00	0.010610
661.00	0.010862
662.00	0.011133
663.00	0.011311
664.00	0.011388
665.00	0.011274
666.00	0.011403
667.00	0.011501
668.00	0.011431
669.00	0.011679
670.00	0.011736
671.00	0.011722
672.00	0.011488
673.00	0.011481
674.00	0.011615
675.00	0.011558
676.00	0.011442
677.00	0.011447
678.00	0.011385
679.00	0.011279
680.00	0.011162
681.00	0.011213
682.00	0.011049
683.00	0.010792
684.00	0.010733
685.00	0.010410
686.00	0.010156
687.00	0.010094
688.00	0.0097955
689.00	0.0097723
690.00	0.0093331
691.00	0.0090564
692.00	0.0089815
693.00	0.0090725
694.00	0.0087261
695.00	0.0086991
696.00	0.0081779
697.00	0.0081457
698.00	0.0082599
699.00	0.0080580
700.00	0.0080476
701.00	0.0077600
702.00	0.0079026
703.00	0.0078045
704.00	0.0076761
705.00	0.0076297
706.00	0.0077779
707.00	0.0077278
708.00	0.0077562
709.00	0.0074582
710.00	0.0073013
711.00	0.0074098
712.00	0.0070796
713.00	0.0073046
714.00	0.0074582
715.00	0.0074027
716.00	0.0074795
717.00	0.0072705
718.00	0.0076027
719.00	0.0076813
720.00	0.0073278
721.00	0.0076083
722.00	0.0077510
723.00	0.0076619
724.00	0.0076405
725.00	0.0079798
726.00	0.0078723
727.00	0.0081689
728.00	0.0078708
729.00	0.0085617
730.00	0.0083707
731.00	0.0085171
732.00	0.0085224
733.00	0.0083617
734.00	0.0083883
735.00	0.0082779
736.00	0.0085119
737.00	0.0085759
738.00	0.0089938
739.00	0.0091384
740.00	0.0096686
741.00	0.010146
742.00	0.010346
743.00	0.010804
744.00	0.011508
745.00	0.012195
746.00	0.012711
747.00	0.013360
748.00	0.013626
749.00	0.014225
750.00	0.014497
751.00	0.015424
752.00	0.015354
753.00	0.015749
754.00	0.016159
755.00	0.016747
756.00	0.017432
757.00	0.017754
758.00	0.018200
759.00	0.018656
760.00	0.018832
761.00	0.019336
762.00	0.019836
763.00	0.020320
764.00	0.020661
765.00	0.020796
766.00	0.021178
767.00	0.021946
768.00	0.021832
769.00	0.021571
770.00	0.021409
771.00	0.021414
772.00	0.021284
773.00	0.021055
774.00	0.020486
775.00	0.019945
776.00	0.019205
777.00	0.018761
778.00	0.018288
779.00	0.017065
780.00	0.015909
781.00	0.015408
782.00	0.014365
783.00	0.013184
784.00	0.012577
785.00	0.011861
786.00	0.010624
787.00	0.0096259
788.00	0.0088706
789.00	0.0081030
790.00	0.0076941
791.00	0.0066905
792.00	0.0063441
793.00	0.0055439
794.00	0.0053065
795.00	0.0045493
796.00	0.0041067
797.00	0.0037585
798.00	0.0035407
799.00	0.0027890
800.00	0.0026854
801.00	0.0021729
802.00	0.0020944
803.00	0.0019479
804.00	0.0015855
805.00	0.0011516
806.00	0.0013034
807.00	0.0011016
808.00	0.00092661
809.00	0.00064984
810.00	0.00088732
811.00	0.00093908
812.00	0.00077660
813.00	0.00064269
814.00	0.00099509
815.00	0.00080404
816.00	0.00049272
817.00	0.00039629
818.00	0.00023201
819.00	0.00060341
820.00	0.00032128
821.00	0.00042662
822.00	0.00029807
823.00	0.00056057
824.00	0.00016594
825.00	0.00035164
826.00	0.00049272
827.00	0.00052125
828.00	0.00030164
829.00	0.00025700
830.00	0.00026236
831.00	0.00028736
832.00	5.3447e-05
833.00	2.4879e-05
834.00	8.2018e-05
835.00	8.8088e-06
836.00	2.6664e-05
837.00	3.6903e-06
838.00	0.00034092
839.00	0.00024450
840.00	0.00031950
841.00	0.00038558
842.00	0.00058375
843.00	0.00072125
844.00	0.00044449
845.00	0.00054091
846.00	0.00042486
847.00	0.00036235
848.00	0.00076233
849.00	0.00056057
850.00	0.00064449
