Wavelength (nm)	Toly P (2020)
564.00	0.029616
565.00	0.028784
566.00	0.027136
567.00	0.025778
568.00	0.024809
569.00	0.024379
570.00	0.023949
571.00	0.023504
572.00	0.021880
573.00	0.020307
574.00	0.018659
575.00	0.017150
576.00	0.015609
577.00	0.014136
578.00	0.012986
579.00	0.011888
580.00	0.010916
581.00	0.010257
582.00	0.0097121
583.00	0.0092783
584.00	0.0085915
585.00	0.0079780
586.00	0.0077694
587.00	0.0073959
588.00	0.0070974
589.00	0.0067134
590.00	0.0064741
591.00	0.0063141
592.00	0.0064667
593.00	0.0065834
594.00	0.0059993
595.00	0.0061145
596.00	0.0056397
597.00	0.0054044
598.00	0.0052462
599.00	0.0050916
600.00	0.0052085
601.00	0.0056085
602.00	0.0058088
603.00	0.0062612
604.00	0.0063907
605.00	0.0069658
606.00	0.0072872
607.00	0.0083274
608.00	0.0090172
609.00	0.010011
610.00	0.011101
611.00	0.012137
612.00	0.013476
613.00	0.014514
614.00	0.014997
615.00	0.015824
616.00	0.015469
617.00	0.015812
618.00	0.014711
619.00	0.014594
620.00	0.012632
621.00	0.010563
622.00	0.0084707
623.00	0.0068910
624.00	0.0054957
625.00	0.0044106
626.00	0.0035998
627.00	0.0033167
628.00	0.0033335
629.00	0.0033119
630.00	0.0032602
631.00	0.0032699
632.00	0.0037915
633.00	0.0039097
634.00	0.0039835
635.00	0.0037635
636.00	0.0039417
637.00	0.0040021
638.00	0.0041777
639.00	0.0041765
640.00	0.0039749
641.00	0.0038106
642.00	0.0035503
643.00	0.0033225
644.00	0.0030882
645.00	0.0029398
646.00	0.0026176
647.00	0.0021995
648.00	0.0018825
649.00	0.0016279
650.00	0.0014537
651.00	0.0014707
652.00	0.0016241
653.00	0.0014671
654.00	0.0014608
655.00	0.0016552
656.00	0.0014395
657.00	0.0015708
658.00	0.0010447
659.00	0.0011117
660.00	0.00098190
661.00	0.00029661
662.00	0.0011712
663.00	0.0011387
664.00	0.0011317
665.00	0.0011113
666.00	0.0012967
667.00	0.0013505
668.00	0.0015654
669.00	0.0016614
670.00	0.0018079
671.00	0.0018826
672.00	0.0018281
673.00	0.0020563
674.00	0.0020223
675.00	0.0018415
676.00	0.0018895
677.00	0.0019874
678.00	0.0014479
679.00	0.0015669
680.00	0.0013607
681.00	0.0011900
682.00	0.0013565
683.00	0.0014460
684.00	0.0015500
685.00	0.0014668
686.00	0.0013810
687.00	0.0012602
688.00	0.00085028
689.00	0.00071689
690.00	0.00060683
691.00	0.00077043
692.00	0.00096468
693.00	0.00089850
694.00	0.00092788
695.00	0.00083928
696.00	0.0010221
697.00	0.0010195
698.00	0.0010462
699.00	0.00035874
700.00	0.00047271
701.00	0.00040546
702.00	0.00043618
703.00	0.00039495
704.00	0.00051016
705.00	0.0012122
706.00	0.00020897
707.00	0.00034388
708.00	-0.00010970
709.00	-3.0831e-05
710.00	-2.1101e-05
711.00	0.00058829
712.00	0.00018784
713.00	0.00099704
714.00	0.0011130
715.00	0.00089843
716.00	0.00060744
717.00	0.00060653
718.00	0.0011751
719.00	0.0011882
720.00	0.0010546
721.00	0.00090606
722.00	0.00077606
723.00	0.00067608
724.00	0.00066196
725.00	0.00038040
726.00	0.00052832
727.00	0.00067226
728.00	0.00072299
729.00	0.00085312
730.00	0.00081040
731.00	0.0011130
732.00	0.0010386
733.00	0.0010466
734.00	0.00085878
735.00	0.00094799
736.00	0.0010296
737.00	0.0011506
738.00	0.0010946
739.00	0.0012512
740.00	0.0011949
741.00	0.0011091
742.00	0.0010224
743.00	0.00074034
744.00	0.00071681
745.00	0.00046800
746.00	0.0012151
747.00	0.0012633
748.00	0.0011327
749.00	0.0013107
750.00	0.0015719
751.00	0.0014483
752.00	0.0016839
753.00	0.0015533
754.00	0.0014068
755.00	0.0017490
756.00	0.0012883
757.00	0.0012140
758.00	0.00057638
759.00	-0.00052767
760.00	-0.00067486
761.00	-0.00053336
762.00	0.00067963
763.00	-0.00027999
764.00	0.00078712
765.00	0.0010364
766.00	0.00064703
767.00	0.00088476
768.00	0.00095054
769.00	0.0010548
770.00	0.00058130
771.00	0.0012780
772.00	0.00056600
773.00	0.00058519
774.00	0.00026589
775.00	0.00068340
776.00	0.00082828
777.00	0.00092938
778.00	0.0010726
779.00	0.0014373
780.00	0.0013003
781.00	0.0014002
782.00	0.0016484
783.00	0.0011278
784.00	0.0013957
785.00	0.0015555
786.00	0.0013597
787.00	0.00077080
788.00	0.00091912
789.00	0.00071999
790.00	0.00048192
791.00	0.00011011
792.00	0.00043785
793.00	0.00029375
794.00	0.00081862
795.00	0.00079940
796.00	0.00061762
797.00	0.00038610
798.00	-0.00013005
799.00	6.5247e-05
800.00	-0.00011159
