Wavelength 9nm)	16, (E)-Ep-PxB-4, EEPPXB4, F
410.00	0.50867
411.00	0.51688
412.00	0.52509
413.00	0.53302
414.00	0.54095
415.00	0.54859
416.00	0.55622
417.00	0.56375
418.00	0.57128
419.00	0.57862
420.00	0.58596
421.00	0.59216
422.00	0.59835
423.00	0.60379
424.00	0.60923
425.00	0.61458
426.00	0.61992
427.00	0.62454
428.00	0.62915
429.00	0.63271
430.00	0.63628
431.00	0.63880
432.00	0.64132
433.00	0.64309
434.00	0.64486
435.00	0.64563
436.00	0.64639
437.00	0.64591
438.00	0.64543
439.00	0.64380
440.00	0.64218
441.00	0.63960
442.00	0.63703
443.00	0.63322
444.00	0.62941
445.00	0.62463
446.00	0.61986
447.00	0.61366
448.00	0.60746
449.00	0.60013
450.00	0.59279
451.00	0.58427
452.00	0.57575
453.00	0.56564
454.00	0.55553
455.00	0.54433
456.00	0.53313
457.00	0.52068
458.00	0.50824
459.00	0.49614
460.00	0.48404
461.00	0.47046
462.00	0.45687
463.00	0.44179
464.00	0.42670
465.00	0.41303
466.00	0.39935
467.00	0.38594
468.00	0.37253
469.00	0.35835
470.00	0.34418
471.00	0.32789
472.00	0.31161
473.00	0.29695
474.00	0.28228
475.00	0.26879
476.00	0.25531
477.00	0.24267
478.00	0.23004
479.00	0.21741
480.00	0.20477
481.00	0.19336
482.00	0.18195
483.00	0.16708
484.00	0.15221
485.00	0.14462
486.00	0.13703
487.00	0.13077
488.00	0.12452
489.00	0.11686
490.00	0.10919
491.00	0.10164
492.00	0.094081
493.00	0.086704
494.00	0.079326
495.00	0.073721
496.00	0.068116
497.00	0.062897
498.00	0.057679
499.00	0.053217
500.00	0.048755
501.00	0.045025
502.00	0.041295
503.00	0.038271
504.00	0.035247
505.00	0.032707
506.00	0.030167
507.00	0.027816
508.00	0.025466
509.00	0.023600
510.00	0.021734
511.00	0.020129
512.00	0.018524
513.00	0.017176
514.00	0.015828
515.00	0.014810
516.00	0.013793
517.00	0.012729
518.00	0.011665
519.00	0.011164
520.00	0.010664
521.00	0.0099736
522.00	0.0092833
523.00	0.0087385
524.00	0.0081937
525.00	0.0077863
526.00	0.0073788
527.00	0.0068375
528.00	0.0062962
529.00	0.0061728
530.00	0.0060495
531.00	0.0055768
532.00	0.0051042
533.00	0.0047806
534.00	0.0044570
535.00	0.0043220
536.00	0.0041869
537.00	0.0040286
538.00	0.0038703
539.00	0.0036189
540.00	0.0033674
541.00	0.0032708
542.00	0.0031742
543.00	0.0031474
544.00	0.0031206
545.00	0.0029251
546.00	0.0027295
547.00	0.0026958
548.00	0.0026620
549.00	0.0027202
550.00	0.0027784
