Wavelength (nm)	Chem Eur J 2018_2987, Z4-Me (MeOH) abs [Z]
364.00	0.15797
365.00	0.16660
366.00	0.17523
367.00	0.18386
368.00	0.19249
369.00	0.20112
370.00	0.21237
371.00	0.22408
372.00	0.23580
373.00	0.24767
374.00	0.26005
375.00	0.27243
376.00	0.28481
377.00	0.29719
378.00	0.30958
379.00	0.32388
380.00	0.33922
381.00	0.35456
382.00	0.36990
383.00	0.38524
384.00	0.40058
385.00	0.41592
386.00	0.43149
387.00	0.44790
388.00	0.46432
389.00	0.48074
390.00	0.49716
391.00	0.51357
392.00	0.53194
393.00	0.55055
394.00	0.56916
395.00	0.58776
396.00	0.60637
397.00	0.62498
398.00	0.64341
399.00	0.66110
400.00	0.67879
401.00	0.69648
402.00	0.71417
403.00	0.73185
404.00	0.74954
405.00	0.76808
406.00	0.78710
407.00	0.80612
408.00	0.82514
409.00	0.84336
410.00	0.85773
411.00	0.87209
412.00	0.88646
413.00	0.90082
414.00	0.91418
415.00	0.92470
416.00	0.93522
417.00	0.94573
418.00	0.95625
419.00	0.96592
420.00	0.97513
421.00	0.98379
422.00	0.98841
423.00	0.99304
424.00	0.99766
425.00	0.99885
426.00	1.0000
427.00	0.99840
428.00	0.99681
429.00	0.99444
430.00	0.99082
431.00	0.98720
432.00	0.98213
433.00	0.97269
434.00	0.96326
435.00	0.95382
436.00	0.93932
437.00	0.92473
438.00	0.91013
439.00	0.89209
440.00	0.86887
441.00	0.84566
442.00	0.82245
443.00	0.79924
444.00	0.77437
445.00	0.74777
446.00	0.72117
447.00	0.69457
448.00	0.66797
449.00	0.64138
450.00	0.61246
451.00	0.58250
452.00	0.55255
453.00	0.52259
454.00	0.49263
455.00	0.46443
456.00	0.43979
457.00	0.41515
458.00	0.39051
459.00	0.36587
460.00	0.34195
461.00	0.31997
462.00	0.29800
463.00	0.27602
464.00	0.25405
465.00	0.23207
466.00	0.21144
467.00	0.19379
468.00	0.17614
469.00	0.15850
470.00	0.14085
471.00	0.12853
472.00	0.11714
473.00	0.10576
474.00	0.095277
475.00	0.086034
476.00	0.076791
477.00	0.067995
478.00	0.061735
479.00	0.055475
480.00	0.049215
481.00	0.043302
482.00	0.037517
483.00	0.031732
484.00	0.028810
485.00	0.026207
486.00	0.023603
487.00	0.021027
488.00	0.019337
489.00	0.017647
490.00	0.015956
491.00	0.014266
492.00	0.012590
493.00	0.010925
494.00	0.0092596
495.00	0.0075946
496.00	0.0064211
497.00	0.0059848
498.00	0.0055486
499.00	0.0051123
500.00	0.0046760
501.00	0.0042398
502.00	0.0040845
503.00	0.0039640
504.00	0.0038434
505.00	0.0037229
506.00	0.0036023
507.00	0.0034818
508.00	0.0033612
509.00	0.0032383
510.00	0.0031146
511.00	0.0029909
512.00	0.0028672
513.00	0.0027434
514.00	0.0026197
515.00	0.0024960
516.00	0.0023723
517.00	0.0022485
518.00	0.0021879
519.00	0.0021879
520.00	0.0021879
521.00	0.0021879
522.00	0.0021879
523.00	0.0021879
524.00	0.0021879
525.00	0.0021879
526.00	0.0021879
527.00	0.0021879
528.00	0.0021879
529.00	0.0021879
530.00	0.0021879
531.00	0.0021879
532.00	0.0021879
533.00	0.0021879
534.00	0.0021879
535.00	0.0021879
536.00	0.0021879
537.00	0.0021879
538.00	0.0021879
539.00	0.0021879
540.00	0.0021879
541.00	0.0021879
542.00	0.0021879
543.00	0.0021879
544.00	0.0021879
545.00	0.0021879
546.00	0.0021879
547.00	0.0021879
548.00	0.0021879
549.00	0.0021879
550.00	0.0021879
551.00	0.0021879
552.00	0.0021879
553.00	0.0021879
554.00	0.0021879
555.00	0.0021879
556.00	0.0021879
557.00	0.0021879
558.00	0.0021879
559.00	0.0021879
560.00	0.0021879
561.00	0.0021879
562.00	0.0021879
563.00	0.0021879
564.00	0.0021879
565.00	0.0021879
566.00	0.0021879
567.00	0.0021879
568.00	0.0021879
569.00	0.0021879
570.00	0.0021879
571.00	0.0021879
572.00	0.0021879
573.00	0.0021879
574.00	0.0021879
575.00	0.0021879
576.00	0.0021879
577.00	0.0021879
578.00	0.0021879
579.00	0.0021879
580.00	0.0021879
581.00	0.0021879
582.00	0.0021879
583.00	0.0021879
584.00	0.0021879
585.00	0.0021879
586.00	0.0021879
587.00	0.0021879
588.00	0.0021879
589.00	0.0021879
590.00	0.0021879
591.00	0.0021879
592.00	0.0021879
593.00	0.0021879
594.00	0.0021879
595.00	0.0021879
596.00	0.0021879
597.00	0.0021879
598.00	0.0021879
599.00	0.0021879
600.00	0.0021879
