Wavelength (nm)	Toly R (2021)
724.00	0.0025146
725.00	0.0043051
726.00	0.0043360
727.00	0.0043388
728.00	0.0083523
729.00	0.0081532
730.00	0.0059666
731.00	0.0068400
732.00	0.0067201
733.00	0.0059830
734.00	0.0058398
735.00	0.0062541
736.00	0.0048100
737.00	0.0066000
738.00	0.0067982
739.00	0.0054785
740.00	0.0033940
741.00	0.0060162
742.00	0.0030618
743.00	0.0022653
744.00	0.00025073
745.00	0.00042519
746.00	0.0047948
747.00	0.0011932
748.00	0.0041384
749.00	0.0078477
750.00	0.0075086
751.00	0.0039440
752.00	0.0017059
753.00	0.0069605
754.00	0.0067960
755.00	0.0085235
756.00	0.0077407
757.00	0.0028485
758.00	0.0058054
759.00	0.0035214
760.00	0.0011453
761.00	0.0072695
762.00	0.00062603
763.00	0.0063288
764.00	0.0022886
765.00	0.0029465
766.00	0.0035780
767.00	0.0062346
768.00	0.0076051
769.00	0.0012293
770.00	0.0052288
771.00	0.00025475
772.00	0.0014775
773.00	0.00066335
774.00	0.0027176
775.00	0.0015286
776.00	0.0055969
777.00	0.0051699
778.00	0.0068010
779.00	0.014207
780.00	0.0074389
781.00	0.014258
782.00	0.013057
783.00	0.0068265
784.00	0.0056161
785.00	0.0095842
786.00	0.011186
787.00	0.0097360
788.00	0.0080543
789.00	0.0033623
790.00	0.0043709
791.00	0.0043139
792.00	0.0037849
793.00	0.0032091
794.00	0.0051775
795.00	0.0035936
796.00	0.0027883
797.00	0.00061803
798.00	0.00076399
799.00	0.0022157
800.00	0.0010448
