Wavelength (nm)	EtioP I (0.1 M PPB).abs
611.00	0.024755
612.00	0.025633
613.00	0.026555
614.00	0.026994
615.00	0.029146
616.00	0.029541
617.00	0.031601
618.00	0.033936
619.00	0.035559
620.00	0.038679
621.00	0.043840
622.00	0.050048
623.00	0.056969
624.00	0.064925
625.00	0.073730
626.00	0.079750
627.00	0.081656
628.00	0.081143
629.00	0.077363
630.00	0.070568
631.00	0.063575
632.00	0.055629
633.00	0.048342
634.00	0.040657
635.00	0.035391
636.00	0.029739
637.00	0.025413
638.00	0.021220
639.00	0.018519
640.00	0.015402
641.00	0.013777
642.00	0.012503
643.00	0.010418
644.00	0.0094054
645.00	0.010025
646.00	0.0096052
647.00	0.0098774
648.00	0.0097106
649.00	0.0088191
650.00	0.0079507
651.00	0.0084854
652.00	0.0079716
653.00	0.0078073
654.00	0.0072493
655.00	0.0060730
656.00	0.0068903
657.00	0.0054994
658.00	0.0071241
659.00	0.0070078
660.00	0.0062657
661.00	0.0060241
662.00	0.0056311
663.00	0.0051701
664.00	0.0048407
665.00	0.0044675
666.00	0.0028208
667.00	0.0037210
668.00	0.0029525
669.00	0.0033916
670.00	0.0024036
671.00	0.0029964
672.00	0.0019645
673.00	0.0018986
674.00	0.0018766
675.00	0.0015514
676.00	0.0015879
677.00	0.0014635
678.00	0.0015937
679.00	0.0014635
680.00	0.0013538
681.00	0.0013538
682.00	0.0014427
683.00	0.0013549
684.00	0.0015774
685.00	0.0015115
686.00	0.0021263
687.00	0.0015334
688.00	0.0014456
689.00	0.0016652
690.00	0.0014676
691.00	0.0013578
692.00	0.0014895
693.00	0.0018668
694.00	0.0014716
695.00	0.0012139
696.00	0.0018449
697.00	0.0011423
698.00	0.0013179
699.00	0.0016692
700.00	0.0018270
