Wavelength (nm)	D07 abs e
467.50	16490
467.75	16311
468.00	16230
468.25	16210
468.50	16037
468.75	15925
469.00	15809
469.25	15662
469.50	15530
469.75	15444
470.00	15285
470.25	15190
470.50	15030
470.75	14965
471.00	14822
471.25	14648
471.50	14534
471.75	14400
472.00	14352
472.25	14198
472.50	14148
472.75	13932
473.00	13816
473.25	13745
473.50	13625
473.75	13567
474.00	13382
474.25	13247
474.50	13162
474.75	13043
475.00	12853
475.25	12712
475.50	12649
475.75	12464
476.00	12368
476.25	12172
476.50	12102
476.75	11984
477.00	11833
477.25	11702
477.50	11585
477.75	11518
478.00	11463
478.25	11266
478.50	11133
478.75	11082
479.00	10975
479.25	10859
479.50	10748
479.75	10601
480.00	10541
480.25	10441
480.50	10325
480.75	10202
481.00	10074
481.25	9959.4
481.50	9824.0
481.75	9703.1
482.00	9673.6
482.25	9605.8
482.50	9377.7
482.75	9250.3
483.00	9203.1
483.25	9121.6
483.50	9037.4
483.75	8942.0
484.00	8859.5
484.25	8734.1
484.50	8579.5
484.75	8509.1
485.00	8358.2
485.25	8263.9
485.50	8182.4
485.75	8089.1
486.00	8021.7
486.25	7905.1
486.50	7844.3
486.75	7672.0
487.00	7575.7
487.25	7536.3
487.50	7424.0
487.75	7311.0
488.00	7157.4
488.25	7129.1
488.50	7006.0
488.75	6960.1
489.00	6851.4
489.25	6782.5
489.50	6666.5
489.75	6559.2
490.00	6446.0
490.25	6365.0
490.50	6302.7
490.75	6161.9
491.00	6120.3
491.25	6053.4
491.50	5912.1
491.75	5836.2
492.00	5737.3
492.25	5636.1
492.50	5596.5
492.75	5484.0
493.00	5384.4
493.25	5307.9
493.50	5258.2
493.75	5185.3
494.00	5132.9
494.25	5097.8
494.50	4999.4
494.75	4975.7
495.00	4808.4
495.25	4809.7
495.50	4690.6
495.75	4616.9
496.00	4547.8
496.25	4483.0
496.50	4496.1
496.75	4355.1
497.00	4218.3
497.25	4244.6
497.50	4081.4
497.75	3987.3
498.00	4018.8
498.25	3921.2
498.50	3821.8
498.75	3762.2
499.00	3717.1
499.25	3639.6
499.50	3538.2
499.75	3520.3
500.00	3464.8
500.25	3461.5
500.50	3343.4
500.75	3294.5
501.00	3219.6
501.25	3082.3
501.50	3118.7
501.75	3034.4
502.00	2988.7
502.25	2945.9
502.50	2875.0
502.75	2827.0
503.00	2745.0
503.25	2734.2
503.50	2643.6
503.75	2639.1
504.00	2606.5
504.25	2530.9
504.50	2511.2
504.75	2480.7
505.00	2424.6
505.25	2269.5
505.50	2278.3
505.75	2186.2
506.00	2263.4
506.25	2183.7
506.50	2096.2
506.75	2044.2
507.00	2062.6
507.25	2019.7
507.50	1930.2
507.75	1899.7
508.00	1851.2
508.25	1851.0
508.50	1845.2
508.75	1754.8
509.00	1711.0
509.25	1683.2
509.50	1656.7
509.75	1639.6
510.00	1546.2
510.25	1645.9
510.50	1551.3
510.75	1544.7
511.00	1501.1
511.25	1369.9
511.50	1414.5
511.75	1343.1
512.00	1329.5
512.25	1319.7
512.50	1296.0
512.75	1289.9
513.00	1285.4
513.25	1195.8
513.50	1198.8
513.75	1200.8
514.00	1148.6
514.25	1145.8
514.50	1122.1
514.75	1120.6
515.00	1071.9
515.25	1033.8
515.50	1005.6
515.75	979.60
516.00	894.33
516.25	863.04
516.50	922.58
516.75	985.65
517.00	900.89
517.25	915.77
517.50	877.17
517.75	846.39
518.00	753.30
518.25	804.77
518.50	782.82
518.75	701.59
519.00	748.26
519.25	706.38
519.50	748.01
519.75	676.11
520.00	738.17
520.25	627.42
520.50	683.42
520.75	630.44
521.00	583.02
521.25	634.73
521.50	546.69
521.75	602.19
522.00	556.02
522.25	616.57
522.50	506.32
522.75	609.76
523.00	600.67
523.25	549.97
523.50	535.33
523.75	504.30
524.00	473.53
524.25	516.16
524.50	437.45
524.75	441.49
525.00	435.94
525.25	435.68
525.50	469.74
525.75	363.79
526.00	417.52
526.25	416.01
526.50	426.10
526.75	374.89
527.00	411.72
527.25	394.56
527.50	339.82
527.75	368.07
528.00	367.57
528.25	299.96
528.50	366.56
528.75	348.65
529.00	308.28
529.25	357.98
529.50	324.93
529.75	274.23
530.00	330.99
530.25	293.15
530.50	268.42
530.75	300.21
531.00	266.66
531.25	268.68
531.50	223.01
531.75	227.30
532.00	255.31
532.25	257.58
532.50	270.19
532.75	227.81
533.00	293.15
533.25	259.34
533.50	255.81
533.75	220.24
534.00	257.32
534.25	141.78
534.50	206.36
534.75	235.88
535.00	219.73
535.25	289.87
535.50	159.94
535.75	244.71
536.00	140.77
536.25	258.84
536.50	149.35
536.75	224.02
537.00	229.07
537.25	124.12
537.50	145.82
537.75	155.15
538.00	177.86
538.25	174.07
538.50	188.45
538.75	181.39
539.00	224.28
539.25	117.06
539.50	164.23
539.75	155.40
540.00	209.39
540.25	200.06
540.50	183.41
540.75	112.01
541.00	205.86
541.25	134.46
541.50	155.40
541.75	142.54
542.00	86.279
542.25	208.13
542.50	68.620
542.75	206.36
543.00	116.30
543.25	170.54
543.50	147.33
543.75	137.24
544.00	178.61
544.25	108.98
544.50	150.61
544.75	131.94
545.00	104.95
545.25	189.21
545.50	137.24
545.75	112.01
546.00	91.577
546.25	80.225
546.50	88.550
546.75	127.15
547.00	83.756
547.25	132.70
547.50	122.35
547.75	105.20
548.00	106.46
548.25	114.03
548.50	121.85
548.75	129.42
549.00	117.81
549.25	108.48
549.50	74.927
549.75	107.22
550.00	68.367
550.25	53.483
550.50	31.283
550.75	76.188
551.00	97.379
551.25	153.64
551.50	127.15
551.75	113.78
552.00	124.63
552.25	61.304
552.50	162.21
552.75	58.276
553.00	117.06
553.25	155.15
553.50	108.23
553.75	111.25
554.00	81.486
554.25	80.981
554.50	97.884
554.75	155.15
555.00	167.01
555.25	154.14
555.50	121.85
555.75	73.161
556.00	74.927
556.25	134.97
556.50	-15.894
556.75	129.42
557.00	35.824
557.25	60.547
557.50	125.13
557.75	90.820
558.00	75.431
558.25	86.784
558.50	117.81
558.75	19.930
559.00	131.44
559.25	16.398
559.50	91.325
559.75	110.25
560.00	132.19
560.25	84.513
560.50	139.01
560.75	198.80
561.00	121.85
561.25	96.118
561.50	61.304
561.75	84.766
562.00	70.386
562.25	46.419
562.50	42.635
562.75	129.42
563.00	91.577
563.25	140.52
563.50	107.47
563.75	68.367
564.00	152.63
564.25	91.577
564.50	128.91
564.75	132.19
565.00	92.838
565.25	79.215
565.50	120.08
565.75	72.908
566.00	115.54
566.25	96.118
566.50	97.632
566.75	76.945
567.00	116.30
567.25	160.20
567.50	80.981
567.75	70.133
568.00	18.669
568.25	151.62
568.50	37.085
568.75	104.19
569.00	23.210
569.25	79.468
569.50	172.56
569.75	136.23
570.00	77.449
570.25	95.613
570.50	79.720
570.75	89.054
571.00	96.370
571.25	46.671
571.50	121.09
571.75	125.13
572.00	116.80
572.25	150.86
572.50	69.124
572.75	105.20
573.00	97.127
573.25	78.711
573.50	149.35
573.75	98.641
574.00	77.449
574.25	33.805
574.50	143.04
574.75	73.161
575.00	162.72
575.25	101.16
575.50	112.01
575.75	69.124
576.00	37.842
576.25	151.37
576.50	37.085
576.75	109.49
577.00	114.28
577.25	98.136
577.50	55.754
577.75	98.641
578.00	117.06
578.25	36.833
578.50	170.04
578.75	128.91
579.00	161.21
579.25	93.343
579.50	73.413
579.75	33.048
580.00	54.997
580.25	141.78
580.50	105.96
580.75	94.857
581.00	76.945
581.25	131.18
581.50	128.16
581.75	55.249
582.00	88.550
582.25	97.632
582.50	88.045
582.75	105.70
583.00	93.848
583.25	146.83
583.50	51.213
583.75	97.632
584.00	47.681
584.25	107.98
584.50	160.45
584.75	142.54
585.00	66.854
585.25	123.11
585.50	162.97
585.75	70.890
586.00	103.43
586.25	73.161
586.50	122.10
586.75	116.80
587.00	153.89
587.25	75.179
587.50	59.538
587.75	164.23
588.00	125.13
588.25	56.258
588.50	130.43
588.75	146.32
589.00	93.595
589.25	111.76
589.50	49.447
589.75	19.173
590.00	141.78
590.25	104.44
590.50	76.945
590.75	213.93
591.00	127.40
591.25	103.43
591.50	57.772
591.75	112.77
592.00	56.510
592.25	87.288
592.50	35.067
592.75	71.142
593.00	171.30
593.25	94.100
593.50	97.884
593.75	158.18
594.00	97.379
594.25	113.53
594.50	50.203
594.75	145.31
595.00	69.881
595.25	116.55
595.50	99.650
595.75	123.11
596.00	147.58
596.25	80.225
596.50	118.57
596.75	125.89
597.00	126.14
597.25	121.60
597.50	112.01
597.75	94.604
598.00	53.483
598.25	154.14
598.50	75.431
598.75	117.06
599.00	166.50
599.25	108.73
599.50	133.20
599.75	84.009
600.00	143.04
