Wavelength (nm)	Chem Sci 2014_3388, Cu-1 abs [Z]
479.00	0.11242
480.00	0.11165
481.00	0.11088
482.00	0.11011
483.00	0.10934
484.00	0.10857
485.00	0.10781
486.00	0.10704
487.00	0.10627
488.00	0.10550
489.00	0.10473
490.00	0.10464
491.00	0.10470
492.00	0.10476
493.00	0.10483
494.00	0.10489
495.00	0.10495
496.00	0.10501
497.00	0.10507
498.00	0.10513
499.00	0.10519
500.00	0.10526
501.00	0.10543
502.00	0.10637
503.00	0.10730
504.00	0.10824
505.00	0.10917
506.00	0.11011
507.00	0.11104
508.00	0.11198
509.00	0.11291
510.00	0.11496
511.00	0.11761
512.00	0.12026
513.00	0.12291
514.00	0.12556
515.00	0.12821
516.00	0.13085
517.00	0.13350
518.00	0.13615
519.00	0.13880
520.00	0.14215
521.00	0.14601
522.00	0.14988
523.00	0.15375
524.00	0.15762
525.00	0.16149
526.00	0.16536
527.00	0.16923
528.00	0.17376
529.00	0.17883
530.00	0.18390
531.00	0.18897
532.00	0.19404
533.00	0.19912
534.00	0.20419
535.00	0.20926
536.00	0.21433
537.00	0.21933
538.00	0.22399
539.00	0.22864
540.00	0.23329
541.00	0.23795
542.00	0.24260
543.00	0.24725
544.00	0.25190
545.00	0.25656
546.00	0.26121
547.00	0.26598
548.00	0.27204
549.00	0.27810
550.00	0.28417
551.00	0.29023
552.00	0.29629
553.00	0.30236
554.00	0.30842
555.00	0.31449
556.00	0.32055
557.00	0.32872
558.00	0.33788
559.00	0.34704
560.00	0.35620
561.00	0.36537
562.00	0.37453
563.00	0.38369
564.00	0.39310
565.00	0.40436
566.00	0.41563
567.00	0.42689
568.00	0.43815
569.00	0.44941
570.00	0.46067
571.00	0.47193
572.00	0.48296
573.00	0.49380
574.00	0.50463
575.00	0.51547
576.00	0.52631
577.00	0.53714
578.00	0.54798
579.00	0.55882
580.00	0.56679
581.00	0.57391
582.00	0.58102
583.00	0.58814
584.00	0.59386
585.00	0.59755
586.00	0.60125
587.00	0.60494
588.00	0.60864
589.00	0.61203
590.00	0.61354
591.00	0.61505
592.00	0.61657
593.00	0.61808
594.00	0.61959
595.00	0.62100
596.00	0.62226
597.00	0.62352
598.00	0.62478
599.00	0.62604
600.00	0.62730
601.00	0.62856
602.00	0.63187
603.00	0.63694
604.00	0.64200
605.00	0.64707
606.00	0.65213
607.00	0.65879
608.00	0.66977
609.00	0.68075
610.00	0.69172
611.00	0.70270
612.00	0.71367
613.00	0.72465
614.00	0.73563
615.00	0.74962
616.00	0.76485
617.00	0.78008
618.00	0.79531
619.00	0.81054
620.00	0.82577
621.00	0.84100
622.00	0.85623
623.00	0.87225
624.00	0.89092
625.00	0.90959
626.00	0.92826
627.00	0.94090
628.00	0.95193
629.00	0.96296
630.00	0.97400
631.00	0.98137
632.00	0.98694
633.00	0.99250
634.00	0.99659
635.00	1.0000
636.00	0.99702
637.00	0.99404
638.00	0.98975
639.00	0.98293
640.00	0.97611
641.00	0.96603
642.00	0.95370
643.00	0.94136
644.00	0.92213
645.00	0.90158
646.00	0.88103
647.00	0.86048
648.00	0.83978
649.00	0.81416
650.00	0.78853
651.00	0.76291
652.00	0.73729
653.00	0.71004
654.00	0.68074
655.00	0.65143
656.00	0.62212
657.00	0.59562
658.00	0.57143
659.00	0.54724
660.00	0.52305
661.00	0.49885
662.00	0.47433
663.00	0.44949
664.00	0.42465
665.00	0.39982
666.00	0.37498
667.00	0.35719
668.00	0.34001
669.00	0.32283
670.00	0.30565
671.00	0.28847
672.00	0.27544
673.00	0.26298
674.00	0.25052
675.00	0.23806
676.00	0.22560
677.00	0.21438
