Wavelength (nm)	K12 abs e
354.25	4409.7
354.50	4276.9
354.75	4001.2
355.00	4204.6
355.25	4381.1
355.50	4473.6
355.75	4244.9
356.00	3949.0
356.25	4529.0
356.50	4700.5
356.75	4397.9
357.00	4248.3
357.25	3853.2
357.50	4586.2
357.75	4419.8
358.00	4809.8
358.25	3927.2
358.50	4545.9
358.75	5030.0
359.00	4144.1
359.25	4623.2
359.50	4710.6
359.75	4434.9
360.00	4197.9
360.25	4476.9
360.50	5430.1
360.75	4824.9
361.00	4376.1
361.25	4540.8
361.50	4705.6
361.75	4397.9
362.00	4651.8
362.25	5083.8
362.50	4798.0
362.75	4934.2
363.00	4396.2
363.25	5921.0
363.50	5021.6
363.75	4364.3
364.00	5445.3
364.25	5041.8
364.50	4787.9
364.75	5378.0
365.00	5611.7
365.25	4872.0
365.50	5603.3
365.75	5171.2
366.00	5309.1
366.25	4666.9
366.50	5272.1
366.75	5638.6
367.00	4895.5
367.25	4984.6
367.50	4786.3
367.75	5381.4
368.00	4683.7
368.25	5275.5
368.50	4801.4
368.75	4856.9
369.00	4919.1
369.25	4895.5
369.50	4986.3
369.75	4648.4
370.00	4345.8
370.25	4764.4
370.50	4355.9
370.75	4752.6
371.00	4014.6
371.25	4781.2
371.50	4663.5
371.75	4139.0
372.00	4431.5
372.25	4150.8
372.50	3895.2
372.75	3675.0
373.00	3701.9
373.25	3189.2
373.50	3624.6
373.75	3644.8
374.00	3574.1
374.25	3459.8
374.50	3036.2
374.75	2931.9
375.00	3155.5
375.25	3148.8
375.50	2805.9
375.75	3360.6
376.00	3096.7
376.25	3404.3
376.50	2699.9
376.75	2656.2
377.00	3021.0
377.25	2303.2
377.50	2294.8
377.75	2271.2
378.00	2953.8
378.25	2039.2
378.50	2222.5
378.75	2451.1
379.00	2326.7
379.25	2293.1
379.50	2351.9
379.75	2345.2
380.00	2826.0
380.25	2562.1
380.50	2150.2
380.75	1867.8
381.00	2294.8
381.25	1677.8
381.50	1840.9
381.75	2207.4
382.00	2088.0
382.25	2222.5
382.50	2160.3
382.75	1916.5
383.00	1935.0
383.25	2029.2
383.50	2193.9
383.75	2713.4
384.00	2264.5
384.25	1965.3
384.50	2106.5
