Wavelength (nm)	M01 abs e
288.75	1096.0
289.00	1172.2
289.25	1080.9
289.50	1086.4
289.75	1059.9
290.00	1084.0
290.25	1106.0
290.50	1183.2
290.75	1185.9
291.00	1216.3
291.25	1230.0
291.50	1198.7
291.75	1256.2
292.00	1160.5
292.25	1212.8
292.50	1207.6
292.75	1238.0
293.00	1225.6
293.25	1117.4
293.50	1089.8
293.75	1033.0
294.00	1077.1
294.25	1017.5
294.50	965.15
294.75	1007.2
295.00	926.57
295.25	886.96
295.50	906.94
295.75	794.99
296.00	816.35
296.25	745.39
296.50	796.02
296.75	670.99
297.00	738.50
297.25	715.08
297.50	674.09
297.75	678.91
298.00	672.02
298.25	669.95
298.50	706.12
298.75	704.74
299.00	565.24
299.25	633.79
299.50	488.09
299.75	554.91
300.00	622.08
300.25	529.42
300.50	512.54
300.75	470.52
301.00	542.16
301.25	533.21
301.50	464.32
301.75	452.26
302.00	492.56
302.25	427.81
302.50	397.15
302.75	521.84
303.00	438.83
303.25	483.95
303.50	458.81
303.75	430.22
304.00	458.12
304.25	435.38
304.50	474.65
304.75	418.16
305.00	488.43
305.25	399.22
305.50	418.51
305.75	385.44
306.00	431.25
306.25	464.32
306.50	385.78
306.75	500.83
307.00	384.06
307.25	406.45
307.50	458.12
307.75	451.57
308.00	450.88
308.25	487.74
308.50	495.32
308.75	445.03
309.00	410.93
309.25	379.24
309.50	439.52
309.75	362.71
310.00	423.33
310.25	465.70
310.50	422.64
310.75	521.84
311.00	458.81
311.25	439.86
311.50	371.66
311.75	524.60
312.00	290.37
312.25	720.24
312.50	645.15
312.75	704.40
313.00	444.68
313.25	396.81
313.50	367.18
313.75	585.91
314.00	378.55
314.25	451.57
314.50	248.35
314.75	464.66
315.00	615.88
315.25	384.75
315.50	220.10
315.75	453.98
316.00	569.03
316.25	543.89
316.50	508.75
316.75	558.35
317.00	653.42
317.25	370.97
317.50	506.69
317.75	430.91
318.00	350.31
318.25	745.39
318.50	499.80
318.75	719.56
319.00	394.39
319.25	629.31
319.50	324.82
319.75	406.80
320.00	493.60
320.25	532.86
320.50	415.41
320.75	406.80
321.00	553.53
321.25	646.19
321.50	618.29
321.75	728.17
322.00	845.28
322.25	746.77
322.50	716.80
322.75	800.85
323.00	480.16
323.25	728.51
323.50	613.46
323.75	673.05
324.00	824.61
324.25	544.23
324.50	902.11
324.75	639.99
325.00	835.98
325.25	755.72
325.50	653.08
325.75	810.83
326.00	862.16
326.25	838.39
326.50	800.16
326.75	637.92
327.00	837.36
327.25	692.00
327.50	778.46
327.75	697.51
328.00	844.59
328.25	830.47
328.50	780.18
328.75	911.76
329.00	888.68
329.25	696.82
329.50	732.30
329.75	877.31
330.00	969.28
330.25	738.50
330.50	746.42
330.75	784.66
331.00	634.48
331.25	875.59
331.50	1013.4
331.75	959.29
332.00	839.42
332.25	821.86
332.50	957.57
332.75	1087.4
333.00	865.26
333.25	1073.3
333.50	875.59
333.75	768.81
334.00	947.58
334.25	1148.1
334.50	894.19
334.75	960.67
335.00	936.90
335.25	1025.4
335.50	1060.2
335.75	1120.8
336.00	961.70
336.25	1178.7
336.50	1182.8
336.75	1230.4
337.00	1164.9
337.25	1128.4
337.50	1189.0
337.75	1276.2
338.00	1152.9
338.25	1294.4
338.50	1288.6
338.75	1353.3
339.00	1361.6
339.25	1376.8
339.50	1303.4
339.75	1429.1
340.00	1368.8
340.25	1218.7
340.50	1434.6
340.75	1541.4
341.00	1186.6
341.25	1347.5
341.50	1403.3
341.75	1278.9
342.00	1385.7
342.25	1471.1
342.50	1446.3
342.75	1437.4
343.00	1392.3
343.25	1499.7
343.50	1368.8
343.75	1724.7
344.00	1416.4
344.25	1384.7
344.50	1418.1
344.75	1399.5
345.00	1485.3
345.25	1590.0
345.50	1422.2
345.75	1639.6
346.00	1608.2
346.25	1535.9
346.50	1464.6
346.75	1660.9
347.00	1597.6
347.25	1671.3
347.50	1696.4
347.75	1563.5
348.00	1586.9
348.25	1571.4
348.50	1686.1
348.75	1812.5
349.00	1715.4
349.25	1670.6
349.50	1755.3
349.75	1702.6
350.00	1782.9
350.25	1815.2
350.50	1864.2
350.75	1845.9
351.00	1816.6
351.25	1814.2
351.50	2005.0
351.75	1807.7
352.00	1837.6
352.25	2008.5
352.50	1936.5
352.75	1990.9
353.00	2031.2
353.25	2000.9
353.50	2193.1
353.75	1935.5
354.00	2046.7
354.25	2004.4
354.50	2090.5
354.75	2094.9
355.00	2185.9
355.25	2270.6
355.50	2298.9
355.75	2469.4
356.00	2393.9
356.25	2444.6
356.50	2676.0
356.75	2556.8
357.00	2623.7
357.25	2640.6
357.50	2662.3
357.75	2661.9
358.00	2843.1
358.25	2856.2
358.50	2873.7
358.75	2900.3
359.00	2944.4
359.25	2966.7
359.50	3041.5
359.75	3143.8
360.00	3263.7
360.25	3206.5
360.50	3509.9
360.75	3371.5
361.00	3418.3
361.25	3485.5
361.50	3636.7
361.75	3630.5
362.00	3693.2
362.25	3720.4
362.50	3842.0
362.75	3903.0
363.00	4091.7
363.25	4144.1
363.50	4206.1
363.75	4234.7
364.00	4181.3
364.25	4351.1
364.50	4363.1
364.75	4344.2
365.00	4467.2
365.25	4612.9
365.50	4483.4
365.75	4521.2
366.00	4535.4
366.25	4637.3
366.50	4627.0
366.75	4804.4
367.00	4657.0
367.25	4759.6
367.50	4761.7
367.75	4819.9
368.00	4868.1
368.25	4895.7
368.50	4909.4
368.75	4912.5
369.00	4874.3
369.25	4769.9
369.50	4936.0
369.75	4938.4
370.00	4978.0
370.25	4841.9
370.50	4874.7
370.75	4888.4
371.00	4996.6
371.25	4798.9
371.50	4983.5
371.75	4891.2
372.00	4847.1
372.25	4946.3
372.50	5015.9
372.75	4978.3
373.00	4972.8
373.25	5204.6
373.50	5130.6
373.75	5113.4
374.00	5252.5
374.25	5449.2
374.50	5411.6
374.75	5355.5
375.00	5480.2
375.25	5663.8
375.50	5646.9
375.75	5910.1
376.00	5837.7
376.25	6119.5
376.50	6307.6
376.75	6390.9
377.00	6588.3
377.25	6772.6
377.50	6957.9
377.75	6997.5
378.00	7301.0
378.25	7444.6
378.50	7556.5
378.75	7767.0
379.00	7933.0
379.25	8041.5
379.50	8271.6
379.75	8638.8
380.00	8875.4
380.25	8995.0
380.50	9201.6
380.75	9515.4
381.00	9692.1
381.25	10026
381.50	10127
381.75	10131
382.00	10610
382.25	10543
382.50	10860
382.75	10968
383.00	10950
383.25	11230
383.50	11412
383.75	11624
384.00	11894
384.25	12047
384.50	11948
384.75	12206
385.00	12374
385.25	12549
385.50	12634
385.75	12791
386.00	12749
386.25	12889
386.50	12793
386.75	13000
387.00	13014
387.25	12756
387.50	12768
387.75	12811
388.00	12844
388.25	12537
388.50	12690
388.75	12395
389.00	12312
389.25	12220
389.50	12157
389.75	12101
390.00	11974
390.25	12041
390.50	11756
390.75	11821
391.00	11529
391.25	11453
391.50	11366
391.75	11166
392.00	11123
392.25	11100
392.50	10980
392.75	10722
393.00	10781
393.25	10739
393.50	10699
393.75	10593
394.00	10563
394.25	10618
394.50	10638
394.75	10794
395.00	10824
395.25	10967
395.50	11061
395.75	11364
396.00	11561
396.25	11809
396.50	12015
396.75	12317
397.00	12671
397.25	12991
397.50	13159
397.75	13482
398.00	13845
398.25	14128
398.50	14619
398.75	14816
399.00	15234
399.25	15658
399.50	15997
399.75	16397
400.00	16828
400.25	17242
400.50	17691
400.75	18146
401.00	18410
401.25	18787
401.50	19189
401.75	19563
402.00	19920
402.25	20336
402.50	20642
402.75	20921
403.00	21353
403.25	21636
403.50	21972
403.75	22339
404.00	22863
404.25	23266
404.50	23700
404.75	24139
405.00	24616
405.25	25091
405.50	25591
405.75	25918
406.00	26423
406.25	26766
406.50	27137
406.75	27432
407.00	27631
407.25	27702
407.50	27881
407.75	28033
408.00	28017
408.25	28096
408.50	28022
408.75	27821
409.00	27919
409.25	27613
409.50	27580
409.75	27528
410.00	27333
410.25	27052
410.50	27132
410.75	27065
411.00	26896
411.25	26565
411.50	26393
411.75	26164
412.00	25923
412.25	25399
412.50	24945
412.75	24283
413.00	23627
413.25	23000
413.50	22258
413.75	21481
414.00	20809
414.25	19962
414.50	19498
414.75	19104
415.00	18443
415.25	17809
415.50	17079
415.75	16387
416.00	15712
416.25	15216
416.50	14737
416.75	14264
417.00	14003
417.25	13659
417.50	13452
417.75	13373
418.00	13206
418.25	13202
418.50	13175
418.75	13226
419.00	13328
419.25	13333
419.50	13594
419.75	13743
420.00	13910
420.25	14052
420.50	14316
420.75	14586
421.00	14891
421.25	15256
421.50	15435
421.75	15817
422.00	16016
422.25	16511
422.50	16708
422.75	17175
423.00	17413
423.25	17793
423.50	18071
423.75	18440
424.00	18797
424.25	19145
424.50	19654
424.75	19917
425.00	20414
425.25	21124
425.50	21556
425.75	22065
426.00	22689
426.25	23406
426.50	24024
426.75	24678
427.00	25471
427.25	26133
427.50	26829
427.75	27568
428.00	28207
428.25	28786
428.50	29360
428.75	29830
429.00	30278
429.25	30517
429.50	30615
429.75	30813
430.00	30886
430.25	30896
430.50	30776
430.75	30827
431.00	30856
431.25	30794
431.50	30740
431.75	30717
432.00	30881
432.25	31085
432.50	31394
432.75	31844
433.00	32405
433.25	32862
433.50	33686
433.75	34298
434.00	35028
434.25	35827
434.50	36584
434.75	37279
435.00	37729
435.25	38312
435.50	38380
435.75	38500
436.00	37962
436.25	37354
436.50	36541
436.75	35505
437.00	34122
437.25	32735
437.50	30988
437.75	29393
438.00	27677
438.25	26022
438.50	24095
438.75	22410
439.00	20695
439.25	19194
439.50	17687
439.75	16346
440.00	14957
440.25	13788
440.50	12765
440.75	11740
441.00	10890
441.25	10090
441.50	9509.2
441.75	8841.0
442.00	8363.9
442.25	7863.1
442.50	7434.3
442.75	7032.3
443.00	6639.6
443.25	6321.0
443.50	5932.1
443.75	5733.4
444.00	5380.0
444.25	5095.4
444.50	4859.8
444.75	4602.5
445.00	4303.9
445.25	4012.8
445.50	3807.9
445.75	3483.1
446.00	3317.7
446.25	3112.1
446.50	2902.7
446.75	2568.9
447.00	2505.5
447.25	2388.1
447.50	2153.8
447.75	1969.2
448.00	1849.7
448.25	1728.8
448.50	1634.8
448.75	1469.1
449.00	1446.7
449.25	1338.5
449.50	1249.3
449.75	1134.6
450.00	1065.7
450.25	1011.6
450.50	951.71
450.75	951.03
451.00	876.62
451.25	746.77
451.50	814.62
451.75	738.16
452.00	718.87
452.25	664.10
452.50	577.99
452.75	618.63
453.00	600.72
453.25	520.12
453.50	534.24
453.75	481.54
454.00	522.53
454.25	470.86
454.50	381.31
454.75	413.34
455.00	420.92
455.25	430.91
455.50	287.62
455.75	356.85
456.00	237.67
456.25	370.63
456.50	341.35
456.75	354.09
457.00	291.06
457.25	273.15
457.50	168.09
457.75	291.06
458.00	264.19
458.25	218.38
458.50	184.28
458.75	241.11
459.00	215.63
459.25	175.32
459.50	292.44
459.75	218.38
460.00	236.64
460.25	183.25
460.50	212.53
460.75	184.97
461.00	130.55
461.25	182.90
461.50	190.48
461.75	126.76
462.00	64.412
462.25	140.19
462.50	128.14
462.75	145.70
463.00	136.06
463.25	202.54
463.50	146.39
463.75	102.30
464.00	121.94
464.25	98.168
464.50	149.84
464.75	146.05
465.00	170.50
465.25	146.05
465.50	64.757
465.75	139.85
466.00	97.824
466.25	211.15
466.50	97.479
466.75	105.40
467.00	77.501
467.25	107.12
467.50	56.145
467.75	92.313
468.00	136.06
468.25	78.879
468.50	81.979
468.75	108.85
469.00	91.968
469.25	84.735
469.50	123.31
469.75	104.02
470.00	117.46
470.25	33.412
470.50	54.768
470.75	33.412
471.00	81.979
471.25	124.35
471.50	54.423
471.75	27.900
472.00	39.612
472.25	103.33
472.50	92.657
472.75	50.290
473.00	88.179
473.25	127.10
473.50	89.557
473.75	44.778
474.00	18.256
474.25	57.523
474.50	96.101
474.75	73.023
475.00	116.08
475.25	107.81
475.50	66.823
475.75	113.67
476.00	58.212
476.25	101.96
476.50	-1.7222
476.75	67.168
477.00	61.656
477.25	45.467
477.50	46.156
477.75	59.590
478.00	-8.2668
478.25	-32.723
478.50	81.290
478.75	2.4111
479.00	77.157
479.25	136.40
479.50	-7.9223
479.75	114.36
480.00	26.178
480.25	48.223
480.50	28.245
480.75	78.535
481.00	69.234
481.25	-4.8223
481.50	83.357
481.75	-21.011
482.00	76.123
482.25	-50.979
482.50	145.70
482.75	65.790
483.00	37.201
483.25	15.500
483.50	49.601
483.75	-12.745
484.00	71.646
484.25	52.356
484.50	81.635
484.75	-21.700
485.00	85.079
485.25	54.079
485.50	29.967
485.75	-28.589
486.00	6.8890
486.25	12.056
486.50	32.034
486.75	68.201
487.00	-6.5445
487.25	36.856
487.50	57.179
487.75	47.534
488.00	48.912
488.25	-0.68890
488.50	83.012
488.75	65.790
489.00	82.668
489.25	55.456
489.50	5.5112
489.75	79.912
490.00	18.256
490.25	4.1334
490.50	-14.811
490.75	50.979
491.00	19.978
491.25	6.5445
491.50	47.534
491.75	120.21
492.00	27.900
492.25	53.045
492.50	11.711
492.75	60.623
493.00	109.54
493.25	93.346
493.50	26.523
493.75	67.857
494.00	31.000
494.25	-12.745
494.50	20.323
494.75	26.178
495.00	33.756
495.25	27.556
495.50	104.37
495.75	30.656
496.00	101.61
496.25	-12.400
496.50	63.723
496.75	-22.389
497.00	37.201
497.25	55.801
497.50	94.379
497.75	107.12
498.00	-67.168
498.25	76.123
498.50	-45.123
498.75	47.190
499.00	-48.223
499.25	119.52
499.50	97.479
499.75	6.8890
500.00	36.512
