Wavelength (nm)	R05 abs e
774.00	2041.2
775.00	1970.3
776.00	1909.0
777.00	1848.9
778.00	1783.8
779.00	1728.6
780.00	1670.3
781.00	1614.8
782.00	1564.4
783.00	1516.6
784.00	1468.7
785.00	1420.7
786.00	1376.2
787.00	1327.7
788.00	1286.5
789.00	1248.8
790.00	1212.3
791.00	1166.1
792.00	1129.4
793.00	1101.9
794.00	1063.7
795.00	1028.5
796.00	1001.3
797.00	963.37
798.00	943.86
799.00	906.94
800.00	881.60
801.00	854.77
802.00	829.10
803.00	800.87
804.00	783.42
805.00	755.85
806.00	731.71
807.00	716.58
808.00	692.72
809.00	675.57
810.00	648.70
811.00	629.52
812.00	621.21
813.00	596.57
814.00	584.04
815.00	566.23
816.00	552.87
817.00	541.96
818.00	531.05
819.00	511.86
820.00	493.88
821.00	493.10
822.00	480.94
823.00	464.24
824.00	452.46
825.00	442.17
826.00	433.86
827.00	424.84
828.00	420.67
829.00	403.51
830.00	393.34
831.00	389.09
832.00	379.33
833.00	370.19
834.00	359.74
835.00	354.24
836.00	347.04
837.00	342.04
838.00	341.30
839.00	327.82
840.00	319.59
841.00	322.08
842.00	311.37
843.00	306.20
844.00	296.40
845.00	294.58
846.00	296.32
847.00	290.74
848.00	278.01
849.00	272.18
850.00	277.72
851.00	270.03
852.00	267.80
853.00	251.92
854.00	254.44
855.00	251.30
856.00	247.17
857.00	245.02
858.00	234.27
859.00	235.63
860.00	235.18
861.00	225.71
862.00	234.44
863.00	227.41
864.00	218.81
865.00	220.55
866.00	223.27
867.00	221.79
868.00	208.97
869.00	218.07
870.00	215.25
871.00	213.15
872.00	212.44
873.00	203.02
874.00	208.14
875.00	205.95
876.00	206.04
877.00	191.03
878.00	196.11
879.00	199.71
880.00	201.16
881.00	196.03
882.00	194.17
883.00	196.53
884.00	192.43
885.00	193.30
886.00	188.63
887.00	188.38
888.00	191.15
889.00	193.88
890.00	190.82
891.00	180.82
892.00	182.60
893.00	193.67
894.00	186.11
895.00	183.05
896.00	176.81
897.00	180.53
898.00	188.30
899.00	184.54
900.00	182.31
