Wavelength (nm)	7, Cj-PxB-2, CJPXB2
438.00	0.89962
439.00	0.88011
440.00	0.86060
441.00	0.84045
442.00	0.82031
443.00	0.79775
444.00	0.77519
445.00	0.75212
446.00	0.72905
447.00	0.70289
448.00	0.67672
449.00	0.65033
450.00	0.62394
451.00	0.59757
452.00	0.57120
453.00	0.54350
454.00	0.51581
455.00	0.48935
456.00	0.46290
457.00	0.43626
458.00	0.40962
459.00	0.38636
460.00	0.36310
461.00	0.34054
462.00	0.31797
463.00	0.29535
464.00	0.27273
465.00	0.25405
466.00	0.23537
467.00	0.21949
468.00	0.20360
469.00	0.18831
470.00	0.17301
471.00	0.15723
472.00	0.14144
473.00	0.12834
474.00	0.11524
475.00	0.10508
476.00	0.094919
477.00	0.086022
478.00	0.077125
479.00	0.069418
480.00	0.061711
481.00	0.055127
482.00	0.048542
483.00	0.039623
484.00	0.030704
485.00	0.027425
486.00	0.024145
487.00	0.023006
488.00	0.021867
489.00	0.019916
490.00	0.017964
491.00	0.015509
492.00	0.013053
493.00	0.010756
494.00	0.0084602
495.00	0.0070241
496.00	0.0055880
497.00	0.0044454
498.00	0.0033027
499.00	0.0024315
500.00	0.0015603
501.00	0.0019014
502.00	0.0022880
503.00	0.0013893
504.00	0.0018854
505.00	0.0022239
506.00	0.0015007
507.00	0.0014677
508.00	0.0014346
509.00	0.0023889
510.00	0.0019778
511.00	0.0010134
512.00	0.0015270
513.00	0.0024256
514.00	0.0018455
515.00	0.0016970
516.00	0.0015401
517.00	0.0013640
518.00	0.0014227
519.00	0.0017455
520.00	0.0010615
521.00	0.0012632
522.00	0.0014650
523.00	0.0016300
524.00	0.0017951
525.00	0.0017309
526.00	0.0016667
527.00	0.0016355
528.00	0.0016044
529.00	0.0017529
530.00	0.0019015
531.00	0.0018721
532.00	0.0018428
533.00	0.0018300
534.00	0.0018171
535.00	0.0018593
536.00	0.0019015
537.00	0.0017566
538.00	0.0016117
539.00	0.0016429
540.00	0.0016741
541.00	0.0017052
542.00	0.0017364
543.00	0.0018520
544.00	0.0019675
545.00	0.0018135
546.00	0.0016594
547.00	0.0015769
548.00	0.0014943
549.00	0.0018795
550.00	0.0022646
