Wavelength (nm)	Chem Eur J 2014_87, 7HM-iso-DFCC (7) abs [Z]
401.00	0.098523
402.00	0.083541
403.00	0.071788
404.00	0.060035
405.00	0.049940
406.00	0.042438
407.00	0.034936
408.00	0.028430
409.00	0.023094
410.00	0.017870
411.00	0.013928
412.00	0.0099857
413.00	0.0067600
414.00	0.0059321
415.00	0.0051042
416.00	0.0042762
417.00	0.0034483
418.00	0.0026204
419.00	0.0024832
420.00	0.0024061
421.00	0.0023289
422.00	0.0022517
423.00	0.0021746
424.00	0.0020974
425.00	0.0020411
426.00	0.0019991
427.00	0.0019572
428.00	0.0019152
429.00	0.0018733
430.00	0.0018313
431.00	0.0017894
432.00	0.0017474
433.00	0.0017055
434.00	0.0016635
435.00	0.0016216
436.00	0.0015796
437.00	0.0015377
438.00	0.0014957
439.00	0.0014538
440.00	0.0014118
441.00	0.0013699
442.00	0.0013279
443.00	0.0012860
444.00	0.0012440
445.00	0.0012021
446.00	0.0011601
447.00	0.0011182
448.00	0.0010888
449.00	0.0010888
450.00	0.0010888
451.00	0.0010888
452.00	0.0010888
453.00	0.0010888
454.00	0.0010888
455.00	0.0010888
456.00	0.0010888
457.00	0.0010888
458.00	0.0010888
459.00	0.0010888
460.00	0.0010888
461.00	0.0010888
462.00	0.0010888
463.00	0.0010888
464.00	0.0010888
465.00	0.0010888
466.00	0.0010888
467.00	0.0010888
468.00	0.0010888
469.00	0.0010888
470.00	0.0010888
471.00	0.0010888
472.00	0.0010888
473.00	0.0010888
474.00	0.0010888
475.00	0.0010888
476.00	0.0010888
477.00	0.0010888
478.00	0.0010888
479.00	0.0010888
480.00	0.0010888
481.00	0.0010888
482.00	0.0010888
483.00	0.0010888
484.00	0.0010888
485.00	0.0010888
486.00	0.0010888
487.00	0.0010888
488.00	0.0010888
489.00	0.0010888
490.00	0.0010888
491.00	0.0010888
492.00	0.0010888
493.00	0.0010888
494.00	0.0010888
495.00	0.0010888
496.00	0.0010888
497.00	0.0010888
498.00	0.0010888
499.00	0.0010888
500.00	0.0010888
