Wavelength (nm)	H09 abs e
425.75	30583
426.00	30356
426.25	29932
426.50	29777
426.75	29529
427.00	29063
427.25	28678
427.50	28473
427.75	28181
428.00	27827
428.25	27522
428.50	27130
428.75	26775
429.00	26502
429.25	26199
429.50	25777
429.75	25514
430.00	25202
430.25	24876
430.50	24623
430.75	24214
431.00	23859
431.25	23584
431.50	23233
431.75	23027
432.00	22575
432.25	22200
432.50	21859
432.75	21568
433.00	21217
433.25	20925
433.50	20652
433.75	20278
434.00	19969
434.25	19711
434.50	19394
434.75	18999
435.00	18708
435.25	18218
435.50	17922
435.75	17535
436.00	17233
436.25	16914
436.50	16564
436.75	16221
437.00	15995
437.25	15649
437.50	15305
437.75	15049
438.00	14818
438.25	14542
438.50	14245
438.75	14087
439.00	13748
439.25	13453
439.50	13110
439.75	12933
440.00	12659
440.25	12394
440.50	12328
440.75	11962
441.00	11724
441.25	11443
441.50	11091
441.75	10942
442.00	10712
442.25	10416
442.50	10213
442.75	10073
443.00	9783.0
443.25	9617.2
443.50	9362.9
443.75	9165.4
444.00	8863.7
444.25	8739.2
444.50	8584.7
444.75	8348.1
445.00	8135.0
445.25	7901.0
445.50	7725.1
445.75	7531.1
446.00	7370.5
446.25	7175.4
446.50	6930.6
446.75	6917.3
447.00	6685.1
447.25	6373.1
447.50	6288.8
447.75	6103.0
448.00	5997.3
448.25	5814.9
448.50	5714.6
448.75	5466.4
449.00	5327.6
449.25	5151.7
449.50	5113.1
449.75	4869.7
450.00	4819.2
450.25	4616.0
450.50	4445.8
450.75	4386.5
451.00	4186.3
451.25	4127.3
451.50	3970.1
451.75	3859.0
452.00	3722.2
452.25	3609.7
452.50	3547.0
452.75	3391.5
453.00	3341.0
453.25	3181.1
453.50	3074.0
453.75	3033.1
454.00	2900.4
454.25	2795.4
454.50	2700.6
454.75	2719.7
455.00	2634.5
455.25	2542.4
455.50	2373.6
455.75	2409.4
456.00	2209.9
456.25	2268.3
456.50	2221.2
456.75	2120.3
457.00	2015.6
457.25	1926.6
457.50	1897.9
457.75	1780.6
458.00	1755.7
458.25	1634.7
