Wavelength (nm)	Chem Eur J 2018_2987, Z4-Me (CHCl3) abs [Z]
371.00	0.16047
372.00	0.16834
373.00	0.17622
374.00	0.18409
375.00	0.19196
376.00	0.19983
377.00	0.21005
378.00	0.22051
379.00	0.23096
380.00	0.24141
381.00	0.25187
382.00	0.26232
383.00	0.27341
384.00	0.28788
385.00	0.30235
386.00	0.31682
387.00	0.33128
388.00	0.34575
389.00	0.36255
390.00	0.38056
391.00	0.39857
392.00	0.41657
393.00	0.43458
394.00	0.45259
395.00	0.47060
396.00	0.48860
397.00	0.50661
398.00	0.52574
399.00	0.54519
400.00	0.56464
401.00	0.58408
402.00	0.60353
403.00	0.62298
404.00	0.64243
405.00	0.66188
406.00	0.68145
407.00	0.70107
408.00	0.72068
409.00	0.74029
410.00	0.75991
411.00	0.77974
412.00	0.79983
413.00	0.81992
414.00	0.84001
415.00	0.86010
416.00	0.88068
417.00	0.90177
418.00	0.92286
419.00	0.94323
420.00	0.96347
421.00	0.97826
422.00	0.98822
423.00	0.99522
424.00	1.0000
425.00	0.99710
426.00	0.99421
427.00	0.98525
428.00	0.97332
429.00	0.95456
430.00	0.93315
431.00	0.91174
432.00	0.87972
433.00	0.84626
434.00	0.81193
435.00	0.77624
436.00	0.74054
437.00	0.70485
438.00	0.67014
439.00	0.63763
440.00	0.60512
441.00	0.57400
442.00	0.54446
443.00	0.51491
444.00	0.49162
445.00	0.46845
446.00	0.44529
447.00	0.42552
448.00	0.40792
449.00	0.39032
450.00	0.37338
451.00	0.35848
452.00	0.34359
453.00	0.32870
454.00	0.31596
455.00	0.30531
456.00	0.29465
457.00	0.28399
458.00	0.27333
459.00	0.26384
460.00	0.25481
461.00	0.24577
462.00	0.23673
463.00	0.22770
464.00	0.22011
465.00	0.21363
466.00	0.20715
467.00	0.20066
468.00	0.19418
469.00	0.18769
470.00	0.18121
471.00	0.17472
472.00	0.16858
473.00	0.16247
474.00	0.15635
475.00	0.15024
476.00	0.14412
477.00	0.13801
478.00	0.13189
479.00	0.12578
480.00	0.12069
481.00	0.11565
482.00	0.11061
483.00	0.10557
484.00	0.10071
485.00	0.096210
486.00	0.091706
487.00	0.087202
488.00	0.082698
489.00	0.078194
490.00	0.074318
491.00	0.070571
492.00	0.066824
493.00	0.063076
494.00	0.059329
495.00	0.055582
496.00	0.052458
497.00	0.049715
498.00	0.046973
499.00	0.044231
500.00	0.041489
501.00	0.038746
502.00	0.036048
503.00	0.034184
504.00	0.032319
505.00	0.030455
506.00	0.028591
507.00	0.026727
508.00	0.024866
509.00	0.023416
510.00	0.021965
511.00	0.020515
512.00	0.019064
513.00	0.017614
514.00	0.016163
515.00	0.014921
516.00	0.013732
517.00	0.012543
518.00	0.011353
519.00	0.010164
520.00	0.0090505
521.00	0.0084944
522.00	0.0079384
523.00	0.0073823
524.00	0.0068263
525.00	0.0062703
526.00	0.0057142
527.00	0.0052928
528.00	0.0051005
529.00	0.0049083
530.00	0.0047160
531.00	0.0045238
532.00	0.0043316
533.00	0.0041393
534.00	0.0039471
535.00	0.0037523
536.00	0.0035556
537.00	0.0033588
538.00	0.0031620
539.00	0.0029653
540.00	0.0027685
541.00	0.0025717
542.00	0.0023750
543.00	0.0023612
544.00	0.0023612
545.00	0.0023612
546.00	0.0023612
547.00	0.0023612
548.00	0.0023612
549.00	0.0023612
550.00	0.0023612
551.00	0.0023612
552.00	0.0023612
553.00	0.0023612
554.00	0.0023612
555.00	0.0023612
556.00	0.0023612
557.00	0.0023612
558.00	0.0023612
559.00	0.0023612
560.00	0.0023612
561.00	0.0023612
562.00	0.0023612
563.00	0.0023612
564.00	0.0023612
565.00	0.0023612
566.00	0.0023612
567.00	0.0023612
568.00	0.0023612
569.00	0.0023612
570.00	0.0023612
571.00	0.0023612
572.00	0.0023612
573.00	0.0023612
574.00	0.0023612
575.00	0.0023612
576.00	0.0023612
577.00	0.0023612
578.00	0.0023612
579.00	0.0023612
580.00	0.0023612
581.00	0.0023612
582.00	0.0023612
583.00	0.0023612
584.00	0.0023612
585.00	0.0023612
586.00	0.0023612
587.00	0.0023612
588.00	0.0023612
589.00	0.0023612
590.00	0.0023612
591.00	0.0023612
592.00	0.0023612
593.00	0.0023612
594.00	0.0023612
595.00	0.0023612
596.00	0.0023612
597.00	0.0023612
598.00	0.0023612
599.00	0.0023612
600.00	0.0023612
