Wavelength (nm)	JPP 2016_388, YCC-Me abs [Z]
384.00	0.40666
385.00	0.42157
386.00	0.43648
387.00	0.45139
388.00	0.46631
389.00	0.48122
390.00	0.49613
391.00	0.51237
392.00	0.52887
393.00	0.54536
394.00	0.56185
395.00	0.57834
396.00	0.59483
397.00	0.61133
398.00	0.62838
399.00	0.64662
400.00	0.66486
401.00	0.68310
402.00	0.70134
403.00	0.71958
404.00	0.73782
405.00	0.75595
406.00	0.77141
407.00	0.78687
408.00	0.80232
409.00	0.81778
410.00	0.83324
411.00	0.84870
412.00	0.86408
413.00	0.87536
414.00	0.88665
415.00	0.89794
416.00	0.90922
417.00	0.92051
418.00	0.93180
419.00	0.94105
420.00	0.94962
421.00	0.95819
422.00	0.96675
423.00	0.97532
424.00	0.98181
425.00	0.98603
426.00	0.99026
427.00	0.99448
428.00	0.99637
429.00	0.99819
430.00	1.0000
431.00	0.99801
432.00	0.99603
433.00	0.99404
434.00	0.98883
435.00	0.98346
436.00	0.97808
437.00	0.96688
438.00	0.95530
439.00	0.94372
440.00	0.92781
441.00	0.90987
442.00	0.89193
443.00	0.87399
444.00	0.85211
445.00	0.82819
446.00	0.80427
447.00	0.78036
448.00	0.75644
449.00	0.73116
450.00	0.70377
451.00	0.67637
452.00	0.64897
453.00	0.62101
454.00	0.59214
455.00	0.56327
456.00	0.53440
457.00	0.50554
458.00	0.47778
459.00	0.45198
460.00	0.42619
461.00	0.40040
462.00	0.37505
463.00	0.35369
464.00	0.33234
465.00	0.31098
466.00	0.28962
467.00	0.27204
468.00	0.25519
469.00	0.23834
470.00	0.22149
471.00	0.20557
472.00	0.19165
473.00	0.17772
474.00	0.16380
475.00	0.15001
476.00	0.13839
477.00	0.12677
478.00	0.11515
479.00	0.10461
480.00	0.096726
481.00	0.088839
482.00	0.080952
483.00	0.074624
484.00	0.069678
485.00	0.064732
486.00	0.059786
487.00	0.054840
488.00	0.050532
489.00	0.046426
490.00	0.042319
491.00	0.038213
492.00	0.034106
493.00	0.032279
494.00	0.030451
495.00	0.028624
496.00	0.026796
497.00	0.024969
498.00	0.023141
499.00	0.021668
500.00	0.020326
501.00	0.018983
502.00	0.017641
503.00	0.016298
504.00	0.014956
505.00	0.013614
506.00	0.012664
507.00	0.011884
508.00	0.011103
509.00	0.010322
510.00	0.0095416
511.00	0.0087609
512.00	0.0079802
513.00	0.0071995
514.00	0.0069106
515.00	0.0066588
516.00	0.0064070
517.00	0.0061552
518.00	0.0059033
519.00	0.0056515
520.00	0.0053997
521.00	0.0051479
522.00	0.0048463
523.00	0.0045392
524.00	0.0042322
525.00	0.0039251
526.00	0.0036180
527.00	0.0033109
528.00	0.0030038
529.00	0.0026967
530.00	0.0024265
531.00	0.0024265
532.00	0.0024265
533.00	0.0024265
534.00	0.0024265
535.00	0.0024265
536.00	0.0024265
537.00	0.0024265
538.00	0.0024265
539.00	0.0024265
540.00	0.0024265
541.00	0.0024265
542.00	0.0024265
543.00	0.0024265
544.00	0.0024265
545.00	0.0024265
546.00	0.0024265
547.00	0.0024265
548.00	0.0024265
549.00	0.0024265
550.00	0.0024265
551.00	0.0024265
552.00	0.0024265
553.00	0.0024265
554.00	0.0024265
555.00	0.0024265
556.00	0.0024265
557.00	0.0024265
558.00	0.0024265
559.00	0.0024265
560.00	0.0024265
561.00	0.0024265
562.00	0.0024265
563.00	0.0024265
564.00	0.0024265
565.00	0.0024265
566.00	0.0024265
567.00	0.0024265
568.00	0.0024265
569.00	0.0024265
570.00	0.0024265
571.00	0.0024265
572.00	0.0024265
573.00	0.0024265
574.00	0.0024265
575.00	0.0024265
576.00	0.0024265
577.00	0.0024265
578.00	0.0024265
579.00	0.0024265
580.00	0.0024265
581.00	0.0024265
582.00	0.0024265
583.00	0.0024265
584.00	0.0024265
585.00	0.0024265
586.00	0.0024265
587.00	0.0024265
588.00	0.0024265
589.00	0.0024265
590.00	0.0024265
591.00	0.0024265
592.00	0.0024265
593.00	0.0024265
594.00	0.0024265
595.00	0.0024265
596.00	0.0024265
597.00	0.0024265
598.00	0.0024265
599.00	0.0024265
600.00	0.0024265
