Wavelength (nm)	Dalton 2015_10116, Pd-3 abs [Z]
517.00	0.13371
518.00	0.13528
519.00	0.13787
520.00	0.14045
521.00	0.14304
522.00	0.14563
523.00	0.14821
524.00	0.15080
525.00	0.15338
526.00	0.15605
527.00	0.15950
528.00	0.16294
529.00	0.16638
530.00	0.16982
531.00	0.17326
532.00	0.17670
533.00	0.18027
534.00	0.18407
535.00	0.18787
536.00	0.19166
537.00	0.19546
538.00	0.19926
539.00	0.20305
540.00	0.20684
541.00	0.21057
542.00	0.21430
543.00	0.21803
544.00	0.22176
545.00	0.22549
546.00	0.22922
547.00	0.23295
548.00	0.23607
549.00	0.23915
550.00	0.24222
551.00	0.24530
552.00	0.24838
553.00	0.25145
554.00	0.25453
555.00	0.25800
556.00	0.26163
557.00	0.26526
558.00	0.26889
559.00	0.27252
560.00	0.27615
561.00	0.27978
562.00	0.28381
563.00	0.28996
564.00	0.29611
565.00	0.30226
566.00	0.30841
567.00	0.31456
568.00	0.32090
569.00	0.32912
570.00	0.33733
571.00	0.34555
572.00	0.35377
573.00	0.36199
574.00	0.37117
575.00	0.38222
576.00	0.39327
577.00	0.40433
578.00	0.41538
579.00	0.42643
580.00	0.43726
581.00	0.44780
582.00	0.45835
583.00	0.46889
584.00	0.47943
585.00	0.48992
586.00	0.50036
587.00	0.51080
588.00	0.52085
589.00	0.52570
590.00	0.53055
591.00	0.53540
592.00	0.53880
593.00	0.54212
594.00	0.54382
595.00	0.54517
596.00	0.54576
597.00	0.54500
598.00	0.54424
599.00	0.54321
600.00	0.54129
601.00	0.53937
602.00	0.53745
603.00	0.53510
604.00	0.53263
605.00	0.53016
606.00	0.52823
607.00	0.52731
608.00	0.52640
609.00	0.52548
610.00	0.52621
611.00	0.52751
612.00	0.52882
613.00	0.53052
614.00	0.53483
615.00	0.53914
616.00	0.54345
617.00	0.55269
618.00	0.56287
619.00	0.57305
620.00	0.58323
621.00	0.59342
622.00	0.61000
623.00	0.62714
624.00	0.64429
625.00	0.66143
626.00	0.67857
627.00	0.69572
628.00	0.71443
629.00	0.73594
630.00	0.75746
631.00	0.77897
632.00	0.80048
633.00	0.82199
634.00	0.84336
635.00	0.86470
636.00	0.88603
637.00	0.90681
638.00	0.92485
639.00	0.94289
640.00	0.95970
641.00	0.97187
642.00	0.98405
643.00	0.99409
644.00	0.99794
645.00	1.0000
646.00	0.99699
647.00	0.99309
648.00	0.98447
649.00	0.97035
650.00	0.95353
651.00	0.93422
652.00	0.91492
653.00	0.89316
654.00	0.86402
655.00	0.83489
656.00	0.80459
657.00	0.77292
658.00	0.74124
659.00	0.70987
660.00	0.67863
661.00	0.64740
662.00	0.61617
663.00	0.58223
664.00	0.54626
665.00	0.51029
666.00	0.47432
667.00	0.44571
668.00	0.41894
669.00	0.39218
670.00	0.36541
671.00	0.33864
672.00	0.31198
673.00	0.28547
674.00	0.25897
675.00	0.23246
676.00	0.20955
677.00	0.19120
678.00	0.17285
679.00	0.15450
680.00	0.13927
681.00	0.12716
682.00	0.11506
683.00	0.10369
684.00	0.094922
685.00	0.086153
686.00	0.077384
687.00	0.070308
688.00	0.064315
689.00	0.058322
690.00	0.052329
691.00	0.047134
692.00	0.042708
693.00	0.038282
694.00	0.033855
695.00	0.029912
696.00	0.027498
697.00	0.025085
698.00	0.022672
699.00	0.020258
700.00	0.017845
701.00	0.015630
702.00	0.014385
703.00	0.013139
704.00	0.011894
705.00	0.010648
706.00	0.0094026
707.00	0.0082436
708.00	0.0078638
709.00	0.0074840
710.00	0.0071042
711.00	0.0067244
712.00	0.0063446
713.00	0.0059648
714.00	0.0055850
715.00	0.0052052
716.00	0.0050348
717.00	0.0048878
718.00	0.0047407
719.00	0.0045937
720.00	0.0044466
721.00	0.0042995
722.00	0.0041525
723.00	0.0040054
724.00	0.0038583
725.00	0.0037113
726.00	0.0035642
727.00	0.0034172
728.00	0.0032701
729.00	0.0031230
730.00	0.0029760
731.00	0.0028818
732.00	0.0027899
733.00	0.0026980
734.00	0.0026061
735.00	0.0025141
736.00	0.0024222
737.00	0.0023303
738.00	0.0022384
739.00	0.0021464
740.00	0.0020545
741.00	0.0019660
742.00	0.0018775
743.00	0.0017890
744.00	0.0017005
745.00	0.0016120
746.00	0.0015235
747.00	0.0014350
748.00	0.0013465
749.00	0.0012580
750.00	0.0011931
751.00	0.0011921
752.00	0.0011911
753.00	0.0011901
754.00	0.0011891
755.00	0.0011881
756.00	0.0011871
757.00	0.0011861
758.00	0.0011851
759.00	0.0011841
760.00	0.0011831
761.00	0.0011821
762.00	0.0011811
763.00	0.0011811
764.00	0.0011811
765.00	0.0011811
766.00	0.0011811
767.00	0.0011811
768.00	0.0011811
769.00	0.0011811
770.00	0.0011811
771.00	0.0011811
772.00	0.0011811
773.00	0.0011811
774.00	0.0011811
775.00	0.0011811
776.00	0.0011811
777.00	0.0011811
778.00	0.0011811
779.00	0.0011811
780.00	0.0011811
781.00	0.0011811
782.00	0.0011811
783.00	0.0011811
784.00	0.0011811
785.00	0.0011811
786.00	0.0011811
787.00	0.0011811
788.00	0.0011811
789.00	0.0011811
790.00	0.0011811
791.00	0.0011811
792.00	0.0011811
793.00	0.0011811
794.00	0.0011811
795.00	0.0011811
796.00	0.0011811
797.00	0.0011811
798.00	0.0011811
799.00	0.0011811
800.00	0.0011811
