Wavelength (nm)	Q05 abs e
437.00	4519.4
437.25	4984.6
437.50	4264.1
437.75	4387.2
438.00	5153.4
438.25	4633.5
438.50	4524.0
438.75	4473.8
439.00	3552.6
439.25	5454.4
439.50	3420.4
439.75	4537.7
440.00	4651.7
440.25	3502.5
440.50	4533.1
440.75	4113.6
441.00	3876.4
441.25	2864.0
441.50	4391.8
441.75	4469.3
442.00	3566.3
442.25	4378.1
442.50	4624.3
442.75	3716.8
443.00	3862.7
443.25	4140.9
443.50	3730.5
443.75	4036.0
444.00	3862.7
444.25	3976.7
444.50	3279.0
444.75	4460.2
445.00	5098.6
445.25	2982.6
445.50	2964.3
445.75	4104.4
446.00	3306.4
446.25	4031.5
446.50	3557.2
446.75	3999.6
447.00	2275.7
447.25	4104.4
447.50	4191.1
447.75	3548.1
448.00	4131.8
448.25	3320.0
448.50	3963.1
448.75	3041.8
449.00	3817.1
449.25	3279.0
449.50	3721.4
449.75	3000.8
450.00	3543.5
450.25	3256.2
450.50	3903.8
450.75	4369.0
451.00	3890.1
451.25	3206.0
451.50	2695.3
451.75	2708.9
452.00	2832.1
452.25	4241.3
452.50	2818.4
452.75	3415.8
453.00	4318.8
453.25	3310.9
453.50	2891.4
453.75	3196.9
454.00	2394.3
454.25	2818.4
454.50	3466.0
454.75	3123.9
455.00	3835.4
455.25	3671.2
455.50	3151.3
455.75	3393.0
456.00	2540.2
456.25	4063.4
456.50	2604.0
456.75	2476.3
457.00	3219.7
457.25	3438.6
457.50	3538.9
457.75	3119.4
458.00	3497.9
458.25	3662.1
458.50	3420.4
458.75	3237.9
459.00	3406.7
459.25	3169.5
459.50	2490.0
459.75	3630.2
460.00	3858.2
460.25	3374.8
460.50	3265.3
460.75	2841.2
461.00	4565.1
461.25	3849.1
461.50	2932.4
461.75	3256.2
462.00	3557.2
462.25	2485.5
462.50	3301.8
462.75	3342.8
463.00	2955.2
463.25	2777.3
463.50	3479.7
463.75	3069.2
464.00	3101.1
464.25	3548.1
464.50	3447.7
464.75	2672.4
465.00	3671.2
465.25	3589.1
465.50	3023.6
465.75	3935.7
466.00	3228.8
466.25	2950.6
466.50	3128.5
466.75	3666.6
467.00	3315.5
467.25	2850.3
467.50	3456.9
467.75	3142.2
468.00	2056.8
468.25	3165.0
468.50	3689.4
468.75	3142.2
469.00	3406.7
469.25	2873.1
469.50	2544.8
469.75	3301.8
470.00	3561.7
470.25	4218.5
470.50	3538.9
470.75	3365.6
471.00	3388.4
471.25	3361.1
471.50	3548.1
471.75	2622.3
472.00	3625.6
472.25	3301.8
472.50	3511.6
472.75	3511.6
473.00	2740.9
473.25	3999.6
473.50	3812.6
473.75	3890.1
474.00	2371.5
474.25	3060.1
474.50	3347.4
474.75	3383.9
475.00	3274.4
475.25	3055.5
475.50	3183.2
475.75	4036.0
476.00	3174.1
476.25	2677.0
476.50	2745.4
476.75	2955.2
477.00	3753.3
477.25	3812.6
477.50	3174.1
477.75	3151.3
478.00	2900.5
478.25	2886.8
478.50	3114.8
478.75	2421.6
479.00	3365.6
479.25	3821.7
479.50	3315.5
479.75	2859.4
480.00	3051.0
480.25	3315.5
480.50	2202.7
480.75	3529.8
481.00	3748.7
481.25	4232.1
481.50	2672.4
481.75	3119.4
482.00	3575.4
482.25	2791.0
482.50	3306.4
482.75	3306.4
483.00	3123.9
483.25	2959.8
483.50	3607.4
483.75	3087.5
484.00	2900.5
484.25	3269.9
484.50	3990.4
484.75	3301.8
485.00	3274.4
485.25	3643.8
485.50	3165.0
485.75	3146.7
486.00	3274.4
486.25	3456.9
486.50	3493.3
486.75	3926.6
487.00	3890.1
487.25	3078.3
487.50	3028.2
487.75	3698.6
488.00	3493.3
488.25	2800.1
488.50	2435.3
488.75	2490.0
489.00	3201.5
489.25	4077.1
489.50	3744.2
489.75	4013.2
490.00	3767.0
490.25	2631.4
490.50	4223.0
490.75	3611.9
491.00	2891.4
491.25	3187.8
491.50	3224.3
491.75	3643.8
492.00	3780.6
492.25	3110.3
492.50	3552.6
492.75	3739.6
493.00	3703.1
493.25	3187.8
493.50	3721.4
493.75	3753.3
494.00	3684.9
494.25	3940.3
494.50	3361.1
494.75	3119.4
495.00	3821.7
495.25	3028.2
495.50	3037.3
495.75	2877.7
496.00	3630.2
496.25	3716.8
496.50	3844.5
496.75	2786.5
497.00	3995.0
497.25	4514.9
497.50	3839.9
497.75	3844.5
498.00	3958.5
498.25	3785.2
498.50	3862.7
498.75	4341.6
499.00	3046.4
499.25	2864.0
499.50	2608.6
499.75	3981.3
500.00	3023.6
500.25	4026.9
500.50	4907.1
500.75	3890.1
501.00	3858.2
501.25	3812.6
501.50	2526.5
501.75	3283.6
502.00	3055.5
502.25	3525.3
502.50	3839.9
502.75	4555.9
503.00	3666.6
503.25	3411.2
503.50	3584.5
503.75	2795.6
504.00	4300.5
504.25	3858.2
504.50	3739.6
504.75	3520.7
505.00	4555.9
505.25	3762.4
505.50	4615.2
505.75	4095.3
506.00	4036.0
506.25	3589.1
506.50	3602.8
506.75	3639.3
507.00	3475.1
507.25	3881.0
507.50	4291.4
507.75	3721.4
508.00	3972.2
508.25	3064.7
508.50	4369.0
508.75	3648.4
509.00	3780.6
509.25	3826.3
509.50	3479.7
509.75	3529.8
510.00	3881.0
510.25	3434.1
510.50	3771.5
510.75	4505.8
511.00	3602.8
511.25	3798.9
511.50	3497.9
511.75	3192.3
512.00	4040.6
512.25	3721.4
512.50	4396.3
512.75	2722.6
513.00	4150.0
513.25	4049.7
513.50	3424.9
513.75	3995.0
514.00	2640.5
514.25	3365.6
514.50	3776.1
514.75	3183.2
515.00	3849.1
515.25	3160.4
515.50	4428.2
515.75	3233.4
516.00	3306.4
516.25	3133.1
516.50	4081.6
516.75	3903.8
517.00	2905.0
517.25	2914.2
517.50	3598.2
517.75	3388.4
518.00	2832.1
518.25	3274.4
518.50	3333.7
518.75	3753.3
519.00	3092.0
519.25	2581.2
519.50	3753.3
519.75	4163.7
520.00	3748.7
520.25	3871.9
520.50	4793.1
520.75	4127.2
521.00	3744.2
521.25	3712.2
521.50	3912.9
521.75	4834.1
522.00	3497.9
522.25	4847.8
522.50	3735.0
522.75	4578.7
523.00	4756.6
523.25	4236.7
523.50	4765.7
523.75	4341.6
524.00	4154.6
524.25	4615.2
524.50	3365.6
524.75	4829.6
525.00	4254.9
525.25	4492.1
525.50	4724.7
525.75	4154.6
526.00	5130.6
526.25	5185.3
526.50	4519.4
526.75	5632.2
527.00	4615.2
527.25	5828.3
527.50	6252.4
527.75	5814.6
528.00	5837.4
528.25	5878.5
528.50	6138.4
528.75	5969.7
529.00	6799.7
529.25	6129.3
529.50	6890.9
529.75	7570.4
530.00	6653.8
530.25	6425.7
530.50	7301.4
530.75	7575.0
531.00	7415.4
531.25	8204.3
531.50	8035.6
531.75	8104.0
532.00	8655.8
532.25	8455.2
532.50	9868.9
532.75	9750.3
533.00	9257.8
533.25	9485.8
533.50	9572.5
533.75	10425
534.00	10717
534.25	10726
534.50	11844
534.75	11438
535.00	11100
535.25	12181
535.50	12108
535.75	12131
536.00	12614
536.25	12696
536.50	12883
536.75	13636
537.00	13107
537.25	13982
537.50	13745
537.75	14033
538.00	14516
538.25	14397
538.50	13704
538.75	15428
539.00	15246
539.25	14986
539.50	15738
539.75	15446
540.00	15720
540.25	15793
540.50	16267
540.75	16614
541.00	17403
541.25	17959
541.50	17175
541.75	17517
542.00	18050
542.25	17635
542.50	17781
542.75	18465
543.00	18146
543.25	19036
543.50	18561
543.75	18251
544.00	18693
544.25	18689
544.50	19428
544.75	18867
545.00	18620
545.25	18283
545.50	19396
545.75	17672
546.00	17813
546.25	17672
546.50	18247
546.75	17339
547.00	17918
547.25	17695
547.50	17271
547.75	17243
548.00	16979
548.25	15766
548.50	15743
548.75	15278
549.00	15953
549.25	15109
549.50	14343
549.75	14124
550.00	13704
550.25	12938
550.50	12655
550.75	13098
551.00	12304
551.25	12035
551.50	10612
551.75	10653
552.00	10494
552.25	10772
552.50	10703
552.75	9896.3
553.00	9809.6
553.25	9723.0
553.50	9745.8
553.75	9586.2
554.00	9025.2
554.25	9732.1
554.50	8655.8
554.75	9130.1
555.00	8664.9
555.25	8564.6
555.50	9353.6
555.75	7866.9
556.00	8642.1
556.25	8099.4
556.50	8117.7
556.75	7606.9
557.00	7698.1
557.25	6941.1
557.50	7187.3
557.75	6325.4
558.00	7365.2
558.25	6384.7
558.50	6133.9
558.75	7429.0
559.00	6690.2
559.25	7260.3
559.50	5878.5
559.75	6754.1
560.00	5732.5
560.25	6361.9
560.50	6106.5
560.75	5399.6
561.00	4920.8
561.25	5750.8
561.50	5354.0
561.75	5012.0
562.00	4966.4
562.25	4738.4
562.50	6252.4
562.75	4400.9
563.00	4961.8
563.25	4875.2
563.50	4706.4
563.75	4300.5
564.00	4455.6
564.25	5130.6
564.50	4318.8
564.75	3999.6
565.00	5445.2
565.25	4638.0
565.50	4546.8
565.75	3096.6
566.00	4765.7
566.25	4140.9
566.50	4574.2
566.75	4829.6
567.00	5527.3
567.25	4022.4
567.50	4761.2
567.75	4774.8
568.00	5030.2
568.25	5819.2
568.50	4893.4
568.75	4898.0
569.00	5618.5
569.25	4752.0
569.50	5504.5
569.75	5171.6
570.00	6083.7
570.25	5905.8
570.50	5946.9
570.75	6512.4
571.00	6101.9
571.25	4879.7
571.50	6092.8
571.75	6425.7
572.00	6206.8
572.25	7178.2
572.50	7506.6
572.75	6968.4
573.00	7260.3
573.25	8222.6
573.50	7926.1
573.75	7789.3
574.00	7917.0
574.25	9513.2
574.50	8728.8
574.75	9403.7
575.00	9422.0
575.25	9964.7
575.50	10977
575.75	10758
576.00	11844
576.25	11830
576.50	13093
576.75	13695
577.00	13613
577.25	15227
577.50	15036
577.75	15757
578.00	16340
578.25	17576
578.50	17275
578.75	17572
579.00	18912
579.25	17590
579.50	19615
579.75	19492
580.00	19793
580.25	19683
580.50	18967
580.75	20477
581.00	20235
581.25	19492
581.50	20440
581.75	19099
582.00	19624
582.25	18242
582.50	18320
582.75	17695
583.00	17330
583.25	16454
583.50	16450
583.75	16431
584.00	14963
584.25	14667
584.50	12861
584.75	12592
585.00	12696
585.25	10959
585.50	10849
585.75	10252
586.00	9654.6
586.25	9121.0
586.50	8359.4
586.75	8354.8
587.00	6936.5
587.25	7816.7
587.50	6703.9
587.75	6225.1
588.00	5883.0
588.25	5846.6
