Wavelength (nm)	Angew 2016_15760, Z1-Me (Tol) abs [Z]
428.00	0.98637
429.00	0.96803
430.00	0.94323
431.00	0.91222
432.00	0.87508
433.00	0.83332
434.00	0.79156
435.00	0.75027
436.00	0.70909
437.00	0.66791
438.00	0.62673
439.00	0.58918
440.00	0.55349
441.00	0.51780
442.00	0.48211
443.00	0.44881
444.00	0.42308
445.00	0.39734
446.00	0.37160
447.00	0.34940
448.00	0.33319
449.00	0.31699
450.00	0.30079
451.00	0.28911
452.00	0.28196
453.00	0.27481
454.00	0.26765
455.00	0.26050
456.00	0.25335
457.00	0.24619
458.00	0.23904
459.00	0.23189
460.00	0.22493
461.00	0.21977
462.00	0.21461
463.00	0.20944
464.00	0.20428
465.00	0.19911
466.00	0.19395
467.00	0.18879
468.00	0.18362
469.00	0.17846
470.00	0.17360
471.00	0.16888
472.00	0.16415
473.00	0.15943
474.00	0.15470
475.00	0.14997
476.00	0.14525
477.00	0.14052
478.00	0.13580
479.00	0.13107
480.00	0.12650
481.00	0.12198
482.00	0.11747
483.00	0.11295
484.00	0.10843
485.00	0.10391
486.00	0.099397
487.00	0.094880
488.00	0.090362
489.00	0.086388
490.00	0.083423
491.00	0.080458
492.00	0.077492
493.00	0.074527
494.00	0.071562
495.00	0.068596
496.00	0.065631
497.00	0.062666
498.00	0.059700
499.00	0.056774
500.00	0.054132
501.00	0.051489
502.00	0.048847
503.00	0.046205
504.00	0.043562
505.00	0.040920
506.00	0.038278
507.00	0.035635
508.00	0.032993
509.00	0.030513
510.00	0.028823
511.00	0.027133
512.00	0.025443
513.00	0.023753
514.00	0.022063
515.00	0.020373
516.00	0.018683
517.00	0.018130
518.00	0.017588
519.00	0.017047
520.00	0.016505
521.00	0.015964
522.00	0.015422
523.00	0.014881
524.00	0.014450
525.00	0.014122
526.00	0.013794
527.00	0.013465
528.00	0.013137
529.00	0.012809
530.00	0.012481
531.00	0.012152
532.00	0.011824
533.00	0.011496
534.00	0.011167
535.00	0.010861
536.00	0.010562
537.00	0.010264
538.00	0.0099649
539.00	0.0096662
540.00	0.0093675
541.00	0.0090688
542.00	0.0087701
543.00	0.0084714
544.00	0.0081727
545.00	0.0078740
546.00	0.0075753
547.00	0.0072767
548.00	0.0069677
549.00	0.0066177
550.00	0.0062676
551.00	0.0059176
552.00	0.0055676
553.00	0.0052176
554.00	0.0048676
555.00	0.0045175
556.00	0.0041675
557.00	0.0038175
558.00	0.0034675
559.00	0.0031174
560.00	0.0027674
561.00	0.0024741
562.00	0.0024076
563.00	0.0023410
564.00	0.0022745
565.00	0.0022080
566.00	0.0021415
567.00	0.0020749
568.00	0.0020084
569.00	0.0019419
570.00	0.0018754
571.00	0.0018088
572.00	0.0017423
573.00	0.0016758
574.00	0.0016093
575.00	0.0015427
576.00	0.0014762
577.00	0.0014762
578.00	0.0014762
579.00	0.0014762
580.00	0.0014762
581.00	0.0014762
582.00	0.0014762
583.00	0.0014762
584.00	0.0014762
585.00	0.0014762
586.00	0.0014762
587.00	0.0014762
588.00	0.0014762
589.00	0.0014762
590.00	0.0014762
591.00	0.0014762
592.00	0.0014762
593.00	0.0014762
594.00	0.0014762
595.00	0.0014762
596.00	0.0014762
597.00	0.0014762
598.00	0.0014762
599.00	0.0014762
600.00	0.0014762
