Wavelength (nm)	19, Cj-PrB, CJPRB
663.00	0.0072693
664.00	0.0059551
665.00	0.0059844
666.00	0.0060136
667.00	0.0059423
668.00	0.0058710
669.00	0.0057559
670.00	0.0056407
671.00	0.0054141
672.00	0.0051874
673.00	0.0053464
674.00	0.0055055
675.00	0.0053720
676.00	0.0052386
677.00	0.0050832
678.00	0.0049279
679.00	0.0048785
680.00	0.0048292
681.00	0.0048456
682.00	0.0048621
683.00	0.0045824
684.00	0.0043027
685.00	0.0040578
686.00	0.0038129
687.00	0.0037781
688.00	0.0037434
689.00	0.0038385
690.00	0.0039335
691.00	0.0038293
692.00	0.0037251
693.00	0.0036228
694.00	0.0035204
695.00	0.0034272
696.00	0.0033340
697.00	0.0032005
698.00	0.0030671
699.00	0.0031073
700.00	0.0031475
