Wavelength (nm)	13, (Z)-Ep-PxB-3, ZEPPXB3, F
392.00	0.80517
393.00	0.82028
394.00	0.83540
395.00	0.85007
396.00	0.86474
397.00	0.87875
398.00	0.89277
399.00	0.90439
400.00	0.91600
401.00	0.92675
402.00	0.93749
403.00	0.94742
404.00	0.95735
405.00	0.96474
406.00	0.97212
407.00	0.97810
408.00	0.98407
409.00	0.98848
410.00	0.99288
411.00	0.99559
412.00	0.99829
413.00	0.99914
414.00	1.00000
415.00	0.99757
416.00	0.99515
417.00	0.99100
418.00	0.98685
419.00	0.97911
420.00	0.97136
421.00	0.96228
422.00	0.95320
423.00	0.94099
424.00	0.92878
425.00	0.91146
426.00	0.89413
427.00	0.87380
428.00	0.85347
429.00	0.83187
430.00	0.81027
431.00	0.78681
432.00	0.76334
433.00	0.73627
434.00	0.70920
435.00	0.68050
436.00	0.65179
437.00	0.62330
438.00	0.59481
439.00	0.56386
440.00	0.53292
441.00	0.50473
442.00	0.47654
443.00	0.44919
444.00	0.42185
445.00	0.39610
446.00	0.37036
447.00	0.34521
448.00	0.32006
449.00	0.29694
450.00	0.27382
451.00	0.25343
452.00	0.23304
453.00	0.21392
454.00	0.19481
455.00	0.17806
456.00	0.16130
457.00	0.14675
458.00	0.13220
459.00	0.12055
460.00	0.10889
461.00	0.098716
462.00	0.088537
463.00	0.079389
464.00	0.070241
465.00	0.063498
466.00	0.056755
467.00	0.051441
468.00	0.046128
469.00	0.041599
470.00	0.037071
471.00	0.032968
472.00	0.028866
473.00	0.025785
474.00	0.022703
475.00	0.020448
476.00	0.018192
477.00	0.016450
478.00	0.014707
479.00	0.013288
480.00	0.011870
481.00	0.010782
482.00	0.0096942
483.00	0.0082979
484.00	0.0069017
485.00	0.0063853
486.00	0.0058689
487.00	0.0057774
488.00	0.0056858
489.00	0.0055152
490.00	0.0053447
491.00	0.0050948
492.00	0.0048450
493.00	0.0044935
494.00	0.0041420
495.00	0.0039296
496.00	0.0037172
497.00	0.0035504
498.00	0.0033836
499.00	0.0032823
500.00	0.0031809
501.00	0.0030623
502.00	0.0029437
503.00	0.0028958
504.00	0.0028480
505.00	0.0028704
506.00	0.0028927
507.00	0.0028606
508.00	0.0028285
509.00	0.0028131
510.00	0.0027977
511.00	0.0027310
512.00	0.0026642
513.00	0.0026724
514.00	0.0026806
515.00	0.0026699
516.00	0.0026592
517.00	0.0026479
518.00	0.0026366
519.00	0.0026063
520.00	0.0025761
521.00	0.0025856
522.00	0.0025950
523.00	0.0025938
524.00	0.0025925
525.00	0.0025648
526.00	0.0025371
527.00	0.0024742
528.00	0.0024112
529.00	0.0023961
530.00	0.0023810
531.00	0.0023316
532.00	0.0022822
533.00	0.0021947
534.00	0.0021073
535.00	0.0021189
536.00	0.0021306
537.00	0.0020830
538.00	0.0020355
539.00	0.0020018
540.00	0.0019682
541.00	0.0019405
542.00	0.0019128
543.00	0.0018813
544.00	0.0018499
545.00	0.0018272
546.00	0.0018045
547.00	0.0017992
548.00	0.0017938
549.00	0.0017866
550.00	0.0017794
