Wavelength (nm)	N08 abs e
381.25	301.61
381.50	242.05
381.75	234.22
382.00	52.183
382.25	255.82
382.50	384.15
382.75	362.62
383.00	230.03
383.25	149.17
383.50	289.67
383.75	277.27
384.00	80.785
384.25	285.18
384.50	245.40
384.75	284.73
385.00	215.27
385.25	187.66
385.50	72.570
385.75	137.00
386.00	224.25
386.25	51.346
386.50	246.61
386.75	288.22
387.00	427.20
387.25	352.43
387.50	241.14
387.75	154.19
388.00	224.71
388.25	51.803
388.50	380.95
388.75	181.42
389.00	369.09
389.25	222.81
389.50	296.36
389.75	248.97
390.00	117.15
390.25	25.635
390.50	385.97
390.75	339.34
391.00	435.72
391.25	233.91
391.50	283.89
391.75	267.69
392.00	94.782
392.25	105.20
392.50	388.71
392.75	274.38
393.00	141.03
393.25	283.05
393.50	541.46
393.75	207.29
394.00	452.00
394.25	425.91
394.50	265.94
394.75	439.91
395.00	206.91
395.25	434.12
395.50	261.22
395.75	375.09
396.00	159.59
396.25	619.58
396.50	565.34
396.75	406.13
397.00	696.48
397.25	468.05
397.50	355.24
397.75	545.18
398.00	446.83
398.25	358.36
398.50	486.69
398.75	425.60
399.00	776.81
399.25	493.61
399.50	636.39
399.75	522.82
400.00	409.25
400.25	381.64
400.50	515.29
400.75	273.16
401.00	568.84
401.25	421.80
401.50	420.81
401.75	706.60
402.00	402.10
402.25	474.90
402.50	497.49
402.75	618.97
403.00	638.52
403.25	464.86
403.50	589.38
403.75	577.74
404.00	595.01
404.25	504.26
404.50	570.21
404.75	684.09
405.00	546.93
405.25	635.71
405.50	464.32
405.75	599.50
406.00	603.07
406.25	652.29
406.50	629.24
406.75	613.04
407.00	572.49
407.25	729.73
407.50	712.00
407.75	611.36
408.00	613.42
408.25	601.02
408.50	748.36
408.75	620.34
409.00	656.62
409.25	658.68
409.50	791.57
409.75	833.94
410.00	747.75
410.25	904.23
410.50	878.90
410.75	754.68
411.00	418.23
411.25	830.29
411.50	773.01
411.75	794.08
412.00	906.43
412.25	685.61
412.50	817.74
412.75	672.98
413.00	759.47
413.25	956.26
413.50	748.36
413.75	906.36
414.00	858.21
414.25	949.26
414.50	792.33
414.75	913.81
415.00	958.47
415.25	756.65
415.50	1056.9
415.75	856.61
416.00	1015.4
416.25	910.92
416.50	954.05
416.75	962.19
417.00	918.61
417.25	951.09
417.50	909.02
417.75	887.49
418.00	1134.5
418.25	981.36
418.50	865.51
418.75	963.41
419.00	952.53
419.25	1126.5
419.50	912.52
419.75	971.62
420.00	1134.2
420.25	1191.0
420.50	1132.2
420.75	1033.8
421.00	1077.0
421.25	1126.2
421.50	1054.5
421.75	994.90
422.00	815.91
422.25	1060.6
422.50	861.86
422.75	1025.9
423.00	1031.8
423.25	1208.0
423.50	1041.2
423.75	933.74
424.00	1027.8
424.25	1064.1
424.50	1103.5
424.75	939.68
425.00	1048.2
425.25	895.10
425.50	944.32
425.75	1193.6
426.00	878.44
426.25	1009.1
426.50	971.55
426.75	912.75
427.00	1002.3
427.25	986.08
427.50	1123.5
427.75	1160.6
428.00	998.33
428.25	892.36
428.50	944.62
428.75	1073.7
429.00	880.27
429.25	882.32
429.50	1028.9
429.75	1220.4
430.00	1178.3
430.25	881.41
430.50	1145.9
430.75	1151.8
431.00	1070.9
431.25	1049.4
431.50	986.76
431.75	987.30
432.00	1100.4
432.25	844.59
432.50	1116.7
432.75	1065.5
433.00	908.56
433.25	969.95
433.50	974.29
433.75	1154.3
434.00	938.84
434.25	1050.4
434.50	779.40
434.75	970.10
435.00	919.67
435.25	916.40
435.50	798.26
435.75	1199.7
436.00	995.59
436.25	974.82
436.50	940.36
436.75	1239.8
437.00	961.96
437.25	976.19
