Wavelength (nm)	Toly B+C (2017)
707.00	0.0022238
708.00	0.0021795
709.00	0.0017602
710.00	0.0019293
711.00	0.0018694
712.00	0.0014829
713.00	0.0016683
714.00	0.0015526
715.00	0.0012439
716.00	0.0012552
717.00	0.0013521
718.00	0.00098555
719.00	0.0010297
720.00	0.0010119
721.00	0.00094862
722.00	0.0013521
723.00	0.0014835
724.00	0.0016593
725.00	0.00088332
726.00	0.00049488
727.00	0.00062337
728.00	0.00059888
729.00	0.0010223
730.00	0.0013452
731.00	0.00036580
732.00	0.00054834
733.00	0.0011175
734.00	0.00056903
735.00	0.00078383
736.00	0.00079239
737.00	0.00057747
738.00	0.00072875
739.00	0.00023024
740.00	0.00037478
741.00	0.00055063
742.00	0.00019800
743.00	0.0011644
744.00	0.00074526
745.00	0.0012939
746.00	0.00091317
747.00	0.00094364
748.00	0.00089915
749.00	0.00050829
750.00	0.00010126
751.00	-0.00015613
752.00	4.9976e-05
753.00	0.0010753
754.00	7.6807e-06
755.00	0.0012175
756.00	0.00081606
757.00	6.4257e-05
758.00	0.0011129
759.00	0.00053847
760.00	0.00013231
761.00	0.00025109
762.00	0.00065572
763.00	0.00095246
764.00	0.00041596
765.00	0.0010086
766.00	0.0012858
767.00	0.00063830
768.00	-0.00022092
769.00	0.00019389
770.00	0.00019068
771.00	0.00022028
772.00	-1.4757e-05
773.00	-0.00021552
774.00	2.2989e-05
775.00	-0.00014653
776.00	0.00014429
777.00	0.00043715
778.00	0.00042245
779.00	0.00051991
780.00	0.00018647
781.00	-0.00030314
782.00	0.00045174
783.00	0.00042003
784.00	-0.00053807
785.00	0.00061137
786.00	0.00094022
787.00	8.3011e-05
788.00	-0.00026078
789.00	0.00013735
790.00	0.0010274
791.00	0.00042809
792.00	0.0011246
793.00	-5.6797e-05
794.00	-0.00034865
795.00	-0.00015087
796.00	0.0013065
797.00	0.00088836
798.00	0.00033538
799.00	0.00033710
800.00	0.00018490
