Wavelength (nm)	EtioP I (in 1-propanol).abs
453.00	0.016574
454.00	0.016264
455.00	0.013667
456.00	0.013046
457.00	0.016273
458.00	0.017410
459.00	0.019177
460.00	0.016583
461.00	0.015707
462.00	0.016152
463.00	0.016574
464.00	0.021402
465.00	0.023051
466.00	0.022921
467.00	0.022242
468.00	0.022930
469.00	0.021680
470.00	0.018687
471.00	0.018359
472.00	0.021411
473.00	0.023393
474.00	0.022781
475.00	0.025330
476.00	0.024925
477.00	0.026781
478.00	0.026669
479.00	0.028341
480.00	0.030741
481.00	0.033555
482.00	0.037348
483.00	0.042175
484.00	0.044355
485.00	0.056328
486.00	0.043150
487.00	0.051016
488.00	0.059456
489.00	0.061551
490.00	0.067564
491.00	0.069821
492.00	0.073052
493.00	0.076423
494.00	0.079542
495.00	0.083214
496.00	0.088437
497.00	0.086724
498.00	0.085807
499.00	0.082998
500.00	0.080621
501.00	0.080005
502.00	0.078908
503.00	0.076320
504.00	0.069982
505.00	0.065861
506.00	0.059061
507.00	0.054773
508.00	0.049586
509.00	0.044193
510.00	0.039370
511.00	0.035586
512.00	0.032364
513.00	0.029226
514.00	0.027438
515.00	0.025240
516.00	0.024898
517.00	0.025127
518.00	0.026274
519.00	0.028575
520.00	0.031240
521.00	0.034889
522.00	0.037195
523.00	0.043074
524.00	0.047348
525.00	0.050584
526.00	0.056130
527.00	0.059519
528.00	0.062634
529.00	0.063110
530.00	0.063582
531.00	0.063964
532.00	0.062850
533.00	0.062355
534.00	0.059335
535.00	0.055501
536.00	0.049200
537.00	0.044081
538.00	0.039550
539.00	0.034094
540.00	0.030642
541.00	0.026458
542.00	0.023865
543.00	0.022566
544.00	0.020193
545.00	0.020485
546.00	0.018570
547.00	0.019590
548.00	0.019914
549.00	0.018282
550.00	0.018458
551.00	0.018831
552.00	0.019653
553.00	0.020628
554.00	0.020575
555.00	0.023029
556.00	0.023626
557.00	0.025865
558.00	0.027114
559.00	0.029056
560.00	0.033006
561.00	0.035833
562.00	0.038696
563.00	0.042108
564.00	0.045173
565.00	0.045568
566.00	0.045460
567.00	0.045640
568.00	0.045254
569.00	0.045753
570.00	0.042575
571.00	0.043420
572.00	0.046571
573.00	0.043789
574.00	0.041294
575.00	0.043932
576.00	0.043222
577.00	0.036957
578.00	0.038040
579.00	0.035645
580.00	0.035343
581.00	0.034098
582.00	0.030930
583.00	0.020858
584.00	0.025145
585.00	0.024651
586.00	0.021882
587.00	0.019127
588.00	0.019649
589.00	0.019662
590.00	0.018121
591.00	0.019433
592.00	0.022579
593.00	0.024350
594.00	0.022022
595.00	0.020219
596.00	0.018058
597.00	0.018822
598.00	0.021568
599.00	0.023249
600.00	0.020031
601.00	0.020682
602.00	0.017703
603.00	0.016696
604.00	0.018561
605.00	0.020516
606.00	0.020840
607.00	0.022143
608.00	0.024143
609.00	0.023114
610.00	0.026417
611.00	0.027312
612.00	0.027581
613.00	0.029164
614.00	0.031905
615.00	0.035231
616.00	0.039550
617.00	0.040391
618.00	0.039977
619.00	0.039991
620.00	0.040490
621.00	0.038206
622.00	0.036710
623.00	0.033438
624.00	0.029883
625.00	0.025204
626.00	0.018921
627.00	0.014808
628.00	0.013442
629.00	0.012538
630.00	0.011496
631.00	0.0097653
632.00	0.0078732
633.00	0.0093159
634.00	0.0089428
635.00	0.0080889
636.00	0.0071675
637.00	0.0071226
638.00	0.0085608
639.00	0.0077338
640.00	0.0068574
641.00	0.0071001
642.00	0.0068214
643.00	0.0065428
644.00	0.0074866
645.00	0.0073922
646.00	0.0049113
647.00	0.0026820
648.00	0.0029921
649.00	0.0042236
650.00	0.0043720
651.00	0.0047854
652.00	0.0052529
653.00	0.0065428
654.00	0.0033583
655.00	0.0024023
656.00	0.0043338
657.00	0.0034302
658.00	0.0025831
659.00	0.0029607
660.00	0.0023180
661.00	0.0017696
662.00	0.0019771
663.00	0.0019951
664.00	0.0020932
665.00	0.0021337
666.00	0.0013517
667.00	0.0012663
668.00	0.0016213
669.00	0.0026685
670.00	0.0024483
671.00	0.0030641
672.00	0.0033068
673.00	0.0030596
674.00	0.0031539
675.00	0.0031854
676.00	0.0031584
677.00	0.0030506
678.00	0.0021697
679.00	0.0030281
680.00	0.0036394
681.00	0.0027180
682.00	0.0030820
683.00	0.0029652
684.00	0.0036438
685.00	0.0043899
686.00	0.0049742
687.00	0.0043225
688.00	0.0043315
689.00	0.0042101
690.00	0.0045293
691.00	0.0052933
692.00	0.0056484
693.00	0.0054192
694.00	0.0035135
695.00	0.0030955
696.00	0.0018820
697.00	0.0011045
698.00	0.0024273
699.00	0.0021216
700.00	0.0011334
