Wavelength (nm)	Pd(II) UroP I (in DMSO).abs
479.00	0.033737
480.00	0.033963
481.00	0.033918
482.00	0.034286
483.00	0.034380
484.00	0.034391
485.00	0.034208
486.00	0.033996
487.00	0.035531
488.00	0.037497
489.00	0.036565
490.00	0.036827
491.00	0.037696
492.00	0.038887
493.00	0.039953
494.00	0.041356
495.00	0.043206
496.00	0.045073
497.00	0.047866
498.00	0.051153
499.00	0.054593
500.00	0.058226
501.00	0.062166
502.00	0.065997
503.00	0.070579
504.00	0.074673
505.00	0.078180
506.00	0.081472
507.00	0.083688
508.00	0.085810
509.00	0.087861
510.00	0.089394
511.00	0.090791
512.00	0.091188
513.00	0.090514
514.00	0.088188
515.00	0.084396
516.00	0.078659
517.00	0.072307
518.00	0.065696
519.00	0.059395
520.00	0.054095
521.00	0.049976
522.00	0.046700
523.00	0.044301
524.00	0.042779
525.00	0.041937
526.00	0.041470
527.00	0.041318
528.00	0.041722
529.00	0.042078
530.00	0.043347
531.00	0.045156
532.00	0.047308
533.00	0.050100
534.00	0.053362
535.00	0.057355
536.00	0.062300
537.00	0.068920
538.00	0.078221
539.00	0.090764
540.00	0.10725
541.00	0.12748
542.00	0.14914
543.00	0.17013
544.00	0.18797
545.00	0.19945
546.00	0.20218
547.00	0.19529
548.00	0.17915
549.00	0.15660
550.00	0.13055
551.00	0.10506
552.00	0.082973
553.00	0.064688
554.00	0.051227
555.00	0.040804
556.00	0.033350
557.00	0.028044
558.00	0.024273
559.00	0.021473
560.00	0.019407
561.00	0.018089
562.00	0.017002
563.00	0.016367
564.00	0.016036
565.00	0.015824
566.00	0.015822
567.00	0.015721
568.00	0.015522
569.00	0.015129
570.00	0.014737
571.00	0.014409
572.00	0.014271
573.00	0.013941
574.00	0.013349
575.00	0.013225
576.00	0.012967
577.00	0.012372
578.00	0.011999
579.00	0.012036
580.00	0.011311
581.00	0.010834
582.00	0.010278
583.00	0.010472
584.00	0.0099524
585.00	0.0089354
586.00	0.0089036
587.00	0.0086766
588.00	0.0082674
589.00	0.0082977
590.00	0.0081016
591.00	0.0078634
592.00	0.0077349
593.00	0.0074396
594.00	0.0075026
595.00	0.0075251
596.00	0.0074000
597.00	0.0072765
598.00	0.0071453
599.00	0.0068457
600.00	0.0068734
601.00	0.0067646
602.00	0.0067163
603.00	0.0065030
604.00	0.0064496
605.00	0.0064927
606.00	0.0062657
607.00	0.0061768
608.00	0.0061363
609.00	0.0061622
610.00	0.0058756
611.00	0.0059437
612.00	0.0058997
613.00	0.0058220
614.00	0.0057194
615.00	0.0057098
616.00	0.0056408
617.00	0.0056166
618.00	0.0056399
619.00	0.0060249
620.00	0.0059265
621.00	0.0058798
622.00	0.0060318
623.00	0.0059583
624.00	0.0060525
625.00	0.0057279
626.00	0.0052721
627.00	0.0048829
628.00	0.0045342
629.00	0.0045047
630.00	0.0041096
631.00	0.0040404
632.00	0.0038221
633.00	0.0036451
634.00	0.0036805
635.00	0.0035708
636.00	0.0033603
637.00	0.0033542
638.00	0.0034872
639.00	0.0033232
640.00	0.0032609
641.00	0.0028880
642.00	0.0030623
643.00	0.0028708
644.00	0.0033007
645.00	0.0033610
646.00	0.0032263
647.00	0.0031746
648.00	0.0032187
649.00	0.0031306
650.00	0.0027068
651.00	0.0027034
652.00	0.0025410
653.00	0.0024487
654.00	0.0023236
655.00	0.0023529
656.00	0.0021723
657.00	0.0021723
658.00	0.0021482
659.00	0.0022295
660.00	0.0019999
661.00	0.0019473
662.00	0.0018151
663.00	0.0019109
664.00	0.0017806
665.00	0.0017210
666.00	0.0016693
667.00	0.0016572
668.00	0.0015864
669.00	0.0014552
670.00	0.0013801
671.00	0.0012765
672.00	0.0012696
673.00	0.0011729
674.00	0.0012057
675.00	0.0011350
676.00	0.0010547
677.00	0.0010236
678.00	0.0010529
679.00	0.00098994
680.00	0.00092951
681.00	0.00071889
682.00	0.00075948
683.00	0.00069301
684.00	0.00081903
685.00	0.00059373
686.00	0.00070423
687.00	0.00067574
688.00	0.00051347
689.00	0.00053246
690.00	0.00052900
691.00	0.00035636
692.00	0.00023984
693.00	0.00024242
694.00	0.00028558
695.00	0.00015870
696.00	0.00022861
697.00	0.00010518
698.00	1.4545e-05
699.00	6.9739e-05
700.00	5.3083e-05
