Wavelength (nm)	CoproP I (0.1 M PPB).abs
451.00	0.025400
452.00	0.024370
453.00	0.024307
454.00	0.023612
455.00	0.023187
456.00	0.022554
457.00	0.022436
458.00	0.021845
459.00	0.020781
460.00	0.021476
461.00	0.022346
462.00	0.022088
463.00	0.022255
464.00	0.021288
465.00	0.021469
466.00	0.021768
467.00	0.023640
468.00	0.022770
469.00	0.022867
470.00	0.024356
471.00	0.023667
472.00	0.023779
473.00	0.024572
474.00	0.025358
475.00	0.025247
476.00	0.026443
477.00	0.027591
478.00	0.027396
479.00	0.028189
480.00	0.029448
481.00	0.030255
482.00	0.030325
483.00	0.031716
484.00	0.032231
485.00	0.031911
486.00	0.031368
487.00	0.032761
488.00	0.034287
489.00	0.039556
490.00	0.041455
491.00	0.044008
492.00	0.046275
493.00	0.049893
494.00	0.052752
495.00	0.056132
496.00	0.059631
497.00	0.062379
498.00	0.065120
499.00	0.065962
500.00	0.066588
501.00	0.066636
502.00	0.065572
503.00	0.066024
504.00	0.064828
505.00	0.063708
506.00	0.061934
507.00	0.059624
508.00	0.056891
509.00	0.054073
510.00	0.050616
511.00	0.047882
512.00	0.044557
513.00	0.042651
514.00	0.040307
515.00	0.037921
516.00	0.036070
517.00	0.035368
518.00	0.033267
519.00	0.032662
520.00	0.032272
521.00	0.032425
522.00	0.031799
523.00	0.032064
524.00	0.032015
525.00	0.032885
526.00	0.033344
527.00	0.033747
528.00	0.035834
529.00	0.037413
530.00	0.039549
531.00	0.043820
532.00	0.046039
533.00	0.048647
534.00	0.050651
535.00	0.052237
536.00	0.053774
537.00	0.054032
538.00	0.052995
539.00	0.051138
540.00	0.049190
541.00	0.045893
542.00	0.042387
543.00	0.040293
544.00	0.038130
545.00	0.035938
546.00	0.035187
547.00	0.034881
548.00	0.034151
549.00	0.035437
550.00	0.036328
551.00	0.037010
552.00	0.038373
553.00	0.039973
554.00	0.040731
555.00	0.041677
556.00	0.042331
557.00	0.043020
558.00	0.042686
559.00	0.042881
560.00	0.042269
561.00	0.041698
562.00	0.041295
563.00	0.040585
564.00	0.039883
565.00	0.039006
566.00	0.037622
567.00	0.036147
568.00	0.034498
569.00	0.032989
570.00	0.031382
571.00	0.030081
572.00	0.029323
573.00	0.027925
574.00	0.025497
575.00	0.025302
576.00	0.023883
577.00	0.022158
578.00	0.020739
579.00	0.021059
580.00	0.019459
581.00	0.017351
582.00	0.016739
583.00	0.018527
584.00	0.016655
585.00	0.013956
586.00	0.014934
587.00	0.014292
588.00	0.013037
589.00	0.014204
590.00	0.012308
591.00	0.012031
592.00	0.011885
593.00	0.010951
594.00	0.012162
595.00	0.012322
596.00	0.012920
597.00	0.013358
598.00	0.013562
599.00	0.013052
600.00	0.014729
601.00	0.015517
602.00	0.016607
603.00	0.017462
604.00	0.018958
605.00	0.019459
606.00	0.019654
607.00	0.020113
608.00	0.020586
609.00	0.020690
610.00	0.020301
611.00	0.019605
612.00	0.018819
613.00	0.017901
614.00	0.016767
615.00	0.015984
616.00	0.014642
617.00	0.014379
618.00	0.012366
619.00	0.013125
620.00	0.011462
621.00	0.010178
622.00	0.0097402
623.00	0.0098423
624.00	0.0097985
625.00	0.0092588
626.00	0.0089962
627.00	0.0083835
628.00	0.0065307
629.00	0.0059034
630.00	0.0054512
631.00	0.0050719
632.00	0.0044154
633.00	0.0037006
634.00	0.0045613
635.00	0.0040361
636.00	0.0025758
637.00	0.0027217
638.00	0.0028122
639.00	0.0022636
640.00	0.0017895
641.00	0.0016932
642.00	0.00098278
643.00	0.00060057
644.00	0.0024650
645.00	0.0023977
646.00	0.0024429
647.00	0.0024108
648.00	0.0023014
649.00	0.0021547
650.00	0.0014978
651.00	0.0010324
652.00	0.0010528
653.00	0.0013314
654.00	0.0010805
655.00	0.0017691
656.00	0.0018423
657.00	0.0018054
658.00	0.0016487
659.00	0.0013934
660.00	0.00067059
661.00	0.00051012
662.00	0.0010601
663.00	0.00089963
664.00	0.00077417
665.00	0.00081648
666.00	0.00070415
667.00	0.00067059
668.00	0.00048240
669.00	0.00072603
670.00	0.00073186
671.00	0.00056556
672.00	0.00031464
673.00	0.00097549
674.00	0.00014103
675.00	0.00043280
676.00	0.00023148
677.00	0.00049553
678.00	0.00023878
679.00	0.00045468
680.00	0.00021835
681.00	0.00025920
682.00	0.00046198
683.00	9.2892e-05
684.00	0.00024607
685.00	0.00043280
686.00	0.00046198
687.00	0.00033652
688.00	0.00035694
689.00	0.00030151
690.00	0.00049553
691.00	8.5597e-05
692.00	7.1009e-05
693.00	0.00028108
694.00	0.00021835
695.00	0.00028692
696.00	0.00039925
697.00	0.00046781
698.00	0.00022419
699.00	0.00026649
700.00	0.00039195
