Wavelength (nm)	9, (Z)-Ep-PxB-1, ZEPPXB1, F
384.00	0.41890
385.00	0.42440
386.00	0.42989
387.00	0.43577
388.00	0.44166
389.00	0.44728
390.00	0.45290
391.00	0.45811
392.00	0.46333
393.00	0.46826
394.00	0.47320
395.00	0.47841
396.00	0.48361
397.00	0.48751
398.00	0.49141
399.00	0.49531
400.00	0.49922
401.00	0.50227
402.00	0.50533
403.00	0.50785
404.00	0.51037
405.00	0.51277
406.00	0.51517
407.00	0.51623
408.00	0.51729
409.00	0.51809
410.00	0.51889
411.00	0.51859
412.00	0.51829
413.00	0.51735
414.00	0.51640
415.00	0.51504
416.00	0.51367
417.00	0.51004
418.00	0.50640
419.00	0.50161
420.00	0.49683
421.00	0.49134
422.00	0.48585
423.00	0.47993
424.00	0.47402
425.00	0.46556
426.00	0.45711
427.00	0.44709
428.00	0.43707
429.00	0.42715
430.00	0.41722
431.00	0.40650
432.00	0.39579
433.00	0.38367
434.00	0.37156
435.00	0.35813
436.00	0.34470
437.00	0.33174
438.00	0.31877
439.00	0.30440
440.00	0.29002
441.00	0.27649
442.00	0.26295
443.00	0.25010
444.00	0.23725
445.00	0.22518
446.00	0.21311
447.00	0.20116
448.00	0.18921
449.00	0.17821
450.00	0.16720
451.00	0.15716
452.00	0.14711
453.00	0.13755
454.00	0.12798
455.00	0.11914
456.00	0.11029
457.00	0.10259
458.00	0.094878
459.00	0.088608
460.00	0.082338
461.00	0.077113
462.00	0.071888
463.00	0.066335
464.00	0.060782
465.00	0.057292
466.00	0.053802
467.00	0.050667
468.00	0.047532
469.00	0.045681
470.00	0.043830
471.00	0.040777
472.00	0.037724
473.00	0.035229
474.00	0.032734
475.00	0.030924
476.00	0.029115
477.00	0.028025
478.00	0.026936
479.00	0.025485
480.00	0.024034
481.00	0.023275
482.00	0.022517
483.00	0.019459
484.00	0.016401
485.00	0.016211
486.00	0.016021
487.00	0.017074
488.00	0.018127
489.00	0.018866
490.00	0.019605
491.00	0.019392
492.00	0.019179
493.00	0.018031
494.00	0.016882
495.00	0.016615
496.00	0.016348
497.00	0.016063
498.00	0.015778
499.00	0.015764
500.00	0.015749
501.00	0.015608
502.00	0.015467
503.00	0.015323
504.00	0.015179
505.00	0.015359
506.00	0.015539
507.00	0.015634
508.00	0.015729
509.00	0.015703
510.00	0.015677
511.00	0.015626
512.00	0.015575
513.00	0.015647
514.00	0.015719
515.00	0.015945
516.00	0.016172
517.00	0.015864
518.00	0.015556
519.00	0.015759
520.00	0.015962
521.00	0.016126
522.00	0.016289
523.00	0.016075
524.00	0.015860
525.00	0.015837
526.00	0.015814
527.00	0.015515
528.00	0.015215
529.00	0.015086
530.00	0.014956
531.00	0.014827
532.00	0.014697
533.00	0.014227
534.00	0.013757
535.00	0.013849
536.00	0.013941
537.00	0.013418
538.00	0.012896
539.00	0.012901
540.00	0.012905
541.00	0.012547
542.00	0.012188
543.00	0.012144
544.00	0.012100
545.00	0.011880
546.00	0.011661
547.00	0.011477
548.00	0.011294
549.00	0.011253
550.00	0.011212
551.00	0.011040
552.00	0.010868
553.00	0.010763
554.00	0.010658
555.00	0.010550
556.00	0.010442
557.00	0.010386
558.00	0.010331
559.00	0.010021
560.00	0.0097115
561.00	0.0095297
562.00	0.0093479
563.00	0.0092840
564.00	0.0092201
565.00	0.0087484
566.00	0.0082767
567.00	0.0069614
568.00	0.0056461
569.00	0.0045569
570.00	0.0034677
571.00	0.0027224
572.00	0.0019771
573.00	0.0016774
574.00	0.0013777
575.00	0.00063403
576.00	0.0010960
577.00	0.0010459
578.00	0.0010652
579.00	0.00084996
580.00	0.0017377
581.00	0.00089908
582.00	0.0012426
583.00	0.0010352
584.00	0.0013644
585.00	0.0017541
586.00	0.0010721
587.00	0.0010353
588.00	0.0016856
589.00	0.0022179
590.00	0.0027502
591.00	0.0020623
592.00	0.0013744
593.00	0.0011860
594.00	0.00099765
595.00	0.0013023
596.00	0.0016070
597.00	0.0012974
598.00	0.00098782
599.00	0.00075523
600.00	0.00052265
