Wavelength (nm)	Angew 2016_15760, Z1-Me (CHCl3) ems [Z]
616.00	0.84895
617.00	0.85770
618.00	0.86646
619.00	0.87390
620.00	0.88104
621.00	0.88818
622.00	0.89532
623.00	0.90246
624.00	0.90960
625.00	0.91599
626.00	0.92132
627.00	0.92665
628.00	0.93148
629.00	0.93605
630.00	0.94062
631.00	0.94519
632.00	0.94829
633.00	0.95076
634.00	0.95324
635.00	0.95571
636.00	0.95818
637.00	0.96660
638.00	0.97631
639.00	0.97688
640.00	0.97335
641.00	0.97199
642.00	0.97713
643.00	0.98228
644.00	0.98743
645.00	0.98284
646.00	0.98262
647.00	0.99131
648.00	1.0000
649.00	0.98931
650.00	0.97862
651.00	0.97097
652.00	0.96634
653.00	0.96171
654.00	0.95705
655.00	0.95227
656.00	0.94750
657.00	0.94272
658.00	0.93824
659.00	0.93513
660.00	0.93202
661.00	0.92918
662.00	0.92810
663.00	0.92703
664.00	0.92595
665.00	0.92487
666.00	0.92380
667.00	0.92272
668.00	0.91989
669.00	0.91640
670.00	0.91292
671.00	0.90943
672.00	0.90561
673.00	0.90168
674.00	0.89776
675.00	0.89383
676.00	0.88991
677.00	0.88673
678.00	0.88547
679.00	0.88421
680.00	0.88296
681.00	0.88170
682.00	0.88044
683.00	0.87199
684.00	0.86175
685.00	0.85267
686.00	0.84569
687.00	0.83870
688.00	0.83171
689.00	0.82472
690.00	0.81664
691.00	0.80356
692.00	0.79049
693.00	0.78500
694.00	0.78218
695.00	0.77935
696.00	0.77653
697.00	0.77249
698.00	0.76708
699.00	0.76168
700.00	0.75553
701.00	0.74393
702.00	0.73234
703.00	0.72232
704.00	0.71500
705.00	0.70768
706.00	0.70036
707.00	0.69444
708.00	0.68907
709.00	0.68370
710.00	0.67645
711.00	0.66827
712.00	0.66009
713.00	0.64769
714.00	0.63497
715.00	0.62226
716.00	0.61554
717.00	0.60963
718.00	0.60373
719.00	0.59935
720.00	0.59636
721.00	0.59337
722.00	0.59039
723.00	0.58740
724.00	0.58238
725.00	0.54571
726.00	0.53161
727.00	0.52114
728.00	0.51957
729.00	0.51800
730.00	0.51642
731.00	0.51485
732.00	0.51328
733.00	0.50745
734.00	0.50062
735.00	0.49379
736.00	0.48639
737.00	0.47579
738.00	0.46519
739.00	0.45520
740.00	0.44544
741.00	0.43569
742.00	0.42203
743.00	0.40826
744.00	0.40074
745.00	0.39879
746.00	0.39683
747.00	0.39487
748.00	0.42127
749.00	0.43113
750.00	0.42058
751.00	0.41003
752.00	0.37086
753.00	0.36432
754.00	0.35499
755.00	0.34567
756.00	0.33905
757.00	0.33396
758.00	0.32888
759.00	0.32315
760.00	0.31697
761.00	0.31079
762.00	0.31005
763.00	0.32649
764.00	0.28649
765.00	0.27280
766.00	0.25910
767.00	0.26368
768.00	0.26883
769.00	0.27397
770.00	0.25114
771.00	0.24907
772.00	0.24700
773.00	0.24493
774.00	0.24286
775.00	0.24232
776.00	0.24232
777.00	0.22729
778.00	0.21377
779.00	0.20501
780.00	0.19625
781.00	0.22059
782.00	0.22558
783.00	0.21683
784.00	0.20808
785.00	0.19729
786.00	0.18316
787.00	0.17907
788.00	0.18319
789.00	0.18730
790.00	0.18184
791.00	0.16181
792.00	0.15831
793.00	0.15482
794.00	0.15133
795.00	0.14783
796.00	0.14970
797.00	0.15928
798.00	0.16885
799.00	0.17843
800.00	0.18801
