Wavelength (nm)	Angew 2016_15760, Z1-Me (CHCl3) abs [Z]
371.00	0.20333
372.00	0.21094
373.00	0.21855
374.00	0.22714
375.00	0.23697
376.00	0.24681
377.00	0.25664
378.00	0.26656
379.00	0.27912
380.00	0.29169
381.00	0.30426
382.00	0.31683
383.00	0.33016
384.00	0.34559
385.00	0.36102
386.00	0.37644
387.00	0.39187
388.00	0.40730
389.00	0.42569
390.00	0.44417
391.00	0.46265
392.00	0.48113
393.00	0.49961
394.00	0.51809
395.00	0.53657
396.00	0.55561
397.00	0.57554
398.00	0.59546
399.00	0.61539
400.00	0.63532
401.00	0.65524
402.00	0.67517
403.00	0.69363
404.00	0.71186
405.00	0.73009
406.00	0.74832
407.00	0.76654
408.00	0.78628
409.00	0.80837
410.00	0.83046
411.00	0.85256
412.00	0.87332
413.00	0.89388
414.00	0.91444
415.00	0.93397
416.00	0.94809
417.00	0.96221
418.00	0.97633
419.00	0.98994
420.00	0.99653
421.00	0.99826
422.00	1.0000
423.00	0.99673
424.00	0.99253
425.00	0.98375
426.00	0.96468
427.00	0.93815
428.00	0.91163
429.00	0.87561
430.00	0.83888
431.00	0.80282
432.00	0.76755
433.00	0.73228
434.00	0.69656
435.00	0.65720
436.00	0.61785
437.00	0.58411
438.00	0.55353
439.00	0.52296
440.00	0.49853
441.00	0.47757
442.00	0.45661
443.00	0.43342
444.00	0.41023
445.00	0.39401
446.00	0.38078
447.00	0.36754
448.00	0.35431
449.00	0.34187
450.00	0.32960
451.00	0.31733
452.00	0.30525
453.00	0.29327
454.00	0.28130
455.00	0.27267
456.00	0.26477
457.00	0.25687
458.00	0.24898
459.00	0.24143
460.00	0.23412
461.00	0.22681
462.00	0.21951
463.00	0.21222
464.00	0.20496
465.00	0.19771
466.00	0.19045
467.00	0.18444
468.00	0.17911
469.00	0.17377
470.00	0.16844
471.00	0.16312
472.00	0.15802
473.00	0.15291
474.00	0.14781
475.00	0.14270
476.00	0.13760
477.00	0.13250
478.00	0.12740
479.00	0.12229
480.00	0.11719
481.00	0.11209
482.00	0.10707
483.00	0.10264
484.00	0.098216
485.00	0.093786
486.00	0.089357
487.00	0.084928
488.00	0.081906
489.00	0.079153
490.00	0.076399
491.00	0.073646
492.00	0.070892
493.00	0.068139
494.00	0.065385
495.00	0.062893
496.00	0.060412
497.00	0.057931
498.00	0.055450
499.00	0.052969
500.00	0.050487
501.00	0.048006
502.00	0.045525
503.00	0.043250
504.00	0.041411
505.00	0.039572
506.00	0.037733
507.00	0.035894
508.00	0.034055
509.00	0.032216
510.00	0.030377
511.00	0.029130
512.00	0.028102
513.00	0.027074
514.00	0.026046
515.00	0.025018
516.00	0.023990
517.00	0.022962
518.00	0.021934
519.00	0.021396
520.00	0.020873
521.00	0.020349
522.00	0.019826
523.00	0.019303
524.00	0.018780
525.00	0.018257
526.00	0.017734
527.00	0.017211
528.00	0.016641
529.00	0.016013
530.00	0.015384
531.00	0.014756
532.00	0.014127
533.00	0.013498
534.00	0.012870
535.00	0.012241
536.00	0.011773
537.00	0.011459
538.00	0.011145
539.00	0.010831
540.00	0.010517
541.00	0.010204
542.00	0.0098897
543.00	0.0095758
544.00	0.0092620
545.00	0.0089481
546.00	0.0089418
547.00	0.0089418
548.00	0.0089418
549.00	0.0089418
550.00	0.0089418
551.00	0.0089418
552.00	0.0089418
553.00	0.0089418
554.00	0.0089418
555.00	0.0089418
556.00	0.0089418
557.00	0.0088953
558.00	0.0087586
559.00	0.0086219
560.00	0.0084852
561.00	0.0083485
562.00	0.0082118
563.00	0.0080751
564.00	0.0079384
565.00	0.0078017
566.00	0.0076650
567.00	0.0075283
568.00	0.0073826
569.00	0.0072233
570.00	0.0070640
571.00	0.0069048
572.00	0.0067455
573.00	0.0065862
574.00	0.0064269
575.00	0.0062677
576.00	0.0061084
577.00	0.0059491
578.00	0.0057899
579.00	0.0056306
580.00	0.0054713
581.00	0.0053850
582.00	0.0053086
583.00	0.0052322
584.00	0.0051558
585.00	0.0050794
586.00	0.0050031
587.00	0.0049267
588.00	0.0048503
589.00	0.0047739
590.00	0.0046975
591.00	0.0046211
592.00	0.0045448
593.00	0.0044684
594.00	0.0043920
595.00	0.0043156
596.00	0.0042392
597.00	0.0041628
598.00	0.0040865
599.00	0.0040101
600.00	0.0039537
601.00	0.0039441
602.00	0.0039346
603.00	0.0039250
604.00	0.0039154
605.00	0.0039058
606.00	0.0038963
607.00	0.0038867
608.00	0.0038771
609.00	0.0038675
610.00	0.0038579
611.00	0.0038484
612.00	0.0038388
613.00	0.0038292
614.00	0.0038196
615.00	0.0038100
616.00	0.0038005
617.00	0.0037909
618.00	0.0037813
619.00	0.0037717
620.00	0.0037621
621.00	0.0037526
622.00	0.0037430
623.00	0.0037334
624.00	0.0037238
625.00	0.0037142
626.00	0.0037047
627.00	0.0036951
628.00	0.0036855
629.00	0.0036759
630.00	0.0036664
631.00	0.0036568
632.00	0.0036472
633.00	0.0036376
634.00	0.0036280
635.00	0.0036185
636.00	0.0036089
637.00	0.0035993
638.00	0.0035897
639.00	0.0035801
640.00	0.0035706
641.00	0.0035610
642.00	0.0035514
643.00	0.0035418
644.00	0.0035322
645.00	0.0035227
646.00	0.0035131
647.00	0.0035035
648.00	0.0034939
649.00	0.0034843
650.00	0.0034748
651.00	0.0034652
652.00	0.0034581
653.00	0.0034581
654.00	0.0034581
655.00	0.0034581
656.00	0.0034581
657.00	0.0034581
658.00	0.0034581
659.00	0.0034581
660.00	0.0034581
661.00	0.0034581
662.00	0.0034581
663.00	0.0034581
664.00	0.0034581
665.00	0.0034581
666.00	0.0034581
667.00	0.0034581
668.00	0.0034581
669.00	0.0034581
670.00	0.0034581
671.00	0.0034581
672.00	0.0034581
673.00	0.0034581
674.00	0.0034581
675.00	0.0034581
676.00	0.0034581
677.00	0.0034581
678.00	0.0034581
679.00	0.0034581
680.00	0.0034581
681.00	0.0034581
682.00	0.0034581
683.00	0.0034581
684.00	0.0034581
685.00	0.0034581
686.00	0.0034581
687.00	0.0034581
688.00	0.0034581
689.00	0.0034581
690.00	0.0034581
691.00	0.0034581
692.00	0.0034581
693.00	0.0034581
694.00	0.0034581
695.00	0.0034581
696.00	0.0034581
697.00	0.0034581
698.00	0.0034581
699.00	0.0034581
700.00	0.0034581
