Wavelength (nm)	Toly E (2017)
451.00	0.0025723
452.00	0.0029533
453.00	0.0030492
454.00	0.0031745
455.00	0.0037145
456.00	0.0041485
457.00	0.0042851
458.00	0.0047094
459.00	0.0053317
460.00	0.0059673
461.00	0.0061143
462.00	0.0067258
463.00	0.0075173
464.00	0.0082324
465.00	0.0088243
466.00	0.0096841
467.00	0.010404
468.00	0.011470
469.00	0.012274
470.00	0.013384
471.00	0.014087
472.00	0.015021
473.00	0.016067
474.00	0.016881
475.00	0.017823
476.00	0.018460
477.00	0.019107
478.00	0.019495
479.00	0.019882
480.00	0.020043
481.00	0.020377
482.00	0.020302
483.00	0.020247
484.00	0.020299
485.00	0.019812
486.00	0.019803
487.00	0.019575
488.00	0.019495
489.00	0.019825
490.00	0.020198
491.00	0.021062
492.00	0.021537
493.00	0.022013
494.00	0.023339
495.00	0.024954
496.00	0.026329
497.00	0.027817
498.00	0.029080
499.00	0.030456
500.00	0.031733
501.00	0.032785
502.00	0.033958
503.00	0.034227
504.00	0.034103
505.00	0.034071
506.00	0.033503
507.00	0.032939
508.00	0.031910
509.00	0.030682
510.00	0.029458
511.00	0.027973
512.00	0.026477
513.00	0.024652
514.00	0.023203
515.00	0.021693
516.00	0.020506
517.00	0.018973
518.00	0.017778
519.00	0.016636
520.00	0.015631
521.00	0.014612
522.00	0.013966
523.00	0.013253
524.00	0.012892
525.00	0.012515
526.00	0.012646
527.00	0.012277
528.00	0.012785
529.00	0.013117
530.00	0.013316
531.00	0.014339
532.00	0.015614
533.00	0.016612
534.00	0.018097
535.00	0.019209
536.00	0.020975
537.00	0.022891
538.00	0.024143
539.00	0.025905
540.00	0.027170
541.00	0.028594
542.00	0.029645
543.00	0.030631
544.00	0.031298
545.00	0.031786
546.00	0.032227
547.00	0.032166
548.00	0.031765
549.00	0.031233
550.00	0.030707
551.00	0.030026
552.00	0.029080
553.00	0.027927
554.00	0.026371
555.00	0.024743
556.00	0.023169
557.00	0.021497
558.00	0.020277
559.00	0.019063
560.00	0.017445
561.00	0.016432
562.00	0.015376
563.00	0.014642
564.00	0.014126
565.00	0.013350
566.00	0.012861
567.00	0.012677
568.00	0.012697
569.00	0.012759
570.00	0.012525
571.00	0.012246
572.00	0.011241
573.00	0.010902
574.00	0.010814
575.00	0.010300
576.00	0.010516
577.00	0.0098042
578.00	0.0092870
579.00	0.0088627
580.00	0.0085019
581.00	0.0076561
582.00	0.0073399
583.00	0.0069092
584.00	0.0069821
585.00	0.0067692
586.00	0.0072324
587.00	0.0075915
588.00	0.0068920
589.00	0.0070441
590.00	0.0070228
591.00	0.0065586
592.00	0.0067387
593.00	0.0057994
594.00	0.0061242
595.00	0.0059394
596.00	0.0059401
597.00	0.0062261
598.00	0.0059497
599.00	0.0065332
600.00	0.0055326
601.00	0.0063225
602.00	0.0062978
603.00	0.0064758
604.00	0.0062059
605.00	0.0066294
606.00	0.0072160
607.00	0.0079879
608.00	0.0089712
609.00	0.010429
610.00	0.012344
611.00	0.014541
612.00	0.018129
613.00	0.022200
614.00	0.025235
615.00	0.027528
616.00	0.028050
617.00	0.027476
618.00	0.027096
619.00	0.027257
620.00	0.027446
621.00	0.028878
622.00	0.028666
623.00	0.029330
624.00	0.028786
625.00	0.027521
626.00	0.026644
627.00	0.025827
628.00	0.024575
629.00	0.023617
630.00	0.022472
631.00	0.021171
632.00	0.019711
633.00	0.019240
634.00	0.017503
635.00	0.017543
636.00	0.017162
637.00	0.017320
638.00	0.017902
639.00	0.017692
640.00	0.019080
641.00	0.020972
642.00	0.023714
643.00	0.026336
644.00	0.029646
645.00	0.032843
646.00	0.034330
647.00	0.034289
648.00	0.032843
649.00	0.031662
650.00	0.027885
651.00	0.024948
652.00	0.023078
653.00	0.020903
654.00	0.019512
655.00	0.019029
656.00	0.018759
657.00	0.019153
658.00	0.018995
659.00	0.019277
660.00	0.020348
661.00	0.021272
662.00	0.022624
663.00	0.023794
664.00	0.026269
665.00	0.029296
666.00	0.033417
667.00	0.037622
668.00	0.042692
669.00	0.050889
670.00	0.060522
671.00	0.075552
672.00	0.098820
673.00	0.13121
674.00	0.17608
675.00	0.23311
676.00	0.30354
677.00	0.37400
678.00	0.44199
679.00	0.47853
680.00	0.46672
681.00	0.43007
682.00	0.37548
683.00	0.32010
684.00	0.26278
685.00	0.21222
686.00	0.17482
687.00	0.14180
688.00	0.11530
689.00	0.095881
690.00	0.080286
691.00	0.066404
692.00	0.056090
693.00	0.045367
694.00	0.036541
695.00	0.030012
696.00	0.024526
697.00	0.019511
698.00	0.016820
699.00	0.013877
700.00	0.011851
701.00	0.0097151
702.00	0.0085857
703.00	0.0070863
704.00	0.0065135
705.00	0.0061845
706.00	0.0054846
707.00	0.0052509
708.00	0.0051547
709.00	0.0044096
710.00	0.0042467
711.00	0.0042260
712.00	0.0032643
713.00	0.0036371
714.00	0.0032422
715.00	0.0032974
716.00	0.0029806
717.00	0.0025843
718.00	0.0021294
719.00	0.0020820
720.00	0.0015472
721.00	0.0017088
722.00	0.0023692
723.00	0.0021241
724.00	0.0020273
725.00	0.0018899
726.00	0.0014570
727.00	0.00066951
728.00	0.00081928
729.00	0.0015595
730.00	0.0015308
731.00	0.0010753
732.00	0.00065921
733.00	0.00055562
734.00	0.0011540
735.00	0.0014411
736.00	0.0013564
737.00	0.0014359
738.00	0.00050671
739.00	0.00085861
740.00	-0.00038987
741.00	0.00056328
742.00	-0.00010308
743.00	0.00088758
744.00	0.0012830
745.00	0.0015974
746.00	0.0010085
747.00	0.00094460
748.00	0.0014197
749.00	0.00062168
750.00	0.0010123
751.00	0.00079869
752.00	0.00069331
753.00	0.0011424
754.00	0.00088479
755.00	0.0011131
756.00	2.2167e-05
757.00	0.00038553
758.00	0.0013173
759.00	0.00088552
760.00	-0.00045719
761.00	0.00036631
762.00	0.00093219
763.00	0.0024450
764.00	0.00075480
765.00	0.00082218
766.00	0.0012556
767.00	0.00097262
768.00	0.00021806
769.00	-0.00047464
770.00	0.00053333
771.00	0.0010872
772.00	-0.00040812
773.00	-0.00069634
774.00	-2.2962e-05
775.00	0.00020040
776.00	0.00037569
777.00	0.0014431
778.00	0.00025848
779.00	0.00050380
780.00	-0.00032155
781.00	-0.00027951
782.00	0.00080267
783.00	5.4102e-06
784.00	-0.00051698
785.00	0.00070377
786.00	0.00042452
787.00	0.00085578
788.00	4.5451e-05
789.00	0.0011839
790.00	0.00082928
791.00	0.0016522
792.00	0.0011253
793.00	0.00045926
794.00	0.00055901
795.00	-0.00018069
796.00	0.0027929
797.00	0.0014699
798.00	0.0011477
799.00	0.00078456
800.00	0.00038723
