Wavelength (nm)	M03 abs e
433.00	5366.8
434.00	5632.5
435.00	5914.6
436.00	6204.6
437.00	6499.7
438.00	6819.3
439.00	7150.2
440.00	7490.3
441.00	7859.6
442.00	8209.0
443.00	8575.2
444.00	8949.1
445.00	9344.4
446.00	9746.0
447.00	10135
448.00	10528
449.00	10942
450.00	11371
451.00	11784
452.00	12201
453.00	12622
454.00	13063
455.00	13501
456.00	13950
457.00	14439
458.00	14918
459.00	15408
460.00	15917
461.00	16456
462.00	17005
463.00	17585
464.00	18209
465.00	18810
466.00	19398
467.00	20014
468.00	20672
469.00	21291
470.00	21945
471.00	22612
472.00	23239
473.00	23874
474.00	24454
475.00	25065
476.00	25639
477.00	26156
478.00	26667
479.00	27155
480.00	27645
481.00	28104
482.00	28552
483.00	28945
484.00	29330
485.00	29818
486.00	30272
487.00	30578
488.00	31065
489.00	31536
490.00	32014
491.00	32584
492.00	33118
493.00	33653
494.00	34243
495.00	34762
496.00	35421
497.00	35990
498.00	36561
499.00	37117
500.00	37709
501.00	38250
502.00	38666
503.00	38999
504.00	39356
505.00	39626
506.00	39879
507.00	40000
508.00	39982
509.00	39987
510.00	39817
511.00	39604
512.00	39339
513.00	39026
514.00	38649
515.00	38220
516.00	37719
517.00	37303
518.00	36897
519.00	36368
520.00	35953
521.00	35564
522.00	35178
523.00	34830
524.00	34520
525.00	34240
526.00	34016
527.00	33843
528.00	33644
529.00	33455
530.00	33331
531.00	33182
532.00	33087
533.00	32886
534.00	32709
535.00	32420
536.00	32166
537.00	31784
538.00	31359
539.00	30818
540.00	30206
541.00	29523
542.00	28724
543.00	27843
544.00	26834
545.00	25769
546.00	24621
547.00	23412
548.00	22175
549.00	20895
550.00	19576
551.00	18243
552.00	16901
553.00	15585
554.00	14313
555.00	13058
556.00	11846
557.00	10719
558.00	9658.9
559.00	8628.3
560.00	7667.6
561.00	6813.4
562.00	6027.4
563.00	5298.2
564.00	4630.1
565.00	4046.2
566.00	3524.2
567.00	3051.1
568.00	2630.0
569.00	2252.3
570.00	1943.9
571.00	1668.4
572.00	1427.5
573.00	1231.7
574.00	1031.3
575.00	892.64
576.00	767.98
577.00	644.08
578.00	543.42
579.00	479.13
580.00	398.07
581.00	334.24
582.00	287.46
583.00	266.59
584.00	222.66
585.00	175.25
586.00	164.41
587.00	143.53
588.00	119.68
589.00	107.99
590.00	91.857
591.00	78.006
592.00	66.399
593.00	55.360
594.00	53.192
595.00	50.181
596.00	44.961
597.00	37.654
598.00	32.515
599.00	25.369
600.00	20.872
601.00	22.277
602.00	24.124
603.00	21.233
604.00	14.769
605.00	13.043
606.00	14.127
607.00	11.598
608.00	2.0822
609.00	12.842
610.00	2.7647
611.00	7.5021
612.00	2.5639
613.00	7.0205
614.00	-1.1300
615.00	8.5862
616.00	5.9365
617.00	5.0132
618.00	-1.7724
619.00	-0.48751
620.00	-2.3344
621.00	3.4875
622.00	-0.44710
623.00	0.23534
624.00	0.39573
625.00	7.5425
626.00	7.2213
627.00	0.95776
628.00	-5.2250
629.00	0.79736
630.00	6.3381
631.00	7.0205
632.00	9.9111
633.00	7.4221
634.00	8.4658
635.00	11.678
636.00	8.3054
637.00	-2.3344
638.00	-6.5903
639.00	-6.2690
640.00	-4.3417
641.00	2.5239
642.00	-10.525
643.00	-1.8124
644.00	1.6806
645.00	8.3454
646.00	2.8851
647.00	-2.2940
648.00	-0.40710
649.00	3.9291
650.00	4.2504
651.00	6.6189
652.00	-3.9001
653.00	-0.24670
654.00	2.0018
655.00	14.809
656.00	0.87777
657.00	34.523
658.00	34.723
659.00	11.678
660.00	18.423
661.00	3.0055
662.00	4.4508
663.00	8.4658
664.00	13.524
665.00	8.1850
666.00	11.156
667.00	5.4144
668.00	2.0822
669.00	10.915
670.00	6.6593
671.00	3.8887
672.00	5.5348
673.00	2.8451
674.00	7.5021
675.00	9.7507
676.00	6.2977
677.00	8.0242
678.00	12.802
679.00	4.8924
680.00	9.8311
681.00	5.2540
682.00	7.6630
683.00	8.1046
684.00	7.3817
685.00	8.0642
686.00	12.842
687.00	7.3417
688.00	10.152
689.00	8.9878
690.00	10.072
691.00	12.682
692.00	12.882
693.00	12.440
694.00	8.7870
695.00	12.682
696.00	12.842
697.00	14.649
698.00	13.484
699.00	15.251
700.00	12.521
