Wavelength (nm)	Ni(II) UroP I (in DMSO).abs
673.00	0.0012402
674.00	0.0010258
675.00	0.00080974
676.00	0.00086149
677.00	0.00062735
678.00	0.00084508
679.00	0.00071854
680.00	0.00078017
681.00	0.00066186
682.00	0.00055917
683.00	0.00062571
684.00	0.00066351
685.00	0.00083849
686.00	0.00073662
687.00	0.00051398
688.00	0.00051562
689.00	0.00041293
690.00	0.00048113
691.00	0.00053781
692.00	0.00056903
693.00	0.00050905
694.00	0.00023876
695.00	0.00028230
696.00	0.00025274
697.00	0.00040637
698.00	0.00023630
699.00	0.00043235
700.00	0.00053970
