Wavelength (nm)	B01 abs N	B01 abs e
241.50	0.93021	14883
241.75	0.93832	15013
242.00	0.94207	15073
242.25	0.94599	15136
242.50	0.94917	15187
242.75	0.95668	15307
243.00	0.95869	15339
243.25	0.96336	15414
243.50	0.96854	15497
243.75	0.97257	15561
244.00	0.97706	15633
244.25	0.98083	15693
244.50	0.98565	15770
244.75	0.98587	15774
245.00	0.98804	15809
245.25	0.99276	15884
245.50	0.99609	15938
245.75	0.99250	15880
246.00	0.99616	15939
246.25	0.99652	15944
246.50	0.99714	15954
246.75	0.99645	15943
247.00	0.99786	15966
247.25	0.99894	15983
247.50	1.0000	16001
247.75	0.99458	15913
248.00	0.99768	15963
248.25	0.99341	15895
248.50	0.99310	15890
248.75	0.99117	15859
249.00	0.98844	15815
249.25	0.98538	15766
249.50	0.98188	15710
249.75	0.98106	15697
250.00	0.97467	15595
250.25	0.97162	15546
250.50	0.96910	15506
250.75	0.96520	15443
251.00	0.96161	15386
251.25	0.95468	15275
251.50	0.94912	15186
251.75	0.94564	15130
252.00	0.94107	15057
252.25	0.93147	14904
252.50	0.93134	14901
252.75	0.91953	14712
253.00	0.91419	14627
253.25	0.90911	14546
253.50	0.90211	14434
253.75	0.89458	14313
254.00	0.88497	14159
254.25	0.87923	14068
254.50	0.87402	13984
254.75	0.87046	13927
255.00	0.86476	13836
255.25	0.85748	13720
255.50	0.84619	13539
255.75	0.83929	13429
256.00	0.82778	13244
256.25	0.81959	13113
256.50	0.81491	13039
256.75	0.80226	12836
257.00	0.79225	12676
257.25	0.78115	12498
257.50	0.77147	12343
257.75	0.75897	12144
258.00	0.74804	11969
258.25	0.74059	11849
258.50	0.72938	11670
258.75	0.71671	11467
259.00	0.70817	11331
259.25	0.69667	11147
259.50	0.68619	10979
259.75	0.67401	10784
260.00	0.66285	10606
260.25	0.65297	10448
260.50	0.63986	10238
260.75	0.63002	10080
261.00	0.61943	9910.9
261.25	0.60757	9721.1
261.50	0.59696	9551.3
261.75	0.58714	9394.2
262.00	0.57436	9189.7
262.25	0.56419	9027.0
262.50	0.55457	8873.1
262.75	0.54476	8716.1
263.00	0.53371	8539.4
263.25	0.52345	8375.2
263.50	0.51300	8208.1
263.75	0.50598	8095.6
264.00	0.49406	7904.9
264.25	0.48330	7732.7
264.50	0.47361	7577.7
264.75	0.46349	7415.8
265.00	0.45390	7262.3
265.25	0.44443	7110.9
265.50	0.43417	6946.7
265.75	0.42713	6834.1
266.00	0.41976	6716.2
266.25	0.40894	6543.0
266.50	0.39986	6397.7
266.75	0.39147	6263.6
267.00	0.38184	6109.4
267.25	0.37410	5985.6
267.50	0.36703	5872.4
267.75	0.35968	5754.8
268.00	0.35146	5623.4
268.25	0.34391	5502.5
268.50	0.33433	5349.3
268.75	0.32788	5246.1
269.00	0.32115	5138.4
269.25	0.31261	5001.7
269.50	0.30507	4881.2
269.75	0.29982	4797.1
270.00	0.29192	4670.7
270.25	0.28539	4566.2
270.50	0.27895	4463.2
270.75	0.27108	4337.2
271.00	0.26472	4235.5
271.25	0.25861	4137.8
271.50	0.25028	4004.5
271.75	0.24341	3894.6
272.00	0.23813	3810.1
272.25	0.23030	3684.8
272.50	0.22401	3584.2
272.75	0.21997	3519.6
273.00	0.21273	3403.6
273.25	0.20518	3282.9
273.50	0.20110	3217.5
273.75	0.19315	3090.4
274.00	0.18798	3007.7
274.25	0.18090	2894.3
274.50	0.17511	2801.8
274.75	0.16847	2695.5
275.00	0.16400	2624.0
275.25	0.15603	2496.4
275.50	0.14923	2387.6
275.75	0.14115	2258.4
276.00	0.13720	2195.2
276.25	0.13131	2100.9
276.50	0.12699	2031.9
276.75	0.12364	1978.3
277.00	0.11963	1914.0
277.25	0.11549	1847.8
277.50	0.11206	1793.0
277.75	0.10557	1689.1
278.00	0.10132	1621.1
278.25	0.097710	1563.4
278.50	0.093775	1500.4
278.75	0.091673	1466.8
279.00	0.087159	1394.6
279.25	0.083103	1329.6
279.50	0.080795	1292.7
279.75	0.074404	1190.5
280.00	0.071723	1147.6
280.25	0.068136	1090.2
280.50	0.064921	1038.7
280.75	0.060395	966.32
281.00	0.058498	935.98
281.25	0.054808	876.93
281.50	0.050912	814.59
281.75	0.048951	783.22
282.00	0.044065	705.04
282.25	0.043146	690.33
282.50	0.039931	638.90
282.75	0.037732	603.72
283.00	0.037392	598.27
283.25	0.034653	554.45
283.50	0.031567	505.07
283.75	0.029452	471.23
284.00	0.027150	434.40
284.25	0.026076	417.22
284.50	0.025318	405.09
284.75	0.022810	364.97
285.00	0.022521	360.34
285.25	0.021428	342.85
285.50	0.020515	328.24
285.75	0.019056	304.89
286.00	0.016928	270.85
286.25	0.017249	275.99
286.50	0.016979	271.67
286.75	0.015353	245.64
287.00	0.013855	221.68
287.25	0.013180	210.87
287.50	0.012537	200.59
287.75	0.012222	195.55
288.00	0.012440	199.05
288.25	0.011714	187.42
288.50	0.010068	161.09
288.75	0.010640	170.24
289.00	0.0089043	142.47
289.25	0.0087822	140.51
289.50	0.0097658	156.25
289.75	0.0079721	127.55
290.00	0.0075478	120.76
290.25	0.0066156	105.85
290.50	0.0066413	106.26
290.75	0.0066284	106.05
291.00	0.0075928	121.48
291.25	0.0066863	106.98
291.50	0.0052912	84.659
291.75	0.0064613	103.38
292.00	0.0060305	96.488
292.25	0.0048154	77.046
292.50	0.0053297	85.276
292.75	0.0052590	84.144
293.00	0.0047254	75.606
293.25	0.0047640	76.224
293.50	0.0050919	81.470
293.75	0.0054197	86.716
294.00	0.0049954	79.927
294.25	0.0025716	41.146
294.50	0.0040889	65.423
294.75	0.0024109	38.575
295.00	0.0029510	47.215
295.25	0.0030667	49.067
295.50	0.0038253	61.205
295.75	0.0027838	44.541
296.00	0.0032210	51.536
296.25	0.0031503	50.404
296.50	0.0017937	28.700
296.75	0.0026359	42.175
297.00	0.0028931	46.290
297.25	0.0036646	58.633
297.50	0.0033110	52.976
297.75	0.0028674	45.878
298.00	0.0025588	40.941
298.25	0.0017809	28.494
298.50	0.0026295	42.072
298.75	0.0024688	39.500
299.00	0.0022502	36.003
299.25	0.0011122	17.796
299.50	0.0021795	34.871
299.75	0.0016330	26.128
300.00	0.0029317	46.907
300.25	0.0015687	25.099
300.50	0.00079078	12.652
300.75	0.0015816	25.305
301.00	0.0018516	29.625
301.25	0.0035232	56.370
301.50	0.0022566	36.106
301.75	0.0028224	45.158
302.00	0.0027838	44.541
302.25	0.0023466	37.546
302.50	0.0024109	38.575
302.75	0.0021795	34.871
303.00	0.0031760	50.816
303.25	0.0019544	31.271
303.50	0.0031503	50.404
303.75	0.0030538	48.861
304.00	0.0019995	31.991
304.25	0.0010929	17.487
304.50	0.0013373	21.396
304.75	0.0017873	28.597
305.00	0.0012087	19.339
305.25	0.0012987	20.779
305.50	0.0020573	32.917
305.75	0.0024495	39.192
306.00	0.00091936	14.710
306.25	0.0015558	24.894
306.50	-0.00010287	-1.6459
306.75	0.0031245	49.993
307.00	0.0029702	47.524
307.25	0.0014208	22.733
307.50	0.0030410	48.656
307.75	0.0031888	51.021
308.00	0.0016780	26.848
308.25	0.0024945	39.912
308.50	0.00075221	12.035
308.75	0.00088722	14.195
309.00	0.0024623	39.398
309.25	0.0022438	35.900
309.50	0.0019480	31.168
309.75	0.0061269	98.031
310.00	0.00017744	2.8391
310.25	0.0015044	24.071
310.50	0.00027002	4.3204
310.75	-0.00063648	-10.184
311.00	0.0015848	25.356
311.25	0.0011084	17.734
311.50	-0.00035360	-5.6576
311.75	0.0016394	26.231
312.00	0.0043589	69.743
312.25	9.6437e-05	1.5430
312.50	0.00084286	13.486
312.75	0.0019866	31.786
313.00	0.0034653	55.445
313.25	-0.00037289	-5.9662
313.50	0.0033367	53.387
313.75	0.0056898	91.036
314.00	0.0016780	26.848
314.25	0.0016909	27.054
314.50	0.0047061	75.298
314.75	0.00081650	13.064
315.00	0.0053169	85.070
315.25	0.0023466	37.546
315.50	0.00023145	3.7032
315.75	0.00082293	13.167
316.00	0.0038189	61.102
316.25	0.0012472	19.956
316.50	0.0034139	54.622
316.75	-0.00046933	-7.5092
317.00	0.00047575	7.6121
317.25	0.0030153	48.244
317.50	0.0026552	42.484
317.75	0.00086793	13.887
318.00	0.00098301	15.728
318.25	0.0045775	73.240
318.50	0.0035424	56.679
318.75	0.0023016	36.826
319.00	0.0019223	30.757
319.25	0.00027067	4.3306
319.50	0.00010287	1.6459
319.75	0.0018644	29.831
320.00	0.00082936	13.270
320.25	0.0013308	21.293
320.50	0.0015687	25.099
320.75	0.00037610	6.0176
321.00	0.0029317	46.907
321.25	0.0010544	16.870
321.50	0.0019480	31.168
321.75	0.00078435	12.550
322.00	0.00085507	13.681
322.25	0.0034396	55.033
322.50	0.0014273	22.836
322.75	0.00045026	7.2042
323.00	0.0046868	74.989
323.25	0.0030538	48.861
323.50	0.0011058	17.693
323.75	0.0022245	35.592
324.00	0.0040632	65.011
324.25	0.0022695	36.312
324.50	0.0051433	82.293
324.75	0.0016266	26.025
325.00	0.0036196	57.913
325.25	0.00057219	9.1551
325.50	0.0051819	82.910
325.75	0.0048347	77.355
326.00	0.0047318	75.709
326.25	0.00050790	8.1264
326.50	0.0016008	25.614
326.75	0.0013887	22.219
327.00	0.00089365	14.298
327.25	0.00065577	10.492
327.50	0.00070527	11.284
327.75	0.0014015	22.425
328.00	0.0026359	42.175
328.25	0.0038510	61.617
328.50	0.0013630	21.808
328.75	0.00040503	6.4805
329.00	1.9287e-05	0.30860
329.25	0.0016137	25.819
329.50	7.0720e-05	1.1315
329.75	2.5716e-05	0.41146
330.00	0.0014401	23.042
330.25	0.00033946	5.4313
330.50	0.0028352	45.364
330.75	0.0034524	55.239
331.00	0.00010801	1.7281
331.25	0.00044361	7.0977
331.50	0.0019480	31.168
331.75	0.0019223	30.757
332.00	0.0044554	71.286
332.25	0.0023145	37.032
332.50	-6.4291e-05	-1.0287
332.75	0.00067506	10.801
333.00	0.0032210	51.536
333.25	0.0014080	22.528
333.50	0.0038446	61.514
333.75	0.0020573	32.917
334.00	0.0034267	54.827
334.25	0.0022566	36.106
334.50	0.0023145	37.032
334.75	0.00066863	10.698
335.00	0.0024238	38.780
335.25	0.0020895	33.431
335.50	0.0015880	25.408
335.75	-0.00073935	-11.830
336.00	0.0017037	27.259
336.25	0.0032210	51.536
336.50	0.0025331	40.529
336.75	0.0023723	37.957
337.00	0.0011315	18.104
337.25	0.00071363	11.418
337.50	0.0029767	47.627
337.75	0.0015237	24.379
338.00	0.0015816	25.305
338.25	0.0011380	18.207
338.50	0.00092579	14.813
338.75	-0.00011572	-1.8516
339.00	0.0027259	43.615
339.25	0.00048218	7.7149
339.50	0.00054005	8.6407
339.75	0.0011637	18.619
340.00	0.0030153	48.244
340.25	0.0038768	62.028
340.50	0.0019030	30.448
340.75	0.0037546	60.074
341.00	0.00081650	13.064
341.25	-0.00032146	-5.1433
341.50	0.0054905	87.847
341.75	0.0019030	30.448
342.00	0.00093865	15.018
342.25	-3.8575e-05	-0.61720
342.50	0.0025009	40.015
342.75	0.0019995	31.991
343.00	0.0016716	26.745
343.25	0.0016073	25.716
343.50	0.0013244	21.190
343.75	0.0013758	22.013
344.00	0.0043332	69.332
344.25	0.0019802	31.683
344.50	0.0058376	93.402
344.75	0.0015044	24.071
345.00	0.00015430	2.4688
345.25	0.0042496	67.994
345.50	-0.00034074	-5.4519
345.75	0.0026681	42.689
346.00	0.0034396	55.033
346.25	0.0027452	43.924
346.50	0.0016973	27.157
346.75	0.0021280	34.049
347.00	0.0011315	18.104
347.25	0.00010737	1.7179
347.50	-0.00085507	-13.681
347.75	0.0012280	19.647
348.00	0.00032885	5.2616
348.25	0.0043718	69.949
348.50	0.0019866	31.786
348.75	0.0033689	53.902
349.00	0.0011058	17.693
349.25	0.0014273	22.836
349.50	0.0013823	22.116
349.75	0.00068149	10.904
350.00	0.00012215	1.9544
350.25	0.0021216	33.946
350.50	0.0028738	45.981
350.75	0.0013244	21.190
351.00	0.0024559	39.295
351.25	0.00046290	7.4063
351.50	0.0047254	75.606
351.75	0.0033753	54.005
352.00	0.0015044	24.071
352.25	0.00062362	9.9780
352.50	0.0011508	18.413
352.75	0.00088722	14.195
353.00	0.00084221	13.475
353.25	0.00099651	15.944
353.50	0.0020123	32.197
353.75	0.0024366	38.986
354.00	0.0023016	36.826
354.25	0.0024366	38.986
354.50	0.0026874	42.998
354.75	0.0015558	24.894
355.00	0.00028931	4.6290
355.25	0.0026038	41.661
355.50	0.0027002	43.204
355.75	0.0037032	59.251
356.00	0.0021795	34.871
356.25	0.00072006	11.521
356.50	0.0038189	61.102
356.75	-0.00085057	-13.609
357.00	0.0012408	19.853
357.25	0.0042754	68.406
357.50	0.0010479	16.767
357.75	0.0021666	34.666
358.00	-0.00073292	-11.727
358.25	0.00014144	2.2630
358.50	0.0043075	68.920
358.75	0.0021345	34.151
359.00	0.0024173	38.678
359.25	0.00071363	11.418
359.50	0.0010158	16.253
359.75	0.0012730	20.367
360.00	0.00086793	13.887
360.25	0.0024302	38.883
360.50	0.0011251	18.002
360.75	0.0021023	33.637
361.00	0.0018644	29.831
361.25	0.00024431	3.9089
361.50	0.0015237	24.379
361.75	0.0030988	49.581
362.00	0.0024238	38.780
362.25	0.00041146	6.5834
362.50	0.0029638	47.421
362.75	0.00016716	2.6745
363.00	0.00027002	4.3204
363.25	0.0012022	19.236
363.50	0.0026295	42.072
363.75	0.0042175	67.480
364.00	0.0042689	68.303
364.25	0.0019287	30.860
364.50	0.0037160	59.456
364.75	0.0028995	46.392
365.00	0.0028352	45.364
365.25	0.0019866	31.786
365.50	0.0022695	36.312
365.75	0.0037225	59.559
366.00	0.0020123	32.197
366.25	0.0019480	31.168
366.50	0.00070720	11.315
366.75	0.0010351	16.561
367.00	0.0027195	43.512
367.25	0.0015880	25.408
367.50	0.0019802	31.683
367.75	0.0017166	27.465
368.00	0.00090650	14.504
368.25	4.5004e-05	0.72006
368.50	0.0021280	34.049
368.75	0.0027131	43.409
369.00	0.0016459	26.334
369.25	0.0020187	32.300
369.50	0.0020702	33.123
369.75	0.0034781	55.650
370.00	0.0010544	16.870
370.25	0.00099008	15.841
370.50	0.0012987	20.779
370.75	0.0025845	41.352
371.00	0.0013115	20.985
371.25	0.0018966	30.345
371.50	0.0026295	42.072
371.75	0.0022116	35.386
372.00	0.0047254	75.606
372.25	0.0019352	30.963
372.50	0.00095794	15.327
372.75	0.0018002	28.802
373.00	0.0029895	47.833
373.25	0.0016073	25.716
373.50	0.0037353	59.765
373.75	0.00095794	15.327
374.00	0.0028545	45.672
374.25	0.00097722	15.636
374.50	0.0018259	29.214
374.75	0.0019223	30.757
375.00	0.0033239	53.182
375.25	0.0033431	53.490
375.50	0.0016716	26.745
375.75	0.0025009	40.015
376.00	0.00087436	13.990
376.25	0.00049504	7.9207
376.50	0.00063648	10.184
376.75	0.0023659	37.855
377.00	0.00084864	13.578
377.25	0.00097722	15.636
377.50	0.0015237	24.379
377.75	0.0014530	23.248
378.00	0.0027902	44.644
378.25	0.0022502	36.003
378.50	0.0019287	30.860
378.75	0.0021023	33.637
379.00	0.0017166	27.465
379.25	0.0026038	41.661
379.50	0.0021538	34.460
379.75	0.0020316	32.506
380.00	0.0028674	45.878
380.25	0.00015430	2.4688
380.50	0.0028288	45.261
380.75	0.0011894	19.030
381.00	0.0012151	19.442
381.25	-0.0011315	-18.104
381.50	0.0032660	52.256
381.75	0.0021409	34.254
382.00	0.0027774	44.438
382.25	0.0021152	33.843
382.50	0.0022823	36.517
382.75	0.0019544	31.271
383.00	0.0018773	30.037
383.25	0.0012472	19.956
383.50	0.0028481	45.570
383.75	0.0020573	32.917
384.00	0.0020316	32.506
384.25	0.0036260	58.016
384.50	0.00081650	13.064
384.75	0.00085507	13.681
385.00	0.0010479	16.767
385.25	0.0023531	37.649
385.50	0.0037675	60.279
385.75	0.0015301	24.482
386.00	0.0014080	22.528
386.25	0.0017294	27.671
386.50	0.0026745	42.792
386.75	0.0021666	34.666
387.00	-0.00092579	-14.813
387.25	0.0017037	27.259
387.50	-0.00025074	-4.0118
387.75	0.0013244	21.190
388.00	0.00028931	4.6290
388.25	0.0014594	23.351
388.50	0.0025845	41.352
388.75	0.0015687	25.099
389.00	0.0029574	47.318
389.25	0.0021602	34.563
389.50	0.0013887	22.219
389.75	0.0018902	30.243
390.00	0.0034589	55.342
390.25	0.0026102	41.764
390.50	0.0016587	26.539
390.75	0.0023981	38.369
391.00	0.0018002	28.802
391.25	0.0015301	24.482
391.50	0.0036710	58.736
391.75	0.0011058	17.693
392.00	0.0030667	49.067
392.25	0.0024752	39.603
392.50	0.0030603	48.964
392.75	0.0023981	38.369
393.00	0.0010029	16.047
393.25	0.0017487	27.979
393.50	0.0015173	24.276
393.75	0.00093865	15.018
394.00	0.0011380	18.207
394.25	-5.7862e-05	-0.92579
394.50	0.0022502	36.003
394.75	0.0040439	64.703
395.00	0.0032210	51.536
395.25	0.0023916	38.266
395.50	5.7862e-05	0.92579
395.75	0.0019673	31.477
396.00	0.0016780	26.848
396.25	0.0015044	24.071
396.50	0.0021538	34.460
396.75	-0.00092579	-14.813
397.00	0.0015108	24.173
397.25	0.0019544	31.271
397.50	0.0029381	47.010
397.75	0.00078435	12.550
398.00	0.0011508	18.413
398.25	0.0022116	35.386
398.50	0.00096437	15.430
398.75	9.0008e-05	1.4401
399.00	0.0043654	69.846
399.25	0.0021923	35.077
399.50	0.00089365	14.298
399.75	0.0016266	26.025
400.00	0.0022373	35.797
