Wavelength (nm)	B03 abs e
344.25	733.84
344.50	632.00
344.75	563.97
345.00	310.36
345.25	390.47
345.50	400.53
345.75	390.47
346.00	549.88
346.25	456.89
346.50	299.90
346.75	361.49
347.00	404.96
347.25	236.29
347.50	268.90
347.75	305.13
348.00	253.20
348.25	145.32
348.50	247.57
348.75	22.543
349.00	208.12
349.25	277.35
349.50	260.04
349.75	150.15
350.00	163.03
350.25	223.41
350.50	179.13
350.75	204.09
351.00	136.46
351.25	197.65
351.50	107.48
351.75	338.14
352.00	156.59
352.25	269.30
352.50	306.74
352.75	232.27
353.00	193.62
353.25	25.360
353.50	91.780
353.75	179.94
354.00	218.18
354.25	114.73
354.50	135.66
354.75	141.29
355.00	72.458
355.25	105.06
355.50	-12.076
355.75	-32.204
356.00	176.32
356.25	49.111
356.50	276.95
356.75	154.58
357.00	107.88
357.25	184.77
357.50	161.02
357.75	100.23
358.00	-36.229
358.25	49.513
358.50	180.74
358.75	41.865
359.00	-66.018
359.25	126.80
359.50	24.958
359.75	78.496
360.00	-14.894
360.25	18.920
360.50	52.733
360.75	129.62
361.00	104.66
361.25	81.314
361.50	168.26
361.75	15.699
362.00	167.86
362.25	117.14
362.50	195.23
362.75	40.657
363.00	70.446
363.25	181.55
363.50	179.13
363.75	99.429
364.00	126.40
364.25	94.598
364.50	19.322
364.75	60.784
365.00	159.41
365.25	100.23
365.50	155.79
365.75	94.598
366.00	47.903
366.25	152.16
366.50	45.085
366.75	19.322
367.00	30.996
367.25	64.810
367.50	136.46
367.75	52.733
368.00	64.810
368.25	73.666
368.50	77.691
368.75	169.87
369.00	76.484
369.25	55.954
369.50	47.098
369.75	187.59
370.00	-7.6484
370.25	115.53
370.50	123.18
370.75	52.331
371.00	138.07
371.25	55.551
371.50	104.26
371.75	104.26
372.00	95.403
372.25	127.61
372.50	0.80509
372.75	94.196
373.00	22.543
373.25	-35.424
373.50	47.903
373.75	136.46
374.00	174.70
374.25	146.53
374.50	68.433
374.75	7.6484
375.00	109.49
375.25	87.352
375.50	49.916
375.75	38.644
376.00	90.975
376.25	84.132
376.50	9.2586
376.75	26.165
377.00	15.699
377.25	-16.907
377.50	4.0255
377.75	82.119
378.00	28.983
378.25	65.615
378.50	140.49
378.75	135.66
379.00	69.640
379.25	-29.386
379.50	159.41
379.75	3.6229
380.00	-77.289
380.25	129.22
380.50	107.08
380.75	53.941
381.00	126.80
381.25	61.590
381.50	11.674
381.75	143.71
382.00	60.784
382.25	20.127
382.50	83.730
382.75	78.094
383.00	71.653
383.25	91.780
383.50	86.547
383.75	90.573
384.00	97.819
384.25	89.768
384.50	110.30
384.75	105.06
385.00	-84.937
385.25	60.784
385.50	103.86
385.75	61.992
386.00	105.47
386.25	57.161
386.50	14.492
386.75	27.373
387.00	49.916
387.25	-14.492
387.50	-8.8560
387.75	88.158
388.00	43.475
388.25	102.65
388.50	32.606
388.75	23.348
389.00	49.916
389.25	49.111
389.50	19.322
389.75	42.670
390.00	-8.4535
390.25	26.971
390.50	-51.123
390.75	24.153
391.00	-46.293
391.25	92.586
391.50	22.543
391.75	-2.0127
392.00	80.107
392.25	72.056
392.50	118.75
392.75	59.577
393.00	-26.568
393.25	95.806
393.50	30.593
393.75	60.784
394.00	86.950
394.25	103.86
394.50	61.187
394.75	88.963
395.00	-49.916
395.25	24.958
395.50	98.221
395.75	113.12
396.00	-17.309
396.25	24.958
396.50	64.005
396.75	66.823
397.00	37.437
397.25	-50.318
397.50	71.251
397.75	91.378
398.00	35.424
398.25	12.076
398.50	30.191
398.75	37.437
399.00	22.543
399.25	99.831
399.50	-36.632
399.75	98.221
400.00	120.36
