Wavelength (nm)	HexaCOOHP I (in 1 N aqHCl).abs
606.00	0.0030896
607.00	0.0027579
608.00	0.0024981
609.00	0.0022632
610.00	0.0020736
611.00	0.0019003
612.00	0.0018049
613.00	0.0016940
614.00	0.0016172
615.00	0.0015752
616.00	0.0014810
617.00	0.0014183
618.00	0.0013611
619.00	0.0014231
620.00	0.0013489
621.00	0.0012197
622.00	0.0012127
623.00	0.0012231
624.00	0.0011626
625.00	0.0011630
626.00	0.0011207
627.00	0.0010706
628.00	0.0010550
629.00	0.0010071
630.00	0.0010275
631.00	0.0010053
632.00	0.00096700
633.00	0.00091800
634.00	0.00095700
635.00	0.00093000
636.00	0.00086200
637.00	0.00087000
638.00	0.00085300
639.00	0.00090100
640.00	0.00086800
641.00	0.00083600
642.00	0.00080800
643.00	0.00082800
644.00	0.00085100
645.00	0.00079400
646.00	0.00081000
647.00	0.00080400
648.00	0.00077000
649.00	0.00079900
650.00	0.00072900
651.00	0.00075200
652.00	0.00081900
653.00	0.00078300
654.00	0.00066900
655.00	0.0011797
656.00	0.00051400
657.00	0.0010917
658.00	0.00094400
659.00	0.00071200
660.00	0.00078000
661.00	0.00073800
662.00	0.00072600
663.00	0.00075000
664.00	0.00071100
665.00	0.00074900
666.00	0.00074400
667.00	0.00073900
668.00	0.00069500
669.00	0.00072100
670.00	0.00074100
671.00	0.00074400
672.00	0.00071000
673.00	0.00072800
674.00	0.00072600
675.00	0.00069100
676.00	0.00071400
677.00	0.00070200
678.00	0.00068900
679.00	0.00071200
680.00	0.00074300
681.00	0.00072200
682.00	0.00072100
683.00	0.00072000
684.00	0.00072700
685.00	0.00074900
686.00	0.00070100
687.00	0.00076800
688.00	0.00072000
689.00	0.00068600
690.00	0.00072600
691.00	0.00075200
692.00	0.00067400
693.00	0.00069400
694.00	0.00069800
695.00	0.00073500
696.00	0.00071800
697.00	0.00070400
698.00	0.00066200
699.00	0.00069700
700.00	0.00068300
