Wavelength (nm)	"75, JACS 1998_1274, Cu OEFB"
367.00	0.57417
368.00	0.58136
369.00	0.58873
370.00	0.59797
371.00	0.60722
372.00	0.61646
373.00	0.62570
374.00	0.63495
375.00	0.64452
376.00	0.65478
377.00	0.66503
378.00	0.67528
379.00	0.68554
380.00	0.69579
381.00	0.70604
382.00	0.71629
383.00	0.72572
384.00	0.73445
385.00	0.74318
386.00	0.75190
387.00	0.76063
388.00	0.76936
389.00	0.77809
390.00	0.78681
391.00	0.79554
392.00	0.80419
393.00	0.81146
394.00	0.81873
395.00	0.82600
396.00	0.83327
397.00	0.84054
398.00	0.84781
399.00	0.85508
400.00	0.86235
401.00	0.86962
402.00	0.87688
403.00	0.88401
404.00	0.89056
405.00	0.89711
406.00	0.90366
407.00	0.91020
408.00	0.91675
409.00	0.92330
410.00	0.92985
411.00	0.93631
412.00	0.94160
413.00	0.94688
414.00	0.95217
415.00	0.95746
416.00	0.96274
417.00	0.96803
418.00	0.97332
419.00	0.97715
420.00	0.98006
421.00	0.98297
422.00	0.98587
423.00	0.98826
424.00	0.99020
425.00	0.99214
426.00	0.99408
427.00	0.99602
428.00	0.99737
429.00	0.99803
430.00	0.99869
431.00	0.99934
432.00	1.0000
433.00	0.99932
434.00	0.99863
435.00	0.99795
436.00	0.99726
437.00	0.99658
438.00	0.99486
439.00	0.99061
440.00	0.98636
441.00	0.98212
442.00	0.97787
443.00	0.97036
444.00	0.96240
445.00	0.95444
446.00	0.94648
447.00	0.93852
448.00	0.92753
449.00	0.91578
450.00	0.90403
451.00	0.89228
452.00	0.88053
453.00	0.86878
454.00	0.85703
455.00	0.84528
456.00	0.83353
457.00	0.81929
458.00	0.80502
459.00	0.79075
460.00	0.77648
461.00	0.76222
462.00	0.74795
463.00	0.73368
464.00	0.71941
465.00	0.70515
466.00	0.69088
467.00	0.67643
468.00	0.66089
469.00	0.64534
470.00	0.62979
471.00	0.61425
472.00	0.59870
473.00	0.58316
474.00	0.56761
475.00	0.55206
476.00	0.53652
477.00	0.52227
478.00	0.51092
479.00	0.49956
480.00	0.48821
481.00	0.47685
482.00	0.46550
483.00	0.45414
484.00	0.44279
485.00	0.43144
486.00	0.42008
487.00	0.40895
488.00	0.39909
489.00	0.38923
490.00	0.37937
491.00	0.36952
492.00	0.35966
493.00	0.34993
494.00	0.34273
495.00	0.33553
496.00	0.32833
497.00	0.32113
498.00	0.31393
499.00	0.30672
500.00	0.29952
501.00	0.29440
502.00	0.28943
503.00	0.28447
504.00	0.27950
505.00	0.27453
506.00	0.26957
507.00	0.26460
508.00	0.25963
509.00	0.25573
510.00	0.25212
511.00	0.24850
512.00	0.24489
513.00	0.24127
514.00	0.23766
515.00	0.23404
516.00	0.23043
517.00	0.22681
518.00	0.22320
519.00	0.21958
520.00	0.21661
521.00	0.21405
522.00	0.21150
523.00	0.20894
524.00	0.20638
525.00	0.20382
526.00	0.20127
527.00	0.19871
528.00	0.19615
529.00	0.19359
530.00	0.19104
531.00	0.18886
532.00	0.18719
533.00	0.18551
534.00	0.18384
535.00	0.18216
536.00	0.18049
537.00	0.17881
538.00	0.17714
539.00	0.17546
540.00	0.17379
541.00	0.17211
542.00	0.17045
543.00	0.16885
544.00	0.16725
545.00	0.16564
546.00	0.16404
547.00	0.16243
548.00	0.16083
549.00	0.15923
550.00	0.15762
551.00	0.15602
552.00	0.15427
553.00	0.15233
554.00	0.15039
555.00	0.14845
556.00	0.14651
557.00	0.14457
558.00	0.14263
559.00	0.14069
560.00	0.13855
561.00	0.13589
562.00	0.13324
563.00	0.13059
564.00	0.12793
565.00	0.12528
566.00	0.12262
567.00	0.11997
568.00	0.11768
569.00	0.11577
570.00	0.11386
571.00	0.11196
572.00	0.11005
573.00	0.10815
574.00	0.10624
575.00	0.10433
576.00	0.10243
577.00	0.10052
578.00	0.098846
579.00	0.097293
580.00	0.095740
581.00	0.094188
582.00	0.092635
583.00	0.091082
584.00	0.089530
585.00	0.087977
586.00	0.086425
587.00	0.084872
588.00	0.083724
589.00	0.082996
590.00	0.082269
591.00	0.081542
592.00	0.080814
593.00	0.080087
594.00	0.079360
595.00	0.078633
596.00	0.077905
597.00	0.077178
598.00	0.076709
599.00	0.076240
600.00	0.075771
601.00	0.075302
602.00	0.074833
603.00	0.074364
604.00	0.073894
605.00	0.073425
606.00	0.072956
607.00	0.072487
608.00	0.072200
609.00	0.072104
610.00	0.072007
611.00	0.071910
612.00	0.071813
613.00	0.071716
614.00	0.071619
615.00	0.071522
616.00	0.071425
617.00	0.071328
618.00	0.071390
619.00	0.071792
620.00	0.072193
621.00	0.072594
622.00	0.072995
623.00	0.073396
624.00	0.073798
625.00	0.074199
626.00	0.074600
627.00	0.075001
628.00	0.075721
629.00	0.076771
630.00	0.077822
631.00	0.078873
632.00	0.079923
633.00	0.080974
634.00	0.082024
635.00	0.083075
636.00	0.084125
637.00	0.085176
638.00	0.086227
639.00	0.087277
640.00	0.088385
641.00	0.089631
642.00	0.090878
643.00	0.092125
644.00	0.093372
645.00	0.094619
646.00	0.095865
647.00	0.097112
648.00	0.098359
649.00	0.099606
650.00	0.10085
651.00	0.10210
652.00	0.10381
653.00	0.10614
654.00	0.10847
655.00	0.11080
656.00	0.11312
657.00	0.11545
658.00	0.11778
659.00	0.12011
660.00	0.12244
661.00	0.12421
662.00	0.12595
663.00	0.12769
664.00	0.12944
665.00	0.13118
666.00	0.13293
667.00	0.13446
668.00	0.13502
669.00	0.13558
670.00	0.13614
671.00	0.13670
672.00	0.13726
673.00	0.13782
674.00	0.13838
675.00	0.13894
676.00	0.13958
677.00	0.14035
678.00	0.14113
679.00	0.14190
680.00	0.14268
681.00	0.14346
682.00	0.14423
683.00	0.14501
684.00	0.14578
685.00	0.14656
686.00	0.14739
687.00	0.14842
688.00	0.14945
689.00	0.15048
690.00	0.15152
691.00	0.15255
692.00	0.15358
693.00	0.15461
694.00	0.15565
695.00	0.15668
696.00	0.15771
697.00	0.15944
698.00	0.16149
699.00	0.16354
700.00	0.16558
701.00	0.16763
702.00	0.16968
703.00	0.17172
704.00	0.17377
705.00	0.17582
706.00	0.17792
707.00	0.18006
708.00	0.18221
709.00	0.18435
710.00	0.18650
711.00	0.18906
712.00	0.19163
713.00	0.19420
714.00	0.19678
715.00	0.19935
716.00	0.20192
717.00	0.20469
718.00	0.20749
719.00	0.21030
720.00	0.21310
721.00	0.21590
722.00	0.21870
723.00	0.22167
724.00	0.22469
725.00	0.22771
726.00	0.23073
727.00	0.23375
728.00	0.23677
729.00	0.23986
730.00	0.24298
731.00	0.24610
732.00	0.24922
733.00	0.25234
734.00	0.25546
735.00	0.25853
736.00	0.26144
737.00	0.26435
738.00	0.26726
739.00	0.27017
740.00	0.27308
741.00	0.27558
742.00	0.27741
743.00	0.27924
744.00	0.28107
745.00	0.28289
746.00	0.28472
747.00	0.28634
748.00	0.28710
749.00	0.28786
750.00	0.28862
751.00	0.28938
752.00	0.29014
753.00	0.29000
754.00	0.28986
755.00	0.28972
756.00	0.28958
757.00	0.28944
758.00	0.28930
759.00	0.28916
760.00	0.28816
761.00	0.28715
762.00	0.28614
763.00	0.28512
764.00	0.28411
765.00	0.28310
766.00	0.28209
767.00	0.28103
768.00	0.27975
769.00	0.27847
770.00	0.27719
771.00	0.27591
772.00	0.27463
773.00	0.27335
774.00	0.27207
775.00	0.27079
776.00	0.26951
777.00	0.26823
778.00	0.26695
779.00	0.26566
780.00	0.26438
781.00	0.26310
782.00	0.26182
783.00	0.26054
784.00	0.25934
785.00	0.25837
786.00	0.25740
787.00	0.25643
788.00	0.25546
789.00	0.25449
790.00	0.25352
791.00	0.25255
792.00	0.25163
793.00	0.25104
794.00	0.25046
795.00	0.24988
796.00	0.24930
797.00	0.24872
798.00	0.24813
799.00	0.24794
800.00	0.24849
801.00	0.24904
802.00	0.24960
803.00	0.25015
804.00	0.25071
805.00	0.25126
806.00	0.25185
807.00	0.25258
808.00	0.25330
809.00	0.25403
810.00	0.25476
811.00	0.25549
812.00	0.25621
813.00	0.25694
814.00	0.25772
815.00	0.25911
816.00	0.26050
817.00	0.26190
818.00	0.26329
819.00	0.26468
820.00	0.26607
821.00	0.26746
822.00	0.26878
823.00	0.26992
824.00	0.27107
825.00	0.27221
826.00	0.27335
827.00	0.27450
828.00	0.27564
829.00	0.27678
830.00	0.27793
831.00	0.27907
832.00	0.28033
833.00	0.28163
834.00	0.28292
835.00	0.28422
836.00	0.28551
837.00	0.28680
838.00	0.28771
839.00	0.28844
840.00	0.28918
841.00	0.28991
842.00	0.29065
843.00	0.29138
844.00	0.29212
845.00	0.29198
846.00	0.29184
847.00	0.29171
848.00	0.29157
849.00	0.29143
850.00	0.29129
851.00	0.29116
852.00	0.29020
853.00	0.28904
854.00	0.28787
855.00	0.28671
856.00	0.28554
857.00	0.28438
858.00	0.28321
859.00	0.28164
860.00	0.28008
861.00	0.27851
862.00	0.27695
863.00	0.27538
864.00	0.27382
865.00	0.27149
866.00	0.26898
867.00	0.26648
868.00	0.26397
869.00	0.26146
870.00	0.25896
871.00	0.25645
872.00	0.25301
873.00	0.24956
874.00	0.24610
875.00	0.24265
876.00	0.23919
877.00	0.23574
878.00	0.23228
879.00	0.22874
880.00	0.22511
881.00	0.22147
882.00	0.21783
883.00	0.21419
884.00	0.21056
885.00	0.20692
886.00	0.20328
887.00	0.19964
888.00	0.19586
889.00	0.19208
890.00	0.18830
891.00	0.18451
892.00	0.18073
893.00	0.17695
894.00	0.17316
895.00	0.16938
896.00	0.16560
897.00	0.16169
898.00	0.15769
899.00	0.15370
900.00	0.14970
901.00	0.14570
902.00	0.14170
903.00	0.13770
904.00	0.13371
905.00	0.12971
906.00	0.12580
907.00	0.12241
908.00	0.11901
909.00	0.11561
910.00	0.11222
911.00	0.10882
912.00	0.10543
913.00	0.10203
914.00	0.098635
915.00	0.095240
916.00	0.091955
917.00	0.088972
918.00	0.085988
919.00	0.083005
920.00	0.080021
921.00	0.077038
922.00	0.074054
923.00	0.071070
924.00	0.068087
925.00	0.065471
926.00	0.063636
927.00	0.061801
928.00	0.059965
929.00	0.058130
930.00	0.056295
931.00	0.054460
932.00	0.052625
933.00	0.050790
934.00	0.048955
935.00	0.047120
936.00	0.045459
937.00	0.043972
938.00	0.042485
939.00	0.040998
940.00	0.039511
941.00	0.038024
942.00	0.036537
943.00	0.035050
944.00	0.033563
945.00	0.032076
946.00	0.030789
947.00	0.029841
948.00	0.028894
949.00	0.027947
950.00	0.027000
951.00	0.026053
952.00	0.025106
953.00	0.024159
954.00	0.023211
955.00	0.022264
956.00	0.021354
957.00	0.020553
958.00	0.019753
959.00	0.018953
960.00	0.018152
961.00	0.017352
962.00	0.016551
963.00	0.015751
964.00	0.014950
965.00	0.014150
966.00	0.013628
967.00	0.013159
968.00	0.012690
969.00	0.012221
970.00	0.011752
971.00	0.011283
972.00	0.010814
973.00	0.010362
974.00	0.0099258
975.00	0.0094892
976.00	0.0090527
977.00	0.0086162
978.00	0.0081797
979.00	0.0077431
980.00	0.0073066
981.00	0.0068701
982.00	0.0064709
983.00	0.0063217
984.00	0.0061726
985.00	0.0060234
986.00	0.0058742
987.00	0.0057250
988.00	0.0055759
989.00	0.0054267
990.00	0.0052775
991.00	0.0051284
992.00	0.0049026
993.00	0.0046729
994.00	0.0044431
995.00	0.0042133
996.00	0.0039836
997.00	0.0037538
998.00	0.0035240
999.00	0.0032943
1000.0	0.0030659
1001.0	0.0029805
1002.0	0.0028950
1003.0	0.0028095
1004.0	0.0027241
1005.0	0.0026386
1006.0	0.0025531
1007.0	0.0024677
1008.0	0.0023822
1009.0	0.0023144
1010.0	0.0022466
1011.0	0.0021788
1012.0	0.0021110
1013.0	0.0020432
1014.0	0.0019754
1015.0	0.0019077
1016.0	0.0018399
1017.0	0.0017721
1018.0	0.0017043
1019.0	0.0016975
1020.0	0.0016975
1021.0	0.0016975
1022.0	0.0016975
1023.0	0.0016975
1024.0	0.0016975
1025.0	0.0016975
1026.0	0.0016975
1027.0	0.0016975
1028.0	0.0016975
1029.0	0.0016975
1030.0	0.0016975
1031.0	0.0016975
1032.0	0.0016975
1033.0	0.0016975
1034.0	0.0016975
1035.0	0.0016975
1036.0	0.0016975
1037.0	0.0016975
1038.0	0.0016975
1039.0	0.0016975
1040.0	0.0016975
1041.0	0.0016975
1042.0	0.0016975
1043.0	0.0016975
1044.0	0.0016975
1045.0	0.0016975
1046.0	0.0016975
1047.0	0.0016975
1048.0	0.0016975
1049.0	0.0016975
1050.0	0.0016975
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
