Wavelength (nm)	O06 abs e
412.50	130.20
412.75	224.47
413.00	129.16
413.25	182.73
413.50	173.39
413.75	167.99
414.00	158.85
414.25	163.84
414.50	102.58
414.75	104.24
415.00	159.27
415.25	155.53
415.50	98.427
415.75	117.95
416.00	146.19
416.25	88.668
416.50	110.47
416.75	63.334
417.00	102.17
417.25	70.394
417.50	120.65
417.75	116.29
418.00	135.39
418.25	69.148
418.50	47.968
418.75	100.30
419.00	74.755
419.25	109.64
419.50	77.662
419.75	69.356
420.00	107.56
420.25	92.198
420.50	79.116
420.75	94.067
421.00	86.591
421.25	73.717
421.50	68.110
421.75	-5.6066
422.00	95.520
422.25	79.531
422.50	77.039
422.75	45.684
423.00	45.061
423.25	40.492
423.50	61.881
423.75	52.329
424.00	97.597
424.25	23.672
424.50	65.826
424.75	43.192
425.00	70.394
425.25	69.148
425.50	70.394
425.75	68.110
426.00	34.886
426.25	43.607
426.50	11.421
426.75	36.132
427.00	39.662
427.25	41.946
427.50	35.301
427.75	111.92
428.00	48.175
428.25	26.164
428.50	63.542
428.75	30.317
429.00	25.957
429.25	25.749
429.50	-13.913
429.75	51.290
430.00	89.083
430.25	18.689
430.50	68.110
430.75	18.689
431.00	21.804
431.25	35.093
431.50	34.055
431.75	82.230
432.00	72.263
432.25	49.629
432.50	37.170
432.75	33.640
433.00	14.120
433.25	0.83061
433.50	13.705
433.75	19.519
434.00	43.607
434.25	25.957
434.50	56.689
434.75	28.448
435.00	53.367
435.25	27.203
435.50	23.880
435.75	53.782
436.00	41.323
436.25	27.618
436.50	73.301
436.75	51.290
437.00	19.519
437.25	17.235
437.50	32.809
437.75	66.034
438.00	89.498
438.25	40.492
438.50	54.820
438.75	10.798
439.00	56.897
439.25	11.836
439.50	63.126
439.75	65.203
440.00	67.072
440.25	24.503
440.50	71.848
440.75	46.722
441.00	1.8689
441.25	59.181
441.50	27.618
441.75	22.842
442.00	15.159
442.25	40.700
442.50	42.569
442.75	32.809
443.00	73.301
443.25	48.591
443.50	19.935
443.75	38.208
444.00	40.492
444.25	-1.6612
444.50	-4.9837
444.75	72.678
445.00	25.334
445.25	56.897
445.50	57.935
445.75	79.946
446.00	43.607
446.25	40.700
446.50	36.755
446.75	69.979
447.00	53.574
447.25	30.733
447.50	107.15
447.75	47.552
448.00	44.438
448.25	8.3061
448.50	35.093
448.75	45.268
449.00	94.067
449.25	36.547
449.50	-2.2842
449.75	72.886
450.00	43.399
450.25	34.055
450.50	21.388
450.75	28.656
451.00	25.749
451.25	68.941
451.50	26.787
451.75	98.220
452.00	45.684
452.25	53.782
452.50	70.394
452.75	36.547
453.00	4.7760
453.25	16.197
453.50	-5.1913
453.75	37.793
454.00	43.192
454.25	52.744
454.50	107.77
454.75	44.853
455.00	26.995
455.25	46.307
455.50	0.41531
455.75	50.875
456.00	6.8525
456.25	45.684
456.50	19.312
456.75	46.722
457.00	45.061
457.25	7.2678
457.50	35.924
457.75	17.858
458.00	58.350
458.25	53.574
458.50	93.444
458.75	38.416
459.00	63.334
459.25	96.143
459.50	54.197
459.75	58.350
460.00	14.536
460.25	30.940
460.50	6.6449
460.75	63.334
461.00	57.312
461.25	83.061
461.50	79.946
461.75	0.024727
462.00	40.077
462.25	76.001
462.50	38.623
462.75	60.427
463.00	50.460
463.25	41.738
463.50	14.120
463.75	26.787
464.00	40.700
464.25	16.405
464.50	66.241
464.75	6.8525
465.00	66.449
465.25	37.585
465.50	51.706
465.75	46.514
466.00	10.798
466.25	65.203
466.50	71.225
466.75	68.110
