Wavelength (nm)	C09 ems
548.00	1.1197e+06
548.50	1.0913e+06
549.00	1.0732e+06
549.50	1.0379e+06
550.00	1.0219e+06
550.50	9.9976e+05
551.00	9.7670e+05
551.50	9.5278e+05
552.00	9.4153e+05
552.50	9.1938e+05
553.00	9.0516e+05
553.50	8.8426e+05
554.00	8.7484e+05
554.50	8.5795e+05
555.00	8.4527e+05
555.50	8.2768e+05
556.00	8.2100e+05
556.50	8.0822e+05
557.00	8.0122e+05
557.50	7.8459e+05
558.00	7.7914e+05
558.50	7.6709e+05
559.00	7.5638e+05
559.50	7.4602e+05
560.00	7.3754e+05
560.50	7.2909e+05
561.00	7.2055e+05
561.50	7.0899e+05
562.00	7.0287e+05
562.50	6.9036e+05
563.00	6.8565e+05
563.50	6.7138e+05
564.00	6.6672e+05
564.50	6.5741e+05
565.00	6.5053e+05
565.50	6.3420e+05
566.00	6.3278e+05
566.50	6.2131e+05
567.00	6.1499e+05
567.50	6.0231e+05
568.00	5.9816e+05
568.50	5.8790e+05
569.00	5.8229e+05
569.50	5.6878e+05
570.00	5.6346e+05
570.50	5.5013e+05
571.00	5.4450e+05
571.50	5.3596e+05
572.00	5.2669e+05
572.50	5.1657e+05
573.00	5.1092e+05
573.50	4.9778e+05
574.00	4.9154e+05
574.50	4.8215e+05
575.00	4.7518e+05
575.50	4.6372e+05
576.00	4.6010e+05
576.50	4.4644e+05
577.00	4.4013e+05
577.50	4.2738e+05
578.00	4.2138e+05
578.50	4.1245e+05
579.00	4.0385e+05
579.50	3.9525e+05
580.00	3.8981e+05
580.50	3.8438e+05
581.00	3.7560e+05
581.50	3.6474e+05
582.00	3.6160e+05
582.50	3.5447e+05
583.00	3.4688e+05
583.50	3.3903e+05
584.00	3.3364e+05
584.50	3.2618e+05
585.00	3.1894e+05
585.50	3.1147e+05
586.00	3.0789e+05
586.50	2.9784e+05
587.00	2.9391e+05
587.50	2.8402e+05
588.00	2.8003e+05
588.50	2.7323e+05
589.00	2.6901e+05
589.50	2.6219e+05
590.00	2.5814e+05
590.50	2.5180e+05
591.00	2.4921e+05
591.50	2.4174e+05
592.00	2.3901e+05
592.50	2.3450e+05
593.00	2.2818e+05
593.50	2.2502e+05
594.00	2.2141e+05
594.50	2.1608e+05
595.00	2.1396e+05
595.50	2.0785e+05
596.00	2.0433e+05
596.50	2.0308e+05
597.00	1.9727e+05
597.50	1.9397e+05
598.00	1.9215e+05
598.50	1.8849e+05
599.00	1.8508e+05
599.50	1.8032e+05
600.00	1.7928e+05
600.50	1.7527e+05
601.00	1.7191e+05
601.50	1.6834e+05
602.00	1.6834e+05
602.50	1.6438e+05
603.00	1.6272e+05
603.50	1.5843e+05
604.00	1.5713e+05
604.50	1.5462e+05
605.00	1.5160e+05
605.50	1.5023e+05
606.00	1.4939e+05
606.50	1.4729e+05
607.00	1.4360e+05
607.50	1.4119e+05
608.00	1.4046e+05
608.50	1.3819e+05
609.00	1.3682e+05
609.50	1.3425e+05
610.00	1.3163e+05
610.50	1.2939e+05
611.00	1.2747e+05
611.50	1.2402e+05
612.00	1.2295e+05
612.50	1.2011e+05
613.00	1.1834e+05
613.50	1.1729e+05
614.00	1.1480e+05
614.50	1.1312e+05
615.00	1.1138e+05
615.50	1.0740e+05
616.00	1.0772e+05
616.50	1.0456e+05
617.00	1.0444e+05
617.50	1.0221e+05
618.00	1.0040e+05
618.50	98672
619.00	96992
619.50	94382
620.00	94567
620.50	91914
621.00	90550
621.50	88139
622.00	87184
622.50	86550
623.00	85161
623.50	82319
624.00	82727
624.50	80063
625.00	78199
625.50	76947
626.00	75375
626.50	73982
627.00	71762
627.50	70050
628.00	69553
628.50	68744
629.00	68470
629.50	66197
630.00	65603
630.50	63972
631.00	63580
631.50	62668
632.00	61260
632.50	59608
633.00	59821
633.50	59020
634.00	57081
634.50	55450
635.00	55082
635.50	55033
636.00	53569
636.50	52144
637.00	51822
637.50	50190
638.00	50295
638.50	49408
639.00	48424
639.50	47836
640.00	46962
640.50	46501
641.00	45475
641.50	44875
642.00	45023
642.50	43191
643.00	42524
643.50	43155
644.00	41813
644.50	41113
645.00	41224
645.50	39830
646.00	39419
646.50	38976
647.00	38897
647.50	38568
648.00	37213
648.50	37690
649.00	36622
649.50	35812
650.00	35605
650.50	35150
651.00	34685
651.50	34198
652.00	34097
652.50	33652
653.00	32224
653.50	32200
654.00	30934
654.50	31587
655.00	31474
655.50	30796
656.00	30567
656.50	29760
657.00	29737
657.50	29317
658.00	29034
658.50	28245
659.00	28472
659.50	28093
660.00	27290
660.50	27187
661.00	27505
661.50	26628
662.00	26713
662.50	26824
663.00	25382
663.50	25936
664.00	24820
664.50	25133
665.00	25220
665.50	24648
666.00	24621
666.50	24282
667.00	23869
667.50	23505
668.00	23905
668.50	24662
669.00	23397
669.50	22625
670.00	22592
670.50	22705
671.00	22539
671.50	21656
672.00	22343
672.50	22148
673.00	21473
673.50	21642
674.00	21306
674.50	21524
675.00	20693
675.50	20815
676.00	20292
676.50	19869
677.00	20483
677.50	20306
678.00	19892
678.50	19917
679.00	20156
679.50	19534
680.00	18628
680.50	19097
681.00	19085
681.50	19148
682.00	18540
682.50	18735
683.00	18870
683.50	18289
684.00	18001
684.50	18478
685.00	17751
685.50	18065
686.00	17689
686.50	16955
687.00	18536
687.50	17562
688.00	17138
688.50	17576
689.00	17893
689.50	17351
690.00	17084
690.50	17947
691.00	17137
691.50	17708
692.00	17340
692.50	16593
693.00	17410
693.50	17218
694.00	16971
694.50	17306
695.00	16881
695.50	17007
696.00	17335
696.50	16665
697.00	16439
697.50	16606
698.00	17167
698.50	16909
699.00	16761
699.50	15998
700.00	16585
