Wavelength (nm)	M04 abs e
423.00	4556.0
424.00	4286.3
425.00	4034.1
426.00	3816.2
427.00	3621.1
428.00	3469.3
429.00	3352.6
430.00	3273.1
431.00	3227.6
432.00	3219.0
433.00	3243.6
434.00	3297.7
435.00	3370.5
436.00	3479.4
437.00	3586.1
438.00	3718.1
439.00	3857.3
440.00	4008.0
441.00	4190.4
442.00	4350.4
443.00	4531.7
444.00	4723.1
445.00	4913.4
446.00	5121.2
447.00	5327.1
448.00	5540.8
449.00	5784.8
450.00	6024.3
451.00	6277.6
452.00	6537.2
453.00	6796.9
454.00	7094.6
455.00	7384.8
456.00	7692.6
457.00	8033.9
458.00	8362.9
459.00	8710.2
460.00	9069.1
461.00	9433.2
462.00	9804.7
463.00	10224
464.00	10641
465.00	11032
466.00	11416
467.00	11818
468.00	12250
469.00	12642
470.00	13083
471.00	13503
472.00	13927
473.00	14337
474.00	14719
475.00	15143
476.00	15550
477.00	15942
478.00	16371
479.00	16818
480.00	17264
481.00	17715
482.00	18187
483.00	18672
484.00	19200
485.00	19869
486.00	20315
487.00	20639
488.00	21503
489.00	22122
490.00	22750
491.00	23444
492.00	24125
493.00	24803
494.00	25480
495.00	26119
496.00	26838
497.00	27400
498.00	28019
499.00	28602
500.00	29142
501.00	29656
502.00	30028
503.00	30435
504.00	30735
505.00	31036
506.00	31322
507.00	31509
508.00	31692
509.00	31767
510.00	31860
511.00	31866
512.00	32046
513.00	32127
514.00	32210
515.00	32351
516.00	32439
517.00	32592
518.00	32833
519.00	33017
520.00	33275
521.00	33684
522.00	34007
523.00	34464
524.00	34910
525.00	35358
526.00	35971
527.00	36473
528.00	37038
529.00	37549
530.00	38023
531.00	38515
532.00	38918
533.00	39347
534.00	39661
535.00	39769
536.00	40000
537.00	39922
538.00	39776
539.00	39526
540.00	39086
541.00	38579
542.00	37933
543.00	37109
544.00	36182
545.00	35178
546.00	34004
547.00	32765
548.00	31425
549.00	30031
550.00	28614
551.00	27085
552.00	25539
553.00	24000
554.00	22502
555.00	20978
556.00	19462
557.00	18046
558.00	16650
559.00	15284
560.00	13954
561.00	12722
562.00	11575
563.00	10484
564.00	9444.4
565.00	8520.0
566.00	7637.7
567.00	6812.9
568.00	6062.7
569.00	5359.5
570.00	4759.3
571.00	4198.6
572.00	3710.3
573.00	3273.1
574.00	2852.7
575.00	2514.2
576.00	2215.2
577.00	1900.6
578.00	1667.7
579.00	1464.5
580.00	1271.0
581.00	1073.2
582.00	947.80
583.00	850.28
584.00	729.75
585.00	612.35
586.00	544.72
587.00	477.65
588.00	414.71
589.00	362.90
590.00	327.12
591.00	281.16
592.00	244.27
593.00	211.37
594.00	186.97
595.00	168.17
596.00	152.80
597.00	142.06
598.00	124.11
599.00	106.13
600.00	97.738
601.00	85.539
602.00	85.539
603.00	72.781
604.00	67.708
605.00	64.201
606.00	58.382
607.00	54.576
608.00	51.331
609.00	52.338
610.00	44.392
611.00	42.900
612.00	45.400
613.00	43.646
614.00	37.305
615.00	37.566
616.00	39.170
617.00	36.335
618.00	39.692
619.00	40.177
620.00	37.267
621.00	39.244
622.00	41.221
623.00	32.567
624.00	35.887
625.00	37.230
626.00	36.931
627.00	39.729
628.00	34.171
629.00	36.931
630.00	40.737
631.00	42.453
632.00	45.027
633.00	44.952
634.00	40.401
635.00	41.483
636.00	40.177
637.00	32.791
638.00	27.270
639.00	33.238
640.00	34.917
641.00	41.856
642.00	37.640
643.00	36.708
644.00	38.797
645.00	43.311
646.00	42.639
647.00	35.103
648.00	36.036
649.00	27.866
650.00	39.132
651.00	37.043
652.00	33.910
653.00	28.836
654.00	46.444
655.00	41.445
656.00	12.389
657.00	25.479
658.00	37.006
659.00	40.587
660.00	42.229
661.00	37.566
662.00	31.224
663.00	34.992
664.00	35.029
665.00	30.403
666.00	35.626
667.00	41.035
668.00	35.402
669.00	35.812
670.00	30.776
671.00	28.351
672.00	23.129
673.00	24.099
674.00	29.023
675.00	32.529
676.00	27.531
677.00	25.479
678.00	27.419
679.00	23.539
680.00	24.733
681.00	21.786
682.00	21.264
683.00	25.069
684.00	19.025
685.00	21.338
686.00	18.727
687.00	18.988
688.00	20.443
689.00	19.286
690.00	19.734
691.00	20.891
692.00	19.921
693.00	19.063
694.00	23.763
695.00	21.823
696.00	25.404
697.00	19.286
698.00	18.951
699.00	22.308
700.00	23.502
