Wavelength (nm)	EtioP I (in 1 N aqHCl).abs
512.00	0.0091846
513.00	0.0093210
514.00	0.0093229
515.00	0.0093492
516.00	0.0094433
517.00	0.0095119
518.00	0.0095790
519.00	0.0096877
520.00	0.0098635
521.00	0.0099058
522.00	0.0099733
523.00	0.0099609
524.00	0.010018
525.00	0.010038
526.00	0.010154
527.00	0.010311
528.00	0.010539
529.00	0.010771
530.00	0.011263
531.00	0.011918
532.00	0.012814
533.00	0.013918
534.00	0.015296
535.00	0.017146
536.00	0.019170
537.00	0.021613
538.00	0.024394
539.00	0.027596
540.00	0.030858
541.00	0.033763
542.00	0.036241
543.00	0.037927
544.00	0.039126
545.00	0.039861
546.00	0.040298
547.00	0.040232
548.00	0.039841
549.00	0.039034
550.00	0.037485
551.00	0.035417
552.00	0.032885
553.00	0.030187
554.00	0.027486
555.00	0.024841
556.00	0.022484
557.00	0.020439
558.00	0.018732
559.00	0.017515
560.00	0.016544
561.00	0.015862
562.00	0.015545
563.00	0.015263
564.00	0.014998
565.00	0.014885
566.00	0.014669
567.00	0.014392
568.00	0.014178
569.00	0.013929
570.00	0.013367
571.00	0.013032
572.00	0.012587
573.00	0.012128
574.00	0.011364
575.00	0.010991
576.00	0.010744
577.00	0.010355
578.00	0.0096865
579.00	0.010298
580.00	0.0099913
581.00	0.010281
582.00	0.0099594
583.00	0.011328
584.00	0.012360
585.00	0.012862
586.00	0.014112
587.00	0.015071
588.00	0.015449
589.00	0.015699
590.00	0.015371
591.00	0.014712
592.00	0.013757
593.00	0.012246
594.00	0.011259
595.00	0.010033
596.00	0.0088240
597.00	0.0077908
598.00	0.0070029
599.00	0.0058138
600.00	0.0053865
601.00	0.0048084
602.00	0.0043938
603.00	0.0039286
604.00	0.0035935
605.00	0.0035369
606.00	0.0031939
607.00	0.0030068
608.00	0.0029581
609.00	0.0028123
610.00	0.0026702
611.00	0.0026972
612.00	0.0025607
613.00	0.0024801
614.00	0.0023992
615.00	0.0022897
616.00	0.0022507
617.00	0.0021964
618.00	0.0019921
619.00	0.0020322
620.00	0.0019988
621.00	0.0019812
622.00	0.0019711
623.00	0.0019336
624.00	0.0019474
625.00	0.0020355
626.00	0.0020277
627.00	0.0020850
628.00	0.0020250
629.00	0.0020303
630.00	0.0019351
631.00	0.0020018
632.00	0.0019707
633.00	0.0019778
634.00	0.0019201
635.00	0.0019381
636.00	0.0018867
637.00	0.0018432
638.00	0.0018387
639.00	0.0017821
640.00	0.0017184
641.00	0.0016944
642.00	0.0016067
643.00	0.0014624
644.00	0.0015782
645.00	0.0017788
646.00	0.0018309
647.00	0.0019519
648.00	0.0019973
649.00	0.0017356
650.00	0.0015666
651.00	0.0015463
652.00	0.0014436
653.00	0.0015212
654.00	0.0013995
655.00	0.0013750
656.00	0.0016877
657.00	0.0015789
658.00	0.0014684
659.00	0.0013203
660.00	0.0012753
661.00	0.0012262
662.00	0.0012191
663.00	0.0011482
664.00	0.0011917
665.00	0.0011130
666.00	0.0010590
667.00	0.0011115
668.00	0.0011051
669.00	0.0010328
670.00	0.0010658
671.00	0.0010901
672.00	0.00099341
673.00	0.00098179
674.00	0.0010219
675.00	0.00098329
676.00	0.00094055
677.00	0.00095068
678.00	0.00093681
679.00	0.00091356
680.00	0.00089595
681.00	0.00087945
682.00	0.00085321
683.00	0.00086671
684.00	0.00088245
685.00	0.00088920
686.00	0.00078761
687.00	0.00085284
688.00	0.00077524
689.00	0.00081460
690.00	0.00080148
691.00	0.00078386
692.00	0.00071639
693.00	0.00070476
694.00	0.00065753
695.00	0.00064853
696.00	0.00066315
697.00	0.00067328
698.00	0.00057469
699.00	0.00060355
700.00	0.00060205
