Wavelength (nm)	Toly G+H (2017)
731.00	0.0030090
732.00	0.0029376
733.00	0.0027184
734.00	0.0028147
735.00	0.0030730
736.00	0.0029147
737.00	0.0031612
738.00	0.0025972
739.00	0.0020028
740.00	0.0020265
741.00	0.0025518
742.00	0.0012744
743.00	0.0014334
744.00	0.0028299
745.00	0.0019605
746.00	0.0016420
747.00	0.0016411
748.00	0.0017221
749.00	0.0018057
750.00	0.0012143
751.00	0.00089471
752.00	0.0013821
753.00	0.0018549
754.00	0.00036382
755.00	0.0024055
756.00	0.0011986
757.00	0.00076550
758.00	0.0020129
759.00	0.0011559
760.00	0.00065244
761.00	0.00096809
762.00	0.00090157
763.00	0.0019777
764.00	0.0012918
765.00	0.0014502
766.00	0.0023097
767.00	0.0015596
768.00	0.00077111
769.00	6.9394e-07
770.00	0.0026064
771.00	0.0026733
772.00	0.00058961
773.00	0.0017054
774.00	-0.00031622
775.00	0.0012517
776.00	0.0019420
777.00	0.0021159
778.00	0.0014367
779.00	0.0022383
780.00	6.2029e-05
781.00	-0.00014279
782.00	0.0020912
783.00	0.0010956
784.00	4.0738e-06
785.00	0.00020141
786.00	6.8168e-05
787.00	0.00052243
788.00	-6.8665e-05
789.00	0.00085107
790.00	0.0010861
791.00	0.0013987
792.00	0.00034090
793.00	0.00070004
794.00	0.00088106
795.00	-0.00057962
796.00	0.00063927
797.00	0.00092473
798.00	0.00048877
799.00	0.00055778
800.00	0.0000
