Wavelength (nm)	PCPB Sci 2020_668, Me-RCC abs [Z]
522.00	0.34040
523.00	0.34106
524.00	0.34171
525.00	0.34236
526.00	0.34302
527.00	0.34314
528.00	0.34314
529.00	0.34314
530.00	0.34314
531.00	0.34147
532.00	0.33970
533.00	0.33792
534.00	0.33615
535.00	0.33336
536.00	0.32844
537.00	0.32351
538.00	0.31858
539.00	0.31318
540.00	0.30718
541.00	0.30118
542.00	0.29519
543.00	0.28919
544.00	0.28288
545.00	0.27629
546.00	0.26971
547.00	0.26312
548.00	0.25653
549.00	0.25055
550.00	0.24528
551.00	0.24001
552.00	0.23474
553.00	0.22947
554.00	0.22421
555.00	0.21917
556.00	0.21458
557.00	0.21000
558.00	0.20541
559.00	0.20083
560.00	0.19624
561.00	0.19165
562.00	0.18763
563.00	0.18599
564.00	0.18436
565.00	0.18273
566.00	0.18109
567.00	0.17946
568.00	0.17782
569.00	0.17619
570.00	0.17455
571.00	0.17292
572.00	0.17147
573.00	0.17020
574.00	0.16893
575.00	0.16766
576.00	0.16639
577.00	0.16512
578.00	0.16385
579.00	0.16258
580.00	0.16077
581.00	0.15879
582.00	0.15681
583.00	0.15483
584.00	0.15285
585.00	0.15087
586.00	0.14889
587.00	0.14645
588.00	0.14293
589.00	0.13942
590.00	0.13591
591.00	0.13239
592.00	0.12888
593.00	0.12537
594.00	0.12186
595.00	0.11752
596.00	0.11317
597.00	0.10883
598.00	0.10448
599.00	0.10014
600.00	0.095885
601.00	0.091813
602.00	0.087741
603.00	0.083669
604.00	0.079597
605.00	0.075525
606.00	0.071452
607.00	0.067763
608.00	0.064308
609.00	0.060853
610.00	0.057398
611.00	0.053943
612.00	0.050488
613.00	0.047033
614.00	0.043578
615.00	0.041062
616.00	0.038686
617.00	0.036310
618.00	0.033934
619.00	0.031558
620.00	0.029182
621.00	0.026806
622.00	0.024430
623.00	0.022962
624.00	0.021695
625.00	0.020427
626.00	0.019159
627.00	0.017891
628.00	0.016624
629.00	0.015356
630.00	0.014088
631.00	0.013121
632.00	0.012331
633.00	0.011542
634.00	0.010752
635.00	0.0099618
636.00	0.0091720
637.00	0.0083821
638.00	0.0076022
639.00	0.0073146
640.00	0.0070270
641.00	0.0067394
642.00	0.0064518
643.00	0.0061642
644.00	0.0058765
645.00	0.0055889
646.00	0.0053230
647.00	0.0050871
648.00	0.0048512
649.00	0.0046153
650.00	0.0043795
651.00	0.0041436
652.00	0.0039239
653.00	0.0037896
654.00	0.0036554
655.00	0.0035211
656.00	0.0034477
657.00	0.0033743
658.00	0.0033009
659.00	0.0032275
660.00	0.0031541
661.00	0.0031108
662.00	0.0030675
663.00	0.0030242
664.00	0.0029809
665.00	0.0029376
666.00	0.0028531
667.00	0.0027686
668.00	0.0026841
669.00	0.0025996
670.00	0.0025151
671.00	0.0025151
672.00	0.0025151
673.00	0.0025151
674.00	0.0025151
675.00	0.0025151
676.00	0.0025151
677.00	0.0025151
678.00	0.0025151
679.00	0.0025151
680.00	0.0025151
681.00	0.0025151
682.00	0.0025151
683.00	0.0025151
684.00	0.0025151
685.00	0.0025151
686.00	0.0025151
687.00	0.0025151
688.00	0.0025151
689.00	0.0025151
690.00	0.0025151
691.00	0.0025151
692.00	0.0025151
693.00	0.0025151
694.00	0.0025151
695.00	0.0025151
696.00	0.0025151
697.00	0.0025151
698.00	0.0025151
699.00	0.0025151
700.00	0.0025151
