Wavelength (nm)	K08 abs e
483.00	5664.5
483.25	5776.6
483.50	5993.7
483.75	6352.1
484.00	6555.1
484.25	6299.6
484.50	6244.1
484.75	6428.8
485.00	6254.2
485.25	6972.1
485.50	6417.7
485.75	6667.1
486.00	7195.2
486.25	7159.9
486.50	6847.9
486.75	7135.6
487.00	6845.9
487.25	7297.2
487.50	7324.5
487.75	7230.6
488.00	7415.3
488.25	8002.0
488.50	8114.1
488.75	7965.6
489.00	7514.3
489.25	8082.8
489.50	8146.4
489.75	7856.6
490.00	8055.5
490.25	8680.5
490.50	8627.0
490.75	8765.3
491.00	8524.0
491.25	8666.4
491.50	9150.0
491.75	9050.1
492.00	8966.3
492.25	9094.5
492.50	8960.2
492.75	9132.9
493.00	9446.9
493.25	9338.8
493.50	9685.2
493.75	9847.7
494.00	9796.2
494.25	9966.9
494.50	9600.4
494.75	10084
495.00	10335
495.25	10448
495.50	10800
495.75	10817
496.00	10887
496.25	11055
496.50	11149
496.75	11334
497.00	11232
497.25	11629
497.50	11184
497.75	11247
498.00	11402
498.25	11946
498.50	11666
498.75	11968
499.00	12193
499.25	12418
499.50	12512
499.75	12665
500.00	12664
500.25	12776
500.50	13029
500.75	13349
501.00	13356
501.25	13713
501.50	13791
501.75	13870
502.00	13855
502.25	13907
502.50	14257
502.75	14820
503.00	14419
503.25	14630
503.50	14621
503.75	14737
504.00	14996
504.25	15702
504.50	15265
504.75	15286
505.00	15434
505.25	16021
505.50	16525
505.75	16211
506.00	16626
506.25	16675
506.50	16666
506.75	16928
507.00	16618
507.25	16896
507.50	17046
507.75	17207
508.00	17787
508.25	17633
508.50	18040
508.75	17681
509.00	17920
509.25	18291
509.50	18540
509.75	18556
510.00	19417
510.25	18951
510.50	19084
510.75	19529
511.00	19393
511.25	20175
511.50	20077
511.75	20478
512.00	20168
512.25	20432
512.50	20996
512.75	21312
513.00	21323
513.25	21702
513.50	21503
513.75	21799
514.00	22091
514.25	22439
514.50	22995
514.75	23099
515.00	22918
515.25	23424
515.50	23583
515.75	24329
516.00	24338
516.25	24870
516.50	24502
516.75	25042
517.00	25639
517.25	25793
517.50	26354
517.75	26522
518.00	26626
518.25	26678
518.50	27593
518.75	27728
519.00	27814
519.25	28148
519.50	28345
519.75	28810
520.00	28862
520.25	29460
520.50	29520
520.75	30131
521.00	30621
521.25	30605
521.50	31570
521.75	31704
522.00	31792
522.25	32520
522.50	32909
522.75	33069
523.00	33260
523.25	33986
523.50	34116
523.75	34586
524.00	35413
524.25	36500
524.50	35861
524.75	36708
525.00	36883
525.25	37809
525.50	37951
525.75	38372
526.00	39064
526.25	38980
526.50	39973
526.75	39774
527.00	40279
527.25	41553
527.50	42099
527.75	42096
528.00	42818
528.25	43433
528.50	44375
528.75	44703
529.00	45233
529.25	45846
529.50	46152
529.75	46823
530.00	47446
530.25	47591
530.50	49018
530.75	48996
531.00	49248
531.25	49925
531.50	50910
531.75	51406
532.00	52392
532.25	52882
532.50	53309
532.75	53595
533.00	54268
533.25	54788
533.50	55391
533.75	55420
534.00	56667
534.25	56870
534.50	57459
534.75	58132
535.00	58412
535.25	58948
535.50	59288
535.75	60136
536.00	60910
536.25	61274
536.50	62037
536.75	62803
537.00	62697
537.25	64160
537.50	64206
537.75	64764
538.00	65141
538.25	65750
538.50	66455
538.75	67103
539.00	67671
539.25	68433
539.50	69392
539.75	69255
540.00	70010
540.25	70091
540.50	70531
540.75	71622
541.00	71690
541.25	72212
541.50	73123
541.75	73314
542.00	73560
542.25	74534
542.50	75006
542.75	75374
543.00	75811
543.25	75790
543.50	77041
543.75	76998
544.00	77181
544.25	77541
544.50	78465
544.75	78454
545.00	78475
545.25	79033
545.50	79444
545.75	79494
546.00	79836
546.25	80901
546.50	80779
546.75	81463
547.00	80910
547.25	80948
547.50	81821
547.75	82547
548.00	82744
548.25	82802
548.50	83479
548.75	83561
549.00	84146
549.25	83640
549.50	84432
549.75	84250
550.00	85139
550.25	85082
550.50	85183
550.75	86105
551.00	86395
551.25	86937
551.50	87080
551.75	87182
552.00	87968
552.25	87909
552.50	87993
552.75	88450
553.00	89226
553.25	89621
553.50	90178
553.75	89916
554.00	90707
554.25	91061
554.50	91238
554.75	91774
555.00	92177
555.25	93832
555.50	94348
555.75	94948
556.00	95363
556.25	95599
556.50	96755
556.75	97261
557.00	98096
557.25	98216
557.50	98974
557.75	99512
558.00	1.0096e+05
558.25	1.0149e+05
558.50	1.0192e+05
558.75	1.0307e+05
559.00	1.0367e+05
559.25	1.0437e+05
559.50	1.0559e+05
559.75	1.0655e+05
560.00	1.0745e+05
560.25	1.0757e+05
560.50	1.0949e+05
560.75	1.1084e+05
561.00	1.1177e+05
561.25	1.1240e+05
561.50	1.1374e+05
561.75	1.1506e+05
562.00	1.1569e+05
562.25	1.1742e+05
562.50	1.1816e+05
562.75	1.1945e+05
563.00	1.2114e+05
563.25	1.2240e+05
563.50	1.2326e+05
563.75	1.2461e+05
564.00	1.2606e+05
564.25	1.2830e+05
564.50	1.2969e+05
564.75	1.3092e+05
565.00	1.3252e+05
565.25	1.3387e+05
565.50	1.3512e+05
565.75	1.3721e+05
566.00	1.3819e+05
566.25	1.4034e+05
566.50	1.4136e+05
566.75	1.4391e+05
567.00	1.4609e+05
567.25	1.4735e+05
567.50	1.4865e+05
567.75	1.5110e+05
568.00	1.5261e+05
568.25	1.5437e+05
568.50	1.5648e+05
568.75	1.5889e+05
569.00	1.6038e+05
569.25	1.6214e+05
569.50	1.6431e+05
569.75	1.6558e+05
570.00	1.6789e+05
570.25	1.7065e+05
570.50	1.7240e+05
570.75	1.7458e+05
571.00	1.7665e+05
571.25	1.7888e+05
571.50	1.7990e+05
571.75	1.8174e+05
572.00	1.8484e+05
572.25	1.8622e+05
572.50	1.8845e+05
572.75	1.9045e+05
573.00	1.9156e+05
573.25	1.9325e+05
573.50	1.9492e+05
573.75	1.9652e+05
574.00	1.9733e+05
574.25	1.9974e+05
574.50	2.0122e+05
574.75	2.0300e+05
575.00	2.0464e+05
575.25	2.0669e+05
575.50	2.0935e+05
575.75	2.1025e+05
576.00	2.1256e+05
576.25	2.1290e+05
576.50	2.1594e+05
576.75	2.1627e+05
577.00	2.1894e+05
577.25	2.1984e+05
577.50	2.2166e+05
577.75	2.2321e+05
578.00	2.2426e+05
578.25	2.2510e+05
578.50	2.2581e+05
578.75	2.2779e+05
579.00	2.2834e+05
579.25	2.3023e+05
579.50	2.3109e+05
579.75	2.3212e+05
580.00	2.3216e+05
580.25	2.3317e+05
580.50	2.3356e+05
580.75	2.3359e+05
581.00	2.3401e+05
581.25	2.3596e+05
581.50	2.3527e+05
581.75	2.3593e+05
582.00	2.3700e+05
582.25	2.3696e+05
582.50	2.3567e+05
582.75	2.3628e+05
583.00	2.3670e+05
583.25	2.3507e+05
583.50	2.3582e+05
583.75	2.3533e+05
584.00	2.3452e+05
584.25	2.3416e+05
584.50	2.3298e+05
584.75	2.3185e+05
585.00	2.3150e+05
585.25	2.3051e+05
585.50	2.2984e+05
585.75	2.2846e+05
586.00	2.2775e+05
586.25	2.2665e+05
586.50	2.2466e+05
586.75	2.2315e+05
587.00	2.2279e+05
587.25	2.2051e+05
587.50	2.1952e+05
587.75	2.1741e+05
588.00	2.1571e+05
588.25	2.1427e+05
588.50	2.1244e+05
588.75	2.1134e+05
589.00	2.0844e+05
589.25	2.0681e+05
589.50	2.0414e+05
589.75	2.0236e+05
590.00	2.0081e+05
590.25	1.9785e+05
590.50	1.9576e+05
590.75	1.9364e+05
591.00	1.9128e+05
591.25	1.8877e+05
591.50	1.8650e+05
591.75	1.8389e+05
592.00	1.8124e+05
592.25	1.7890e+05
592.50	1.7605e+05
592.75	1.7414e+05
593.00	1.7085e+05
593.25	1.6870e+05
593.50	1.6553e+05
593.75	1.6300e+05
594.00	1.6049e+05
594.25	1.5777e+05
594.50	1.5488e+05
594.75	1.5136e+05
595.00	1.4800e+05
595.25	1.4424e+05
595.50	1.4095e+05
595.75	1.3877e+05
596.00	1.3504e+05
596.25	1.3306e+05
596.50	1.3022e+05
596.75	1.2806e+05
597.00	1.2539e+05
597.25	1.2215e+05
597.50	1.2032e+05
597.75	1.1778e+05
598.00	1.1499e+05
598.25	1.1275e+05
598.50	1.0976e+05
598.75	1.0768e+05
599.00	1.0504e+05
599.25	1.0244e+05
599.50	1.0059e+05
599.75	98176
600.00	95977
600.25	93720
600.50	91593
600.75	89305
601.00	86959
601.25	84699
601.50	82552
601.75	80723
602.00	78439
602.25	76623
602.50	74511
602.75	72631
603.00	70904
603.25	68818
603.50	67308
603.75	65076
604.00	63735
604.25	61574
604.50	60074
604.75	57992
605.00	56615
605.25	54831
605.50	53194
605.75	52140
606.00	50401
606.25	49486
606.50	47899
606.75	46259
607.00	44641
607.25	43991
607.50	42602
607.75	40625
608.00	40005
608.25	38894
608.50	37634
608.75	36315
609.00	35251
609.25	33983
609.50	32838
609.75	32499
610.00	30560
610.25	30780
610.50	29225
610.75	28714
611.00	27186
611.25	26725
611.50	25933
611.75	25784
612.00	24548
612.25	23811
612.50	23207
612.75	22321
613.00	21994
613.25	21666
613.50	20974
613.75	20851
614.00	20261
614.25	19633
614.50	18821
614.75	18668
615.00	18227
615.25	17371
615.50	16727
615.75	16466
616.00	16133
616.25	15487
616.50	15321
616.75	15031
617.00	14631
617.25	13815
617.50	13710
