Wavelength (nm)	21, (Z)-Vv-DPxB-63, ZVVDYCC
534.00	0.0073335
535.00	0.0074239
536.00	0.0075143
537.00	0.0074565
538.00	0.0073986
539.00	0.0073769
540.00	0.0073552
541.00	0.0074167
542.00	0.0074782
543.00	0.0074818
544.00	0.0074854
545.00	0.0073673
546.00	0.0072491
547.00	0.0073431
548.00	0.0074372
549.00	0.0075794
550.00	0.0077216
551.00	0.0076638
552.00	0.0076059
553.00	0.0076324
554.00	0.0076590
555.00	0.0076855
556.00	0.0077120
557.00	0.0078325
558.00	0.0079531
559.00	0.0078542
560.00	0.0077554
561.00	0.0077879
562.00	0.0078205
563.00	0.0078036
564.00	0.0077867
565.00	0.0075951
566.00	0.0074034
567.00	0.0064536
568.00	0.0055037
569.00	0.0047070
570.00	0.0039102
571.00	0.0034763
572.00	0.0030424
573.00	0.0028146
574.00	0.0025867
575.00	0.0021154
576.00	0.0016441
577.00	0.0017888
578.00	0.0019334
579.00	0.0023335
580.00	0.0022279
581.00	0.0022893
582.00	0.0021287
583.00	0.0022962
584.00	0.0024638
585.00	0.0026591
586.00	0.0028543
587.00	0.0034739
588.00	0.0040935
589.00	0.0046286
590.00	0.0028926
591.00	0.0037597
592.00	0.0043779
593.00	0.0042417
594.00	0.0041055
595.00	0.0044900
596.00	0.0048745
597.00	0.0048311
598.00	0.0047878
599.00	0.0046636
600.00	0.0045394
