Wavelength (nm)	18, (E)-Ep-PxB-5, EEpPxB5
446.00	0.80176
447.00	0.79444
448.00	0.78712
449.00	0.77828
450.00	0.76944
451.00	0.75895
452.00	0.74846
453.00	0.73569
454.00	0.72292
455.00	0.70879
456.00	0.69465
457.00	0.67872
458.00	0.66279
459.00	0.64720
460.00	0.63161
461.00	0.61418
462.00	0.59674
463.00	0.57688
464.00	0.55703
465.00	0.53906
466.00	0.52110
467.00	0.50361
468.00	0.48611
469.00	0.46742
470.00	0.44873
471.00	0.42740
472.00	0.40608
473.00	0.38650
474.00	0.36693
475.00	0.34900
476.00	0.33107
477.00	0.31434
478.00	0.29760
479.00	0.28075
480.00	0.26390
481.00	0.24863
482.00	0.23335
483.00	0.21307
484.00	0.19278
485.00	0.18250
486.00	0.17221
487.00	0.16424
488.00	0.15626
489.00	0.14624
490.00	0.13623
491.00	0.12647
492.00	0.11671
493.00	0.10712
494.00	0.097530
495.00	0.089893
496.00	0.082256
497.00	0.075416
498.00	0.068576
499.00	0.062762
500.00	0.056948
501.00	0.052026
502.00	0.047104
503.00	0.043166
504.00	0.039227
505.00	0.035980
506.00	0.032734
507.00	0.029954
508.00	0.027174
509.00	0.024442
510.00	0.021711
511.00	0.019828
512.00	0.017945
513.00	0.016404
514.00	0.014863
515.00	0.013654
516.00	0.012445
517.00	0.011171
518.00	0.0098962
519.00	0.0093346
520.00	0.0087730
521.00	0.0081293
522.00	0.0074856
523.00	0.0066870
524.00	0.0058885
525.00	0.0053548
526.00	0.0048212
527.00	0.0044779
528.00	0.0041346
529.00	0.0037857
530.00	0.0034368
531.00	0.0030170
532.00	0.0025972
533.00	0.0022296
534.00	0.0018620
535.00	0.0017743
536.00	0.0016866
537.00	0.0015672
538.00	0.0014478
539.00	0.0010915
540.00	0.00073508
541.00	0.00064365
542.00	0.00055223
543.00	0.00055597
544.00	0.00055969
545.00	0.00029661
546.00	3.3533e-05
547.00	0.00023131
548.00	0.00042909
549.00	0.00063806
550.00	0.00084703
