Wavelength (nm)	J Agric Food Chem 2020_7132, Ob-YCC-45 abs 
564.00	0.0026899
565.00	0.0026899
566.00	0.0026899
567.00	0.0026899
568.00	0.0026899
569.00	0.0026899
570.00	0.0026899
571.00	0.0026899
572.00	0.0026899
573.00	0.0026899
574.00	0.0026899
575.00	0.0026899
576.00	0.0026899
577.00	0.0026899
578.00	0.0026899
579.00	0.0026899
580.00	0.0026899
581.00	0.0026899
582.00	0.0026899
583.00	0.0026899
584.00	0.0026899
585.00	0.0026899
586.00	0.0026899
587.00	0.0026899
588.00	0.0026899
589.00	0.0026899
590.00	0.0026899
591.00	0.0026899
592.00	0.0026899
593.00	0.0026899
594.00	0.0026899
595.00	0.0026899
596.00	0.0026899
597.00	0.0026899
598.00	0.0026899
599.00	0.0026899
600.00	0.0026899
