Wavelength (nm)	CoproP I (in 1 N aqHCl).abs
436.00	0.0034369
437.00	0.0032857
438.00	0.0032414
439.00	0.0031857
440.00	0.0030737
441.00	0.0030054
442.00	0.0028449
443.00	0.0028809
444.00	0.0028294
445.00	0.0027888
446.00	0.0027967
447.00	0.0027479
448.00	0.0026970
449.00	0.0027565
450.00	0.0026320
451.00	0.0026267
452.00	0.0026534
453.00	0.0026089
454.00	0.0026676
455.00	0.0025884
456.00	0.0025531
457.00	0.0026052
458.00	0.0025854
459.00	0.0025422
460.00	0.0025663
461.00	0.0025976
462.00	0.0026274
463.00	0.0027558
464.00	0.0026983
465.00	0.0027531
466.00	0.0027914
467.00	0.0028175
468.00	0.0028433
469.00	0.0028426
470.00	0.0028621
471.00	0.0028859
472.00	0.0029400
473.00	0.0028895
474.00	0.0028588
475.00	0.0029202
476.00	0.0029473
477.00	0.0029403
478.00	0.0028697
479.00	0.0028938
480.00	0.0030110
481.00	0.0029734
482.00	0.0029011
483.00	0.0030559
484.00	0.0030001
485.00	0.0032352
486.00	0.0028307
487.00	0.0029460
488.00	0.0033557
489.00	0.0032160
490.00	0.0031582
491.00	0.0031071
492.00	0.0032949
493.00	0.0034395
494.00	0.0035386
495.00	0.0036555
496.00	0.0038684
497.00	0.0040054
498.00	0.0042263
499.00	0.0043640
500.00	0.0045621
501.00	0.0048113
502.00	0.0050434
503.00	0.0052488
504.00	0.0053571
505.00	0.0054967
506.00	0.0058170
507.00	0.0058391
508.00	0.0059553
509.00	0.0061933
510.00	0.0062927
511.00	0.0063584
512.00	0.0065215
513.00	0.0065991
514.00	0.0065674
515.00	0.0066067
516.00	0.0067503
517.00	0.0069108
518.00	0.0070636
519.00	0.0071561
520.00	0.0072284
521.00	0.0074172
522.00	0.0074393
523.00	0.0075668
524.00	0.0076648
525.00	0.0077335
526.00	0.0078992
527.00	0.0079683
528.00	0.0081528
529.00	0.0083390
530.00	0.0086484
531.00	0.0091050
532.00	0.0096983
533.00	0.010542
534.00	0.011576
535.00	0.012992
536.00	0.014781
537.00	0.016738
538.00	0.019126
539.00	0.021937
540.00	0.025092
541.00	0.028410
542.00	0.031528
543.00	0.034211
544.00	0.036260
545.00	0.037667
546.00	0.038706
547.00	0.039271
548.00	0.039536
549.00	0.039361
550.00	0.038829
551.00	0.037594
552.00	0.035776
553.00	0.033423
554.00	0.030672
555.00	0.027774
556.00	0.024887
557.00	0.022256
558.00	0.020003
559.00	0.018193
560.00	0.016698
561.00	0.015622
562.00	0.014925
563.00	0.014460
564.00	0.014089
565.00	0.013965
566.00	0.013824
567.00	0.013670
568.00	0.013533
569.00	0.013336
570.00	0.013029
571.00	0.012712
572.00	0.012295
573.00	0.011913
574.00	0.011388
575.00	0.010918
576.00	0.010423
577.00	0.010009
578.00	0.0094988
579.00	0.0094325
580.00	0.0092182
581.00	0.0092575
582.00	0.0092024
583.00	0.0095781
584.00	0.010269
585.00	0.011042
586.00	0.012041
587.00	0.013204
588.00	0.014157
589.00	0.015027
590.00	0.015425
591.00	0.015338
592.00	0.014774
593.00	0.013746
594.00	0.012580
595.00	0.011252
596.00	0.0098772
597.00	0.0085665
598.00	0.0073522
599.00	0.0062713
600.00	0.0054228
601.00	0.0047324
602.00	0.0041131
603.00	0.0036215
604.00	0.0032550
605.00	0.0029899
606.00	0.0027571
607.00	0.0025326
608.00	0.0023877
609.00	0.0022477
610.00	0.0021391
611.00	0.0021064
612.00	0.0020361
613.00	0.0019571
614.00	0.0018508
615.00	0.0018122
616.00	0.0017723
617.00	0.0017429
618.00	0.0016277
619.00	0.0016494
620.00	0.0016603
621.00	0.0015379
622.00	0.0015494
623.00	0.0015124
624.00	0.0014972
625.00	0.0015022
626.00	0.0014715
627.00	0.0014240
628.00	0.0013655
629.00	0.0013130
630.00	0.0013477
631.00	0.0012902
632.00	0.0013120
633.00	0.0013157
634.00	0.0013246
635.00	0.0013398
636.00	0.0012543
637.00	0.0012437
638.00	0.0012945
639.00	0.0012602
640.00	0.0012780
641.00	0.0012298
642.00	0.0011380
643.00	0.0011621
644.00	0.0012024
645.00	0.0013041
646.00	0.0012655
647.00	0.0012414
648.00	0.0012018
649.00	0.0012219
650.00	0.0011737
651.00	0.0011734
652.00	0.0011704
653.00	0.0012226
654.00	0.00098900
655.00	0.0020763
656.00	0.0011757
657.00	0.0015280
658.00	0.0013190
659.00	0.0011489
660.00	0.0011645
661.00	0.0011384
662.00	0.0010958
663.00	0.0011301
664.00	0.0011199
665.00	0.0010892
666.00	0.0011103
667.00	0.0011186
668.00	0.0011146
669.00	0.0010961
670.00	0.0011030
671.00	0.0011060
672.00	0.0011532
673.00	0.0011473
674.00	0.0011156
675.00	0.0011044
676.00	0.0011334
677.00	0.0011446
678.00	0.0011463
679.00	0.0011463
680.00	0.0011126
681.00	0.0011159
682.00	0.0011030
683.00	0.0011318
684.00	0.0011252
685.00	0.0011268
686.00	0.0011370
687.00	0.0011225
688.00	0.0010832
689.00	0.0011301
690.00	0.0011295
691.00	0.0010614
692.00	0.0010773
693.00	0.0010819
694.00	0.0010773
695.00	0.0010862
696.00	0.0010614
697.00	0.0010984
698.00	0.0010700
699.00	0.0010918
700.00	0.0011030
