Wavelength (nm)	23, (Z)-Bos-DPxB, ZBOSDPXB
573.00	0.0020747
574.00	0.0019663
575.00	0.0019079
576.00	0.0035932
577.00	0.0017722
578.00	0.0019052
579.00	0.0018133
580.00	0.0017214
581.00	0.0018499
582.00	0.0019783
583.00	0.0019719
584.00	0.0019655
585.00	0.0015771
586.00	0.0020607
587.00	0.0018631
588.00	0.0018642
589.00	0.0026333
590.00	0.0034024
591.00	0.0028058
592.00	0.0022093
593.00	0.0020575
594.00	0.0019058
595.00	0.0022550
596.00	0.0026042
597.00	0.0025377
598.00	0.0024712
599.00	0.0025231
600.00	0.0025751
