Wavelength (nm)	Toly N+O (2020)
599.00	0.0040858
600.00	0.0035904
601.00	0.0036247
602.00	0.0036225
603.00	0.0039102
604.00	0.0042020
605.00	0.0048448
606.00	0.0056372
607.00	0.0069479
608.00	0.0086124
609.00	0.011083
610.00	0.014859
611.00	0.018054
612.00	0.022102
613.00	0.024845
614.00	0.025743
615.00	0.025778
616.00	0.023653
617.00	0.023711
618.00	0.022250
619.00	0.024089
620.00	0.025304
621.00	0.025406
622.00	0.024149
623.00	0.022783
624.00	0.020965
625.00	0.019529
626.00	0.017529
627.00	0.017139
628.00	0.016188
629.00	0.015502
630.00	0.014258
631.00	0.012751
632.00	0.013510
633.00	0.012867
634.00	0.012737
635.00	0.012289
636.00	0.012605
637.00	0.013136
638.00	0.014131
639.00	0.015247
640.00	0.017313
641.00	0.019958
642.00	0.022998
643.00	0.025944
644.00	0.027913
645.00	0.028543
646.00	0.026973
647.00	0.024766
648.00	0.021449
649.00	0.018122
650.00	0.014384
651.00	0.011776
652.00	0.010194
653.00	0.0094650
654.00	0.0085806
655.00	0.0086822
656.00	0.0083046
657.00	0.0087653
658.00	0.0088511
659.00	0.0098976
660.00	0.010151
661.00	0.010119
662.00	0.012774
663.00	0.015118
664.00	0.018000
665.00	0.022144
666.00	0.025766
667.00	0.031180
668.00	0.038438
669.00	0.049281
670.00	0.065941
671.00	0.092090
672.00	0.12989
673.00	0.18170
674.00	0.25277
675.00	0.32347
676.00	0.40644
677.00	0.45204
678.00	0.45034
679.00	0.40014
680.00	0.33097
681.00	0.25872
682.00	0.20854
683.00	0.15195
684.00	0.11160
685.00	0.080540
686.00	0.057226
687.00	0.040263
688.00	0.029765
689.00	0.022186
690.00	0.016614
691.00	0.013093
692.00	0.010549
693.00	0.0082076
694.00	0.0068040
695.00	0.0060859
696.00	0.0047492
697.00	0.0043723
698.00	0.0040074
699.00	0.0024710
700.00	0.0019503
701.00	0.0018639
702.00	0.0017464
703.00	0.0020679
704.00	0.0018843
705.00	0.0028766
706.00	0.0012508
707.00	0.00072734
708.00	0.00025935
709.00	3.8669e-05
710.00	0.00033740
711.00	0.0014070
712.00	0.00072113
713.00	0.0020939
714.00	0.0023936
715.00	0.0017952
716.00	0.0017762
717.00	0.0012258
718.00	0.0023003
719.00	0.0023117
720.00	0.0025053
721.00	0.0016781
722.00	0.0012224
723.00	0.00097959
724.00	0.00099958
725.00	0.00037704
726.00	0.00087723
727.00	0.0011270
728.00	0.00084904
729.00	0.0012644
730.00	0.0014862
731.00	0.0017263
732.00	0.00079173
733.00	0.0014098
734.00	0.0015731
735.00	0.0013051
736.00	0.0014466
737.00	0.0016253
738.00	0.0016340
739.00	0.0015204
740.00	0.0018098
741.00	0.0011109
742.00	0.0010563
743.00	0.00036230
744.00	-0.00056868
745.00	-0.00072230
746.00	0.00042826
747.00	0.00078186
748.00	0.0010514
749.00	0.0015508
750.00	0.0010419
751.00	0.0010224
752.00	0.0018196
753.00	0.0012124
754.00	0.0017170
755.00	0.0017791
756.00	0.0016194
757.00	0.00097961
758.00	-0.00011401
759.00	-0.0018451
760.00	-0.0024277
761.00	-0.0015218
762.00	-0.00044211
763.00	-0.00088641
764.00	0.00092210
765.00	0.00080617
766.00	0.00056856
767.00	0.0018992
768.00	0.0013806
769.00	0.00093010
770.00	-1.3791e-05
771.00	0.0021708
772.00	0.00020912
773.00	0.00056121
774.00	0.00086590
775.00	0.00055265
776.00	0.0017870
777.00	0.0023136
778.00	0.0016153
779.00	0.0023588
780.00	0.0022856
781.00	0.0025798
782.00	0.0023796
783.00	0.0017072
784.00	0.0019887
785.00	0.0019620
786.00	0.0024057
787.00	0.0025178
788.00	0.0012835
789.00	0.0012431
790.00	0.00070674
791.00	-0.00022387
792.00	0.00085636
793.00	0.00093769
794.00	0.00092254
795.00	0.00081302
796.00	0.00036747
797.00	0.00031418
798.00	6.8170e-05
799.00	-2.5175e-05
800.00	0.00037169
